,PROTEIN_SECRETION,COAGULATION,E2F_TARGETS,COMPLEMENT,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_UP,IL6_JAK_STAT3_SIGNALING,MYC_TARGETS_V2,G2M_CHECKPOINT,XENOBIOTIC_METABOLISM,ESTROGEN_RESPONSE_EARLY,HEME_METABOLISM,WNT_BETA_CATENIN_SIGNALING,APOPTOSIS,KRAS_SIGNALING_UP,APICAL_SURFACE,NOTCH_SIGNALING,TNFA_SIGNALING_VIA_NFKB,GLYCOLYSIS,APICAL_JUNCTION,IL2_STAT5_SIGNALING,P53_PATHWAY,PANCREAS_BETA_CELLS,BILE_ACID_METABOLISM,INTERFERON_ALPHA_RESPONSE,HEDGEHOG_SIGNALING,ALLOGRAFT_REJECTION,MITOTIC_SPINDLE,TGF_BETA_SIGNALING,UV_RESPONSE_DN,KRAS_SIGNALING_DN,PEROXISOME,FATTY_ACID_METABOLISM,EPITHELIAL_MESENCHYMAL_TRANSITION,SPERMATOGENESIS,MTORC1_SIGNALING,CHOLESTEROL_HOMEOSTASIS,OXIDATIVE_PHOSPHORYLATION,MYOGENESIS,INTERFERON_GAMMA_RESPONSE,HYPOXIA,ANDROGEN_RESPONSE,ADIPOGENESIS,DNA_REPAIR,INFLAMMATORY_RESPONSE,MYC_TARGETS_V1,PI3K_AKT_MTOR_SIGNALING,ESTROGEN_RESPONSE_LATE,ANGIOGENESIS,REACTIVE_OXYGEN_SPECIES_PATHWAY,COSMIC
downregulated.wound,3.015029239766082,2.990721500721501,2.7878256246677298,2.8981382716049384,2.8794496365524402,2.9083486801718847,2.7420927723840345,2.878060263653484,2.777083333333333,3.045388349514563,2.9864558404558403,3.049109947643979,2.765111111111111,2.747203495630462,2.983851076207097,3.0266966966966966,2.789640522875817,2.763231396534149,3.0154895489548954,2.9410958205912334,2.9373872842697697,2.868988391376451,3.0031060606060604,3.137732884399551,2.8859848484848483,2.895142857142857,2.868759023460139,2.8795705850778313,2.692528735632184,2.8509126984126985,3.1799473684210526,3.0231499460625675,3.0854336917562724,2.972430715100028,3.04147266313933,2.870071507150715,2.9640789473684213,3.05575456053068,3.004110563765736,2.8657434640522874,2.8968380320619125,2.952939814814815,3.022683215130024,2.926624203821656,2.9554828660436137,2.7717289486796215,2.6494827586206897,2.9836303630363035,2.9434285714285715,2.9473333333333334,2.825072819505809
upregulated.stress,3.1441618184278175,3.139969285213501,2.890763951242912,3.051413881748072,2.9916392379213415,3.017597182178415,2.937205181321287,2.970458803537972,2.885563946015424,3.127024733571268,3.105292993210731,3.1561797601582793,2.878637532133676,2.892839606019468,3.121906082181456,3.1600083373862295,2.920686526538636,2.9117414683615954,3.1400646491384356,3.1013832220938187,3.081009158905065,2.9869227129135814,3.11086118251928,3.1886473994443145,3.0577627171457507,3.0327947117150202,3.0450625218191627,3.019255368031494,2.8211594716780426,2.989120555264825,3.3058787714788256,3.089824543888986,3.142714984658761,3.1332208654670093,3.164014363243155,2.979370816259004,3.0564876200784736,3.144687871695507,3.1440031912064534,3.0381776425223044,3.0262249165483635,3.06811000428449,3.1195919706831483,3.021875460514466,3.134606259722631,2.8849816131969983,2.7955744171615993,3.108484563109267,3.1030481087036357,3.0520916101892968,2.950113769303868
downregulated.regen,3.115585195866378,3.0840968392338257,2.8651766402307137,3.0022171486555047,2.9779584346861263,3.005455485758975,2.8730216784146827,2.969874622707221,2.8576448344748857,3.1433812120406084,3.0800550286851656,3.1436204547084556,2.8376712328767124,2.849475398902057,3.085586554782567,3.13090830556584,2.8713738920225627,2.8744082778266518,3.1120021248700214,3.034482216915923,3.042507055827081,2.9626070560439812,3.092206309672063,3.231527604815276,3.012989483879895,2.977625570776256,3.000193782062123,2.9701266185780777,2.766670603054637,2.9384295499021524,3.2707281903388608,3.115773374118899,3.185034614818088,3.0466133942161338,3.132130173226064,2.970590894705909,3.0620043258832013,3.1596583293577774,3.090266999572621,2.9945608380338435,2.992105681637475,3.0475052321156775,3.123524482658117,3.014243957769828,3.076083941450092,2.865655138522022,2.750265706188002,3.0790214295402145,3.026549249836921,3.0477376504773765,2.916098412250086
msigdb.wound,2.9613147655130043,2.874008287432412,2.787090648446372,2.8052831820146995,2.8606676606422052,2.8648558591482685,2.661346379056326,2.8906548835982324,2.7655439364461736,3.0060065732310832,2.9361368851641223,3.009157210666775,2.6911284046692607,2.686595549337647,2.916077576547762,2.9633505100431172,2.7281414511329825,2.710027487238068,2.9838097622991873,2.8504890586513403,2.8769235281465693,2.8325880325996478,2.935443933498408,3.1138820107691703,2.8528033250795897,2.806503613118399,2.816328001152904,2.827430966747495,2.615960016100899,2.763076709282935,3.1143456891255377,2.997223376525254,3.0753734153382704,2.869842331387808,2.997529491692916,2.8546634819123935,2.930396272783125,3.062760129314517,2.9423242797722873,2.8260972190432594,2.846255105793987,2.904041018158236,2.9957260534812487,2.919366031376242,2.87178624677261,2.773071487149064,2.568126928753522,2.9348923219170167,2.819566425792107,2.9266360099044926,2.7728549079385454
msigdb.regen,2.9478441867380316,2.898561890087314,2.7171356743167627,2.8187319522912744,2.8136121231321614,2.828167431407435,2.673358565081455,2.8215072297232595,2.7007709510357816,2.9723822061324117,2.90212950890917,2.9826367320377436,2.6440677966101696,2.6677458261918363,2.9037181648770964,2.929454878607421,2.6824526420737786,2.690976001658633,2.9489567600827877,2.858238739439175,2.862902081026602,2.7890772128060264,2.9015151515151514,3.0652856246076583,2.8387690463961652,2.783050847457627,2.8114668340657043,2.8099020169764457,2.589811026690045,2.758514931396287,3.0989295272078503,2.9540343371180957,3.0268634955349007,2.8753825329566856,2.9683884853376377,2.802483638194328,2.8980820695807314,2.990668128285128,2.929893406807492,2.811897640412097,2.8180003935126625,2.8741172316384183,2.951105902151701,2.860016553312462,2.8850256085326573,2.7082414937549086,2.561026690044808,2.903339486491022,2.839225181598063,2.8873138161273753,2.743050181806079
upregulated.regen,3.087146437522377,3.0719071178254853,2.8499712484674893,2.9821466364323506,2.953302816453684,2.9808509038974704,2.846839706756489,2.944213843729582,2.8398526077097506,3.112674195891949,3.0591080876795163,3.1160914627631158,2.831315192743764,2.8288236642971794,3.0638600990134273,3.1078016792302505,2.8604441776710683,2.850298529197612,3.0894063896185537,3.0195032141296885,3.02028281999567,2.941060006091989,3.077329416615131,3.2058338486909914,2.985973682402254,2.966828636216391,2.9708294840569973,2.94872216197268,2.7626280397216356,2.9243521218011015,3.2538071368898436,3.0911652686964755,3.149754955745739,3.0497862339380197,3.111875967318144,2.9413798522709413,3.033327366034133,3.12504935639264,3.0730035856707216,2.965736294517807,2.9724732347333624,3.024966931216931,3.094647078689632,2.9912113465343673,3.0530442706677685,2.838936172376275,2.7314586754241925,3.056492894187378,3.028441852931649,3.0167388167388167,2.8988324834106445
upregulated.wound,3.0520441729323307,3.0414830705009277,2.8221975393028025,2.9506646825396827,2.9113922730307076,2.943253009076559,2.817191834257975,2.9078389830508473,2.810453869047619,3.0775073682385576,3.02395260989011,3.083191146222887,2.7974553571428573,2.79454253611557,3.031302589753179,3.071609555984556,2.8237263655462184,2.8157253440366974,3.053952660891089,2.9901038253604195,2.988973887293611,2.908071250888415,3.034293831168831,3.1574449855699855,2.948035037878788,2.939668367346939,2.9387056327160495,2.9266412180814356,2.720116225369458,2.892059948979592,3.2188381109022557,3.047633495145631,3.1065668202764978,3.0242396763392856,3.0788867630385486,2.8991281382602545,2.988501527255639,3.0759483830845773,3.0439996041520057,2.92844012605042,2.937794287491116,2.9883858816964284,3.052977773556231,2.956935282074613,3.019546895861148,2.8023752802690582,2.6937249846059115,3.02468617397454,2.998724489795918,2.9839488636363636,2.863167012939196
msigdb.stress,2.910627463290433,2.932939161567392,2.647194980040015,2.8193535085781605,2.7523085784359265,2.8049383258460288,2.67295900969587,2.7608810414350056,2.636849044621162,2.960016599432531,2.8875974919712495,2.9499790090174485,2.638621603711067,2.644604284405924,2.896491903725986,2.9340354270771765,2.6686157564417416,2.674366644171667,2.926838310073552,2.8586067691709074,2.8488932402236498,2.760643436231698,2.9113802036267247,3.0435501469298685,2.8021316545173405,2.7960049228438892,2.7971369314974353,2.7676357315046918,2.574118507346724,2.7529915743633437,3.0888075058421403,2.9252510825017533,2.9931165694007995,2.9079239838745305,2.92802444591709,2.7572256231587375,2.86890063129992,2.9400907984926263,2.9209700744629106,2.787546778154602,2.8106485465317546,2.8497211177380164,2.924601328201007,2.799268085752998,2.8840694152839967,2.630465339502596,2.5304437741367884,2.8851806651838148,2.8814541323487646,2.8518103500210854,2.711501242910724
downregulated.stress,3.1775039150268944,3.191453436602208,2.9415005230352134,3.0956389248239184,3.0204809517476514,3.061481063232151,2.9878169783594366,2.9976757953822877,2.936293930573523,3.1701352692196587,3.150827611370949,3.201614705742907,2.9273479948253556,2.938965361861709,3.1698353460712667,3.2064613125415193,2.964272125409025,2.961385997602573,3.176808883993186,3.1454419217394403,3.1259336787430034,3.0305909006069265,3.1644419616605903,3.2371711944803794,3.088115959073268,3.0806505267048605,3.0853337166403145,3.0648142940172862,2.8761654101797745,3.0357786381571046,3.3529243548716554,3.1413984099272785,3.1821808621625007,3.183234961190168,3.207766073225323,3.0147105913696155,3.0996119016817594,3.167706100802585,3.1893460957564095,3.072345141161251,3.070848860484125,3.113949978438982,3.1568839283256724,3.060505434200443,3.1785301922949047,2.9138526154577993,2.8367310523263596,3.152728856326771,3.1570874145259658,3.094390215218158,2.9966963059213096
