,downregulated.wound,upregulated.stress,downregulated.regen,msigdb.wound,msigdb.regen,upregulated.regen,upregulated.wound,msigdb.stress,downregulated.stress
upregulated.stress,2.9410276424514845,2.951569095548521,2.9516147093620524,2.9336066368433444,2.9145369407706503,2.9534316774450993,2.9513803062122514,2.9270361168056986,2.956053208229775
downregulated.wound,2.9470296442661414,2.956644373498439,2.9564317194454572,2.942901432417627,2.92245033606663,2.9593590550603026,2.9576396260063045,2.9349737245891734,2.9615846338535414
downregulated.regen,2.937334144856969,2.9491669076039817,2.948781973650409,2.9293153773880363,2.910872972480408,2.9506827896102,2.9486126876930814,2.9237487716299935,2.9545876288659794
msigdb.wound,2.960865310732979,2.967520020607778,2.9673153776593,2.96271614867582,2.9393351831422234,2.9718527254898017,2.970655807558326,2.9514701464268454,2.971857906830151
upregulated.wound,2.940014652575409,2.9509281393691302,2.950859406961561,2.9324597063465494,2.9135565389218225,2.9527375327059007,2.9506936596925843,2.9261679117867745,2.955768180894825
upregulated.regen,2.9410820128934754,2.952079984744054,2.951782731827754,2.934600289196447,2.9153744440437555,2.9541456832365487,2.952234279486329,2.928124559673101,2.9575016450976093
downregulated.stress,2.936165746108104,2.9480307598724846,2.947796249403648,2.92721863166586,2.909090909090909,2.94930140184588,2.9471193724732054,2.921882464896778,2.9530338301538834
msigdb.regen,2.97585231726205,2.9807649182201583,2.9794964745505617,2.9870440458559595,2.9600370263972677,2.9874656890032054,2.987266115536094,2.972540876267445,2.9873900634865165
msigdb.stress,2.930879656529318,2.943593736829641,2.9435950656381396,2.919087256901117,2.9021660202256343,2.9441940591528595,2.941743582045786,2.9149525628516266,2.948382913744627
