,downregulated.wound,upregulated.stress,downregulated.regen,msigdb.wound,msigdb.regen,upregulated.regen,upregulated.wound,msigdb.stress,downregulated.stress
downregulated.regen,4.653240420722252,4.746021293658193,4.722261881016618,4.727669134444939,4.842613155668359,4.7822490145547025,4.770039836515081,4.742765243420624,4.774066784445176
msigdb.stress,4.6097968921187915,4.6982168469728025,4.673953510398414,4.686413304475393,4.790804344635256,4.746230162612762,4.727322015884642,4.686288720097031,4.72935905982388
msigdb.wound,4.73726625111309,4.8322932723385215,4.830009306607692,4.8292727009832275,4.94898679302349,4.865107778315325,4.858010869886862,4.823998582063099,4.853979353979354
upregulated.regen,4.64301088462502,4.710975357364601,4.699240430690737,4.718433203631648,4.810968021993923,4.768927352300294,4.744386365309579,4.688751852869446,4.731759325299079
downregulated.wound,4.738011753666847,4.82708877734539,4.808334258352927,4.8163133296283815,4.9268435228947505,4.867555304997371,4.855797969952109,4.825558848496582,4.860323076327105
upregulated.stress,4.628615468310817,4.729732936746512,4.70365251727542,4.708433485526331,4.8279711307137125,4.759279912965535,4.7499027029741505,4.72101871555218,4.757127487896718
downregulated.stress,4.578039736952568,4.664203579072436,4.652608060384083,4.655016150596921,4.763983763983764,4.70674156512435,4.69058243837545,4.656135899498731,4.688648159172278
upregulated.wound,4.672305164812674,4.748513628291252,4.73530069999627,4.742576480493966,4.843697163253804,4.794463182501253,4.773733004086985,4.739166654433892,4.76912673725746
msigdb.regen,4.780394719644491,4.851888341543514,4.837921208026088,4.854997877758914,4.944066291802308,4.902499842181681,4.882090632691472,4.857839056538328,4.879427024588315
