,Differentiation,Cell_Cycle,EMT,Proliferation,Metastasis,DNA_damage,Quiescence,Apoptosis,Inflammation,Invasion,Stemness,Hypoxia,DNA_repair,Angiogenesis,COSMIC
downregulated.wound,1.829354890365045,1.9064624059236697,1.8264849293544003,1.8050398547068913,1.7667440217939663,1.8826806194175782,1.846546572184752,1.8922241280731846,1.8007107291592421,1.8592651683314836,1.8699500554938957,1.843479809813513,1.9135706089279332,1.8129152272123306,1.8762060463121784
upregulated.stress,1.8860881253145285,1.9131190594128806,1.8967471838179228,1.8792922826213478,1.858293563031079,1.9010426193524785,1.919275091106077,1.9313040779109922,1.9046153484711439,1.913972471190781,1.906057938540333,1.8910545201625013,1.9177825039605894,1.8877387242790933,1.9058153154463975
downregulated.regen,1.8577703066012372,1.890710246381505,1.82325420868965,1.8380520219257421,1.79577343399869,1.8905032775339943,1.889822350573204,1.9193815285965456,1.8611119808790222,1.8563590254076603,1.8875284414106939,1.8711779659826684,1.9070110487649679,1.8309378455030525,1.8938553624987071
msigdb.wound,1.7709897116359947,1.9327191552689391,1.7809316024871822,1.7537511032656663,1.6914268902618417,1.873509015256588,1.8282598954443614,1.8802000588408356,1.7660817671684332,1.8354368932038836,1.828131067961165,1.8192017259978426,1.9216883330590753,1.7261588951182825,1.8393755516328332
msigdb.regen,1.7465497371897574,1.8781393047135964,1.7514759093505998,1.7265665125834617,1.6759116589625065,1.8222222222222222,1.8387657540199913,1.8536209553158707,1.7889908256880733,1.8187970809792844,1.792337570621469,1.7966101694915255,1.8743177247917264,1.715604360627039,1.808712121212121
upregulated.regen,1.8650574984646417,1.9005381455059478,1.8558412969066131,1.845426232883764,1.808181474999142,1.8951086663430945,1.887063333042948,1.9191118432341536,1.857304643261608,1.8803675915439788,1.8953213476783692,1.8677208730058863,1.9156285390713477,1.8479256057295073,1.8975969705549265
upregulated.wound,1.8477767066671098,1.9233576642335766,1.8511173394059208,1.837492407369913,1.802753593844908,1.8911867642379891,1.8820284392667466,1.9107781602213674,1.850503667681494,1.8761135857461024,1.8818415924276168,1.8539965355110122,1.9203691819863349,1.838090906239217,1.8876338201052845
msigdb.stress,1.817014266416263,1.8716536955575966,1.8466329339980654,1.792594822396147,1.7757174392935982,1.8221822768842637,1.866255731023943,1.8630744531406782,1.8287016222127712,1.873434050772627,1.860625,1.8420407162129016,1.8531765630261534,1.8141311444827908,1.8461224413004214
downregulated.stress,1.9056008616710263,1.9388968319662878,1.916685972431368,1.8988109184629802,1.8802952202436738,1.9193667157584684,1.9321966693100714,1.942107935020306,1.9176085311642863,1.9235932130584192,1.9230750644329897,1.8965094819905817,1.9311331469508999,1.9077609989835922,1.9228176985707592
