,downregulated.wound,upregulated.stress,downregulated.regen,msigdb.wound,msigdb.regen,upregulated.regen,upregulated.wound,msigdb.stress,downregulated.stress
downregulated.wound,1.863501030424944,1.9182385200111982,1.892708013722586,1.8493798691852634,1.8473384876816092,1.8918378095057335,1.887901094799394,1.879077698804125,1.9226203416593246
upregulated.stress,1.9182385200111982,1.9201457142341887,1.931539594376685,1.9090909090909092,1.8901524193956756,1.9291685457126575,1.921176380005076,1.9110717283835463,1.9253501326610083
downregulated.regen,1.892708013722586,1.931539594376685,1.9015480669547695,1.874628052619371,1.8634233817319372,1.908671827993563,1.9065563469320015,1.8995577454813943,1.937587230099809
msigdb.wound,1.8493798691852634,1.9090909090909092,1.874628052619371,1.7847412574229429,1.8019198069222753,1.8777336749167115,1.8725906545289424,1.855436250241111,1.9183214893404064
msigdb.regen,1.8473384876816092,1.8901524193956756,1.8634233817319372,1.8019198069222753,1.7630948961026525,1.8688152228855148,1.85785738552716,1.8350544393310135,1.9001325062612848
upregulated.regen,1.8918378095057335,1.9291685457126575,1.908671827993563,1.8777336749167115,1.8688152228855148,1.905834249296835,1.9050097486045496,1.8976082440206101,1.9306239857094487
upregulated.wound,1.887901094799394,1.921176380005076,1.9065563469320015,1.8725906545289424,1.85785738552716,1.9050097486045496,1.894759946627249,1.8901679965781206,1.9231525382866852
msigdb.stress,1.879077698804125,1.9110717283835463,1.8995577454813943,1.855436250241111,1.8350544393310135,1.8976082440206101,1.8901679965781206,1.8517968510153064,1.916416330989281
downregulated.stress,1.9226203416593246,1.9253501326610083,1.937587230099809,1.9183214893404064,1.9001325062612848,1.9306239857094487,1.9231525382866852,1.916416330989281,1.9170508289935169
