,downregulated.wound,upregulated.stress,downregulated.regen,msigdb.wound,msigdb.regen,upregulated.regen,upregulated.wound,msigdb.stress,downregulated.stress
downregulated.wound,-0.4563020656367036,-0.4309295982987091,-0.4443437646411158,-0.46138222307659027,-0.45596500532097084,-0.4454190321626883,-0.4468072812094298,-0.4432092760996352,-0.43016598612131984
upregulated.stress,-0.42939043539620125,-0.4316538916679651,-0.4256656387457057,-0.4327688115525717,-0.4357649495698883,-0.42788360467289405,-0.43145383024182604,-0.4290343017704935,-0.43061663606559125
downregulated.regen,-0.43949380148095096,-0.42320532406303085,-0.4387238682937999,-0.4463584683240692,-0.4460377028962423,-0.4356289755182478,-0.43603612933036995,-0.4312455252388761,-0.4219155876019476
msigdb.wound,-0.47063118327119946,-0.44109942917823175,-0.45924736298492896,-0.5068330144779194,-0.48933077166383776,-0.4591200140339578,-0.4614598901942796,-0.46418355719307003,-0.4377367357092293
msigdb.regen,-0.46466861728252323,-0.4454622733802885,-0.4596811284766778,-0.48698890514180765,-0.502303784797514,-0.4574280578091868,-0.4626164011262312,-0.46661953879446183,-0.44183495288989244
upregulated.regen,-0.44122880264757086,-0.4254208967108713,-0.43600168154297325,-0.4465056987521225,-0.44469360634399147,-0.4382896613131606,-0.4380751406154889,-0.4337678618084195,-0.42650161379471396
upregulated.wound,-0.441638882070984,-0.42819971208580904,-0.4357592020333115,-0.44672985084458783,-0.44841674953782995,-0.43708120343023116,-0.44173605610474354,-0.4355623761229345,-0.4288672723518338
msigdb.stress,-0.45974942044076733,-0.4445157525164278,-0.45013322442675807,-0.4761644412337763,-0.4781276288988969,-0.4538311580814249,-0.45769291430662573,-0.47326066243492754,-0.443943170055275
downregulated.stress,-0.42161358516181935,-0.42452335604644365,-0.418188142548238,-0.4198204047819267,-0.4235337378467003,-0.4219918562044667,-0.4250366741377831,-0.41939659851346717,-0.43046887664653694
