,PROTEIN_SECRETION,COAGULATION,E2F_TARGETS,COMPLEMENT,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_UP,IL6_JAK_STAT3_SIGNALING,MYC_TARGETS_V2,G2M_CHECKPOINT,XENOBIOTIC_METABOLISM,ESTROGEN_RESPONSE_EARLY,HEME_METABOLISM,WNT_BETA_CATENIN_SIGNALING,APOPTOSIS,KRAS_SIGNALING_UP,APICAL_SURFACE,NOTCH_SIGNALING,TNFA_SIGNALING_VIA_NFKB,GLYCOLYSIS,APICAL_JUNCTION,IL2_STAT5_SIGNALING,P53_PATHWAY,PANCREAS_BETA_CELLS,BILE_ACID_METABOLISM,INTERFERON_ALPHA_RESPONSE,HEDGEHOG_SIGNALING,ALLOGRAFT_REJECTION,MITOTIC_SPINDLE,TGF_BETA_SIGNALING,UV_RESPONSE_DN,KRAS_SIGNALING_DN,PEROXISOME,FATTY_ACID_METABOLISM,EPITHELIAL_MESENCHYMAL_TRANSITION,SPERMATOGENESIS,MTORC1_SIGNALING,CHOLESTEROL_HOMEOSTASIS,OXIDATIVE_PHOSPHORYLATION,MYOGENESIS,INTERFERON_GAMMA_RESPONSE,HYPOXIA,ANDROGEN_RESPONSE,ADIPOGENESIS,DNA_REPAIR,INFLAMMATORY_RESPONSE,MYC_TARGETS_V1,PI3K_AKT_MTOR_SIGNALING,ESTROGEN_RESPONSE_LATE,ANGIOGENESIS,REACTIVE_OXYGEN_SPECIES_PATHWAY,COSMIC
downregulated.wound,-0.04141648102317724,-0.06282454994099787,-0.03577980132705927,-0.05885329547157423,-0.03790168856242267,-0.046246152628690064,-0.07539676480752615,-0.02835962076338647,-0.03888886446780917,-0.04799238817835973,-0.0465113179775477,-0.041598354323159906,-0.04554340885056917,-0.06208832231619609,-0.053427641293106815,-0.04960016754230521,-0.04714223062683391,-0.0622433232218427,-0.045547330778499186,-0.055104497216015895,-0.05350856713807099,-0.046709791047431524,-0.04405760974717959,-0.04150551123747554,-0.056430846631325166,-0.05043573413535939,-0.06302209519273445,-0.04282079960464261,-0.05713809948773421,-0.052674464501283366,-0.04447164091379212,-0.042580441258017736,-0.04116629182254272,-0.06100726969715509,-0.0403429190710331,-0.04458556349592171,-0.046275373363884736,-0.030175263419286124,-0.05062709399838064,-0.0599315337763599,-0.05290914696190522,-0.04655927843844772,-0.0437025693117299,-0.028901326950582333,-0.06163428345684791,-0.036464608115415874,-0.055827700702437436,-0.047390538022592646,-0.06531662548182815,-0.04551006691563893,-0.04736335447761462
upregulated.stress,-0.0009506933617865742,-0.015682506420196456,-0.0036607032715469468,-0.00951868241683805,-0.0011590285956548272,-0.011060997656558361,-0.008471900369704327,0.0007253739195970618,-0.004393045307116176,-0.02271519837021115,-0.009666530755475383,-0.00861785855973986,-0.00897300963060603,-0.011625040487445074,-0.00969368889189084,-0.009066417064848167,-0.0046278516831547815,-0.01090132820590581,-0.007048914037212818,-0.004113266289117569,-0.007955961039775986,-0.008932434375189945,-0.009238028687855273,-0.02870145334729932,0.0014328720624446668,-0.005873326222019373,-0.0028466569802374207,0.0004956419004705857,-0.011858945510589003,-0.007653865329379112,-0.006828518722638217,-0.023539791330376102,-0.024313250546897088,-0.00965169976882082,-0.0030188779189356703,-0.008242708165331583,-0.016358547277549984,-0.0036622797585400646,-0.008099544526656394,-0.0013098927307532066,-0.011275783327258622,-0.010450714025025412,-0.013934181651653865,9.135769440244295e-05,-0.003985553547214694,0.0014024590800613861,-0.006447620215416095,-0.008784074155464025,-0.014818452318145214,-0.012919791763612652,-0.006644421141137318
downregulated.regen,-0.058144465531727606,-0.08148418336600682,-0.06734865225518386,-0.07482018362950466,-0.057406462581801335,-0.06563370581724871,-0.08676361786559418,-0.053278036949597644,-0.07021928647358966,-0.06399842483645053,-0.06670491849702721,-0.06309888955488123,-0.07254051631019409,-0.08021068780090966,-0.07000963439672388,-0.06767956834609976,-0.07151134357656459,-0.07525237418268396,-0.06330225553332793,-0.07457984609331068,-0.07199384485976956,-0.06709880336709038,-0.06415557750282755,-0.0609623493164744,-0.06704547134487521,-0.07145121573032441,-0.06949549681202699,-0.06761837044884213,-0.08548579532390599,-0.0753994208444688,-0.06539536550827284,-0.06285885957351743,-0.05802049069717283,-0.08438201691576384,-0.06411063149171614,-0.06458549523269876,-0.062354020315755265,-0.048440622123609244,-0.07228319357820977,-0.06899933255579109,-0.07139071757128139,-0.06727060486137196,-0.060933451650006895,-0.05542173148894266,-0.07559873192619002,-0.062441561018934756,-0.08162326905772285,-0.06767080516039131,-0.08413836194939806,-0.06267054925431827,-0.06987354802484297
msigdb.wound,-0.062391527644350055,-0.10599784215813085,-0.04193557735232403,-0.09568622309548969,-0.04805995915843003,-0.06452990359206764,-0.10904680094463913,-0.027514954816329925,-0.04872187680040187,-0.06247941072517812,-0.0668975822311013,-0.05987892654223367,-0.07640985819744074,-0.08654089796068444,-0.07966297444741452,-0.07570917858854921,-0.07520168140759424,-0.08313642739398537,-0.05908093901280865,-0.09097281518146691,-0.07798930282591242,-0.06247584113938289,-0.06993580010306141,-0.051553894399073596,-0.06850503958313862,-0.08556490061449057,-0.08266689453568593,-0.06613837913335223,-0.08891797982803758,-0.0886990440303431,-0.06924843385793913,-0.05322024438447107,-0.045918898526618665,-0.10031011266103305,-0.06009231576208386,-0.0526150877047664,-0.059343778855105514,-0.03119221922893914,-0.07607585107826528,-0.07476053872046731,-0.07398091208628052,-0.06633734767316407,-0.054837441792996704,-0.03572906625369078,-0.09518210065314704,-0.04077699087201298,-0.09251035697484469,-0.06855347363796585,-0.11206243357520364,-0.053928932944570206,-0.06934363445252051
msigdb.regen,-0.17351561462434725,-0.2026060876040511,-0.18055621367110666,-0.198611599553202,-0.1743295408601537,-0.18623643018737035,-0.22120525331440075,-0.16718297766013127,-0.18729157136278474,-0.179471636329518,-0.1868435494648016,-0.17430913927582728,-0.20167523683175276,-0.21013753882508845,-0.19052907007364273,-0.1968954613465651,-0.20067770279897698,-0.2038573826731903,-0.17634574152570728,-0.19846822801821384,-0.1931060631566638,-0.18887375669792325,-0.18893092709062795,-0.1725937883270738,-0.18578610479899224,-0.19869862622382936,-0.1966411509452671,-0.18815402480211635,-0.21038352946187802,-0.20200343786272112,-0.17736498233991752,-0.17567211700525798,-0.16676630656229782,-0.20575108392369934,-0.17745636566351738,-0.18111911826801338,-0.18207011730154346,-0.1584123577210787,-0.1873950132860564,-0.19124941061466136,-0.1923648014008403,-0.187724480893233,-0.17706408005034305,-0.16308783950763125,-0.20154655195073934,-0.17577202013015644,-0.2197195502494981,-0.1870620644018345,-0.21094644704076515,-0.17486855579265964,-0.19122369665505815
upregulated.regen,-0.03420680463948194,-0.052152435693347494,-0.03480811495983913,-0.04737822394005764,-0.03050783512337533,-0.03825786393835184,-0.05654832374815879,-0.025832784200433515,-0.03709453358200732,-0.04236207464515819,-0.039962764165358086,-0.03772471246895397,-0.04294652093759039,-0.049760511467899185,-0.04338823907187844,-0.039695965709003335,-0.04341571832091834,-0.04702643294053179,-0.03827162522177344,-0.046939778599477115,-0.04374549255428929,-0.04068775679337263,-0.03490604630815175,-0.03679294535946125,-0.04008139032852456,-0.041657866679477816,-0.042641911832233786,-0.03736243586537386,-0.05004577589834132,-0.04561885240785696,-0.03785461548039916,-0.03708186300268528,-0.036888138516250626,-0.05142440926298889,-0.03555582422011906,-0.03910326935098362,-0.039509065797407296,-0.025706006082669694,-0.04506520491343585,-0.04270246605566267,-0.044224825562532905,-0.03961327513176391,-0.03658858027010802,-0.025538911486523038,-0.045721835878281374,-0.03349697587313723,-0.045253173189074625,-0.04098186034802283,-0.05160896990768588,-0.038394273249746244,-0.03937398425048897
upregulated.wound,-0.039346735445436515,-0.05462982781600525,-0.03562488283633721,-0.050509386617183086,-0.03529138856690438,-0.04431201321362582,-0.05776644230976514,-0.03070911225350934,-0.0394524391238399,-0.04496888990383276,-0.04497733380518379,-0.04118786914575795,-0.04721258134364737,-0.05438930418265052,-0.04630967980431972,-0.0453520246790548,-0.04882938894195039,-0.05084193569436542,-0.04147549460902144,-0.050982605918761525,-0.04666933253512486,-0.04300557011396467,-0.042465003691716414,-0.04390560966594937,-0.04183126209423215,-0.04445445975001092,-0.04709395429655178,-0.03967883476404969,-0.05664399666310393,-0.04941616825262469,-0.04169345322056944,-0.04358918223194998,-0.04198499960240415,-0.05416241210296605,-0.03827495539505626,-0.044777557246225105,-0.04554267259363563,-0.03278652894893629,-0.048454343774763604,-0.04539371498651672,-0.049000414553408145,-0.0446254871921179,-0.04157691576304622,-0.02911693606084549,-0.05009967165785541,-0.036954351457149995,-0.05278902592575535,-0.04463472598051836,-0.05587867178158807,-0.0411584024336754,-0.045208501187586715
msigdb.stress,-0.0739438776530191,-0.08206646442667942,-0.09049278820002642,-0.08567746823313903,-0.08111396724199503,-0.08225708074552586,-0.10169355689880041,-0.07222888820476472,-0.09295210883252146,-0.0757424474782696,-0.08101554217560941,-0.0739661840417724,-0.09396714204371039,-0.09916678906120795,-0.08250141044902291,-0.08243480593728432,-0.09436980657793176,-0.09349347555969438,-0.074903372527948,-0.08348847529732072,-0.08495749868484605,-0.08608374562222092,-0.07344169003739441,-0.07142428050762806,-0.08547521412575583,-0.0845992015573349,-0.08587162633109213,-0.08332429942220318,-0.09863173977486474,-0.0863877565987654,-0.07351334077341035,-0.07519286436457562,-0.07098577088537363,-0.08282058564341302,-0.07895419746436871,-0.08518512420086294,-0.0770514474247234,-0.06973848522107688,-0.07825228135029631,-0.08652295149761048,-0.08205198599210728,-0.08237845228327706,-0.07558985408089784,-0.07687681644599245,-0.08632003984983447,-0.0902415135722095,-0.10008108538961455,-0.08159453903291934,-0.08464826487581376,-0.07833279142775045,-0.08805318797867898
downregulated.stress,0.0068308795329283635,-0.0031947280041321495,0.013074390233593186,0.0007978290057003248,0.005779089440288839,0.000702921877550317,0.0012839189476092688,0.007598847370713387,0.01136098210658863,-0.010602247758627338,0.0008239194226167028,0.0008016957224899891,0.005022030976686361,-0.0010007115671696845,0.0016472053444993868,0.0011728862799448964,0.0077794800559406515,0.0013577320362481759,0.002310436620447495,0.004709696356055366,0.0012224194097561693,0.0022733480669104448,0.0021802897906033967,-0.013562088069570655,0.005726511227803756,0.004339062949456439,0.005014128801070186,0.012523180682027853,0.00289017266409158,0.003436795431570308,0.002629376845848227,-0.008150018608067558,-0.012768397134315958,0.0016334137181387436,0.0076557616429755735,-0.0001974748745096803,-0.005268875378539181,0.005402709706999182,0.0019119614812016681,0.004848869950806338,-0.0005527919093902925,0.0010161229704538585,-0.003162867669924019,0.01185606783743872,0.003562230435367642,0.010366994201519148,0.0036768778024905196,0.001399699828916003,-0.0005159414385288025,-5.3486180861645765e-05,0.005538539622243138
