,downregulated.wound,upregulated.stress,downregulated.regen,msigdb.wound,msigdb.regen,upregulated.regen,upregulated.wound,msigdb.stress,downregulated.stress
downregulated.wound,4.160578883963371,4.471043957454142,4.34291768358364,4.288661222575212,4.520403764104241,4.370015311896678,4.416489256506009,4.476258516440433,4.547712136837373
upregulated.stress,4.471043957454142,4.587512198112678,4.548129895709288,4.534246575342466,4.682838763228886,4.602335505347404,4.610866086730509,4.628956931653994,4.648913077839011
downregulated.regen,4.34291768358364,4.548129895709288,4.402112510395234,4.401792400270777,4.5665664160401,4.505500375713589,4.520581707400785,4.566696564608931,4.620567270504226
msigdb.wound,4.288661222575212,4.534246575342466,4.401792400270777,4.3311356892365795,4.561484429170058,4.468966804391757,4.492138095547381,4.563503598012694,4.613844231314735
msigdb.regen,4.520403764104241,4.682838763228886,4.5665664160401,4.561484429170058,4.64775295003766,4.671776278001149,4.671074516261836,4.702581701280003,4.744804583939109
upregulated.regen,4.370015311896678,4.602335505347404,4.505500375713589,4.468966804391757,4.671776278001149,4.513253500185377,4.569933814364214,4.630537964696725,4.670219558693411
upregulated.wound,4.416489256506009,4.610866086730509,4.520581707400785,4.492138095547381,4.671074516261836,4.569933814364214,4.571565616569769,4.622831432740637,4.656798667715534
msigdb.stress,4.476258516440433,4.628956931653994,4.566696564608931,4.563503598012694,4.702581701280003,4.630537964696725,4.622831432740637,4.59431304809992,4.6682020258722225
downregulated.stress,4.547712136837373,4.648913077839011,4.620567270504226,4.613844231314735,4.744804583939109,4.670219558693411,4.656798667715534,4.6682020258722225,4.645328156855941
