,1,2,3,4,5,6,7,8,9
8,0.00387717121588089,0.00289495450785773,0.00496277915632754,0.0011373035566584,0.00909842845326716,0.00485938792390405,0.0037737799834574,0.00367038875103391,0.00485938792390405
19,0.0037737799834574,0.00346360628618693,0.0043424317617866,0.0010339123242349,0.00827129859387924,0.00444582299421009,0.00387717121588089,0.00367038875103391,0.00485938792390405
23,0.00641025641025641,0.00299834574028122,0.00615177832919768,0.00144747725392887,0.00873655913978495,0.00522125723738627,0.00522125723738627,0.00372208436724566,0.00542803970223325
31,0.00315343258891646,0.00284325889164599,0.00367038875103391,0.000878825475599669,0.00682382133995037,0.0037737799834574,0.0033085194375517,0.00320512820512821,0.00346360628618693
39,0.00418734491315136,0.00222291149710505,0.00392886683209264,0.000930521091811414,0.00625516956162117,0.0021712158808933,0.00336021505376344,0.00320512820512821,0.00361869313482217
43,0.00372208436724566,0.00263647642679901,0.00439412737799835,0.000775434243176179,0.00951199338296112,0.00191273779983457,0.00398056244830438,0.00294665012406948,0.00392886683209264
44,0.00310173697270471,0.00279156327543424,0.00351530190239868,0.00108560794044665,0.00878825475599669,0.00186104218362283,0.0033085194375517,0.00367038875103391,0.00387717121588089
53,0.00444582299421009,0.00315343258891646,0.0043424317617866,0.00139578163771712,0.0108560794044665,0.0027398676592225,0.00392886683209264,0.00336021505376344,0.00429073614557485
62,0.00356699751861042,0.00310173697270471,0.00413564929693962,0.00139578163771712,0.00971877584780811,0.00268817204301075,0.0037737799834574,0.00336021505376344,0.00413564929693962
70,0.00392886683209264,0.00367038875103391,0.0043424317617866,0.00144747725392887,0.00966708023159636,0.00418734491315136,0.00398056244830438,0.00263647642679901,0.00413564929693962
85,0.00403225806451613,0.00284325889164599,0.00454921422663358,0.00118899917287014,0.0115798180314309,0.00315343258891646,0.00429073614557485,0.00279156327543424,0.0049110835401158
86,0.00429073614557485,0.00341191066997519,0.00460090984284533,0.00155086848635236,0.0119416873449132,0.00299834574028122,0.00341191066997519,0.00429073614557485,0.00573821339950372
91,0.00320512820512821,0.00284325889164599,0.00346360628618693,0.00098221670802316,0.00873655913978495,0.00201612903225806,0.00315343258891646,0.0033085194375517,0.00372208436724566
100,0.0070822994210091,0.0037737799834574,0.0065136476426799,0.00144747725392887,0.0143196856906534,0.00320512820512821,0.00682382133995037,0.00537634408602151,0.00532464846980976
104,0.00367038875103391,0.00289495450785773,0.00413564929693962,0.000878825475599669,0.00951199338296112,0.00227460711331679,0.00418734491315136,0.00315343258891646,0.00382547559966915
108,0.00320512820512821,0.00155086848635236,0.00336021505376344,0.000568651778329198,0.00625516956162117,0.00149917287014061,0.00263647642679901,0.00227460711331679,0.00299834574028122
110,0.00413564929693962,0.00361869313482217,0.00496277915632754,0.00098221670802316,0.010752688172043,0.00449751861042184,0.00475599669148056,0.00460090984284533,0.00470430107526882
139,0.00666873449131514,0.00635856079404467,0.00537634408602151,0.00118899917287014,0.0151468155500414,0.0033085194375517,0.00672043010752688,0.00599669148056245,0.00568651778329198
145,0.0033085194375517,0.00263647642679901,0.00346360628618693,0.0010339123242349,0.0102357320099256,0.00191273779983457,0.00382547559966915,0.00305004135649297,0.00315343258891646
153,0.00418734491315136,0.00356699751861042,0.0059449958643507,0.00098221670802316,0.0108560794044665,0.00527295285359802,0.0049110835401158,0.00439412737799835,0.00511786600496278
