,downregulated.wound,upregulated.stress,downregulated.regen,msigdb.wound,msigdb.regen,upregulated.regen,upregulated.wound,msigdb.stress,downregulated.stress
downregulated.wound,0.0,0.0,0.0,0.0,1.0545372758562908e-240,0.0,0.0,0.0,0.0
upregulated.stress,8.783887594076658e-253,4.584532655015853e-77,7.550879699998829e-148,5.458379951775777e-152,1.7507704284680833e-22,3.459355510808391e-211,7.223783606352358e-133,2.2288406258588232e-30,6.523953325557256e-36
downregulated.regen,0.0,0.0,0.0,0.0,2.293438347513249e-210,0.0,0.0,0.0,0.0
msigdb.wound,0.0,1.7253045904687484e-266,0.0,0.0,2.240091692362837e-118,0.0,0.0,1.9123839939537525e-285,5.3318968263208404e-117
msigdb.regen,0.0,1.0119641402283886e-127,0.0,1.0653397051690726e-232,2.2582112264589666e-73,1.4095690892556697e-254,2.8610737440878295e-245,1.701438928268505e-225,4.245124909456631e-87
upregulated.regen,0.0,4.9836650938962386e-188,0.0,0.0,2.726141637228864e-66,0.0,0.0,2.717991930471446e-216,9.783359509866788e-94
upregulated.wound,0.0,6.284942896071907e-42,5.376123400974139e-215,1.6492511679329247e-195,1.0571741627796845e-28,5.076575998474943e-223,7.809731671219674e-168,6.214168127771829e-37,5.343523458411287e-19
msigdb.stress,0.0,2.0939668445729205e-150,0.0,7.017459226336816e-229,2.86919531177613e-52,0.0,1.8246129626865586e-285,0.0,1.614821231183158e-101
downregulated.stress,1.2966759322304296e-245,5.670451070149676e-126,1.741424237093271e-178,1.0385967172358348e-126,2.1079628514848363e-32,6.182238962396482e-186,2.252642626207142e-190,8.056518273813366e-248,9.329005880308396e-148
