,Differentiation,Cell_Cycle,EMT,Proliferation,Metastasis,DNA_damage,Quiescence,Apoptosis,Inflammation,Invasion,Stemness,Hypoxia,DNA_repair,Angiogenesis,COSMIC
_upregulated.regen,2.8890653117391762,2.882435160739245,2.9306717666746356,2.868955512572534,2.902643455834945,2.8534954407294832,2.941080196399345,2.9416505480335267,2.922311145813,2.9164450354609928,2.9106382978723406,2.9254005778828476,2.91002524341868,2.907102187593647,2.895551257253385
_msigdb.regen,2.9594681957444418,2.8959544723493753,2.9724496921221353,2.933872624550591,2.9673686012669065,2.88985741189131,2.980704041720991,2.9675569251840437,2.9764681490696105,2.9449741054613936,2.9608050847457625,2.9591267350212735,2.951402853586134,2.9638736373040504,2.9605161787365177
_msigdb.wound,2.9245390404977085,2.8896471299615603,2.9543026837754582,2.9027703066164605,2.938186599725061,2.8720954259415796,2.965346684873312,2.9583706891399197,2.955811302318007,2.9336579552925706,2.9352317554240632,2.9450166800594153,2.930983184568582,2.9370503097480345,2.9257889546351086
_downregulated.stress,2.8793422914751754,2.880450371385149,2.924791591156216,2.860070647827246,2.8936372522882787,2.848652422845971,2.9357545680126327,2.938260908202257,2.9152250531356776,2.912420576735093,2.903225806451613,2.9208030122008615,2.904369004423679,2.8992193630994176,2.8865052652625964
_upregulated.wound,2.8854924882974293,2.88187228075222,2.9293463220235787,2.8660014554411104,2.9002612330198536,2.8517358667604973,2.940394088669951,2.941465144051351,2.9214760247661227,2.9158713054187193,2.9078817733990148,2.924496746335827,2.9079590047591215,2.9046347047804066,2.8914856695029107
_msigdb.stress,2.868151405979507,2.8783893554218247,2.9184160473389453,2.849805856369336,2.8836230645008074,2.842812360053739,2.929744393537497,2.934359266647668,2.906948319001467,2.9081602664576804,2.89542025862069,2.9156314098842833,2.8977737633494502,2.8903262837211354,2.8760063408378453
_downregulated.wound,2.8993268949370794,2.884561123719561,2.937763869592781,2.878846993342792,2.9132161955691367,2.8589035614245697,2.948527103148952,2.9468514678598714,2.932618919127284,2.921706182472989,2.917684573829532,2.9313354971618275,2.9160986428469693,2.915898753867744,2.9040502564662227
_downregulated.regen,2.8825806451612905,2.881007770190723,2.9262196447988402,2.8628299120234604,2.8960469208211146,2.850248847926267,2.9367146401985114,2.9387096774193546,2.9164486534477656,2.9131854838709677,2.905725806451613,2.921831939466348,2.9062438490978675,2.9015720127214903,2.889992668621701
_upregulated.stress,2.8865302588342168,2.882160000833012,2.930532625943676,2.867202697445208,2.9018631392383174,2.8523334012635013,2.941929112257215,2.9426576751826397,2.923647737831931,2.9169192819781267,2.9084700427960057,2.9255736954262868,2.908593051089243,2.905768419360672,2.8918914537673452
