degree,celegans_stress_down_Fraction_sp_less4,dmelanogaster_stress_down_Fraction_sp_less4,dmelanogaster_wound_down_Fraction_sp_less4,drerio_regen_down_Fraction_sp_less4,hsapiens_regen_down_Fraction_sp_less4,hsapiens_stress_down_Fraction_sp_less4,hsapiens_wound_down_Fraction_sp_less4,mmusculus_stress_down_Fraction_sp_less4,rnorvegicus_wound_down_Fraction_sp_less4,sscrofa_wound_down_Fraction_sp_less4,label,gene_list
2,0.773529411764706,0.847826086956522,0.806451612903226,0.861189801699717,0.853868194842407,0.817204301075269,0.862433862433862,0.821138211382114,0.917525773195876,0.893518518518518,1,RHOH
8,0.917647058823529,0.945652173913043,0.949308755760369,0.926345609065156,0.95702005730659,0.943548387096774,0.947089947089947,0.940379403794038,0.971649484536082,0.965277777777778,1,TNFAIP3
20,0.958823529411765,0.989130434782609,0.967741935483871,0.940509915014164,0.968481375358166,0.954301075268817,0.915343915343915,0.959349593495935,0.971649484536082,0.965277777777778,1,SUZ12
5,0.944117647058824,0.956521739130435,0.95852534562212,0.951841359773371,0.968481375358166,0.946236559139785,0.947089947089947,0.959349593495935,0.97680412371134,0.983796296296296,1,CCND3
2,0.744117647058824,0.815217391304348,0.847926267281106,0.815864022662889,0.848137535816619,0.830645161290323,0.846560846560847,0.829268292682927,0.904639175257732,0.898148148148148,1,CLIP1
4,0.911764705882353,0.91304347826087,0.935483870967742,0.943342776203966,0.95702005730659,0.92741935483871,0.936507936507937,0.951219512195122,0.971649484536082,0.972222222222222,1,ATF1
1,0.9,0.91304347826087,0.889400921658986,0.900849858356941,0.934097421203438,0.922043010752688,0.931216931216931,0.910569105691057,0.948453608247423,0.946759259259259,1,CSF3R
13,0.944117647058824,0.956521739130435,0.940092165898618,0.954674220963173,0.968481375358166,0.967741935483871,0.962962962962963,0.967479674796748,0.97680412371134,0.983796296296296,1,EWSR1
6,0.814705882352941,0.880434782608696,0.866359447004608,0.889518413597734,0.893982808022923,0.876344086021505,0.894179894179894,0.872628726287263,0.927835051546392,0.914351851851852,1,TEC
3,0.967647058823529,0.978260869565217,1,0.971671388101983,0.991404011461318,0.991935483870968,0.978835978835979,0.986449864498645,0.987113402061856,0.990740740740741,1,BRCA1
4,0.944117647058824,0.978260869565217,0.944700460829493,0.954674220963173,0.954154727793696,0.962365591397849,0.957671957671958,0.97289972899729,0.979381443298969,0.983796296296296,1,MYOD1
