degree,downregulated.regen_Fraction_sp_less4,downregulated.stress_Fraction_sp_less4,downregulated.wound_Fraction_sp_less4,msigdb.regen_Fraction_sp_less4,msigdb.stress_Fraction_sp_less4,msigdb.wound_Fraction_sp_less4,upregulated.regen_Fraction_sp_less4,upregulated.stress_Fraction_sp_less4,upregulated.wound_Fraction_sp_less4,downregulated.regen_Fraction_sp_less4.1,downregulated.stress_Fraction_sp_less4.1,downregulated.wound_Fraction_sp_less4.1,msigdb.regen_Fraction_sp_less4.1,msigdb.stress_Fraction_sp_less4.1,msigdb.wound_Fraction_sp_less4.1,upregulated.regen_Fraction_sp_less4.1,upregulated.stress_Fraction_sp_less4.1,upregulated.wound_Fraction_sp_less4.1,label
48,0.00298115907464822,0.00155020271881708,0.00691628905318388,0.000476985451943716,0.0107321726687336,0.00262341998569044,0.00262341998569044,0.00429286906749344,0.0036966372525638,0.00298115907464822,0.00155020271881708,0.00691628905318388,0.000476985451943716,0.0107321726687336,0.00262341998569044,0.00262341998569044,0.00429286906749344,0.0036966372525638,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
13,0.00727402814214166,0.00286191271166229,0.0138325781063678,0.000953970903887431,0.00894347722394467,0.00548533269735273,0.00763176723109945,0.00381588361554973,0.00775101359408538,0.00727402814214166,0.00286191271166229,0.0138325781063678,0.000953970903887431,0.00894347722394467,0.00548533269735273,0.00763176723109945,0.00381588361554973,0.00775101359408538,1
1,0.0248032435010732,0.0152635344621989,0.01669449081803,0.00476985451943716,0.0271881707607918,0.011805389935607,0.0126401144765085,0.0153827808251848,0.01669449081803,0.0248032435010732,0.0152635344621989,0.01669449081803,0.00476985451943716,0.0271881707607918,0.011805389935607,0.0126401144765085,0.0153827808251848,0.01669449081803,1
81,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,0.00488910088242309,0.00739327450512759,0.00488910088242309,0.00107321726687336,0.00894347722394467,0.00238492725971858,0.00357739088957787,0.00524683997138087,0.00584307178631052,0.00488910088242309,0.00739327450512759,0.00488910088242309,0.00107321726687336,0.00894347722394467,0.00238492725971858,0.00357739088957787,0.00524683997138087,0.00584307178631052,1
15,0.00500834724540901,0.00488910088242309,0.00643930360124016,0.000715478177915574,0.00763176723109945,0.00393512997853565,0.00846649177200095,0.00548533269735273,0.0082279990460291,0.00500834724540901,0.00488910088242309,0.00643930360124016,0.000715478177915574,0.00763176723109945,0.00393512997853565,0.00846649177200095,0.00548533269735273,0.0082279990460291,1
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
8,0.0138325781063678,0.00298115907464822,0.01347483901741,0.00178869544478893,0.00965895540186024,0.00787025995707131,0.00870498449797281,0.0053660863343668,0.0082279990460291,0.0138325781063678,0.00298115907464822,0.01347483901741,0.00178869544478893,0.00965895540186024,0.00787025995707131,0.00870498449797281,0.0053660863343668,0.0082279990460291,1
1,0.00321965180062008,0.000476985451943716,0.00226568089673265,0.000953970903887431,0.0110899117576914,0.00107321726687336,0.00107321726687336,0.00465060815645123,0.00262341998569044,0.00321965180062008,0.000476985451943716,0.00226568089673265,0.000953970903887431,0.0110899117576914,0.00107321726687336,0.00107321726687336,0.00465060815645123,0.00262341998569044,1
3,0.0155020271881708,0.0156212735511567,0.0129978535654663,0.00298115907464822,0.0330312425471023,0.00655854996422609,0.00953970903887431,0.0155020271881708,0.015025041736227,0.0155020271881708,0.0156212735511567,0.0129978535654663,0.00298115907464822,0.0330312425471023,0.00655854996422609,0.00953970903887431,0.0155020271881708,0.015025041736227,1
372,0.00882423086095874,0.00643930360124016,0.0082279990460291,0.000953970903887431,0.0135940853803959,0.00357739088957787,0.00775101359408538,0.00584307178631052,0.00763176723109945,0.00882423086095874,0.00643930360124016,0.0082279990460291,0.000953970903887431,0.0135940853803959,0.00357739088957787,0.00775101359408538,0.00584307178631052,0.00763176723109945,1
3,0.00357739088957787,0.00119246362985929,0.011686143572621,0.000476985451943716,0.00548533269735273,0.00321965180062008,0.00512759360839494,0.00238492725971858,0.0036966372525638,0.00357739088957787,0.00119246362985929,0.011686143572621,0.000476985451943716,0.00548533269735273,0.00321965180062008,0.00512759360839494,0.00238492725971858,0.0036966372525638,1
1,0.0326735034581445,0.0209873598855235,0.0311233007393274,0.00655854996422609,0.0444788933937515,0.0172907226329597,0.0227760553303124,0.0230145480562843,0.0288576198425948,0.0326735034581445,0.0209873598855235,0.0311233007393274,0.00655854996422609,0.0444788933937515,0.0172907226329597,0.0227760553303124,0.0230145480562843,0.0288576198425948,1
21,0.00727402814214166,0.00703553541616981,0.00894347722394467,0.00131170999284522,0.0114476508466492,0.00512759360839494,0.0109706653947055,0.00739327450512759,0.0107321726687336,0.00727402814214166,0.00703553541616981,0.00894347722394467,0.00131170999284522,0.0114476508466492,0.00512759360839494,0.0109706653947055,0.00739327450512759,0.0107321726687336,1
1,0.0292153589315526,0.0155020271881708,0.0250417362270451,0.00560457906033866,0.0325542570951586,0.0157405199141426,0.0187216789887908,0.0174099689959456,0.0230145480562843,0.0292153589315526,0.0155020271881708,0.0250417362270451,0.00560457906033866,0.0325542570951586,0.0157405199141426,0.0187216789887908,0.0174099689959456,0.0230145480562843,1
31,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
26,0.0132363462914381,0.0141903171953255,0.0200333889816361,0.00250417362270451,0.0383973288814691,0.00667779632721202,0.01347483901741,0.0165752444550441,0.0152635344621989,0.0132363462914381,0.0141903171953255,0.0200333889816361,0.00250417362270451,0.0383973288814691,0.00667779632721202,0.01347483901741,0.0165752444550441,0.0152635344621989,1
2,0.000119246362985929,0,0.000238492725971858,0,0,0,0,0,0,0.000119246362985929,0,0.000238492725971858,0,0,0,0,0,0,1
33,0.00560457906033866,0.00572382542332459,0.00715478177915574,0.000834724540901503,0.00882423086095874,0.00476985451943716,0.00942046267588839,0.00608156451228238,0.00977820176484617,0.00560457906033866,0.00572382542332459,0.00715478177915574,0.000834724540901503,0.00882423086095874,0.00476985451943716,0.00942046267588839,0.00608156451228238,0.00977820176484617,1
118,0.013355592654424,0.00751252086811352,0.0189601717147627,0.00214643453374672,0.0233722871452421,0.00608156451228238,0.0138325781063678,0.011686143572621,0.0110899117576914,0.013355592654424,0.00751252086811352,0.0189601717147627,0.00214643453374672,0.0233722871452421,0.00608156451228238,0.0138325781063678,0.011686143572621,0.0110899117576914,1
6,0.0163367517290723,0.00977820176484617,0.0296923443834963,0.00238492725971858,0.0238492725971858,0.00953970903887431,0.018483186262819,0.0107321726687336,0.0157405199141426,0.0163367517290723,0.00977820176484617,0.0296923443834963,0.00238492725971858,0.0238492725971858,0.00953970903887431,0.018483186262819,0.0107321726687336,0.0157405199141426,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0.0343429525399475,0.0211066062485094,0.0350584307178631,0.00572382542332459,0.0455521106606249,0.018483186262819,0.0253994753160029,0.0225375626043406,0.0312425471023134,0.0343429525399475,0.0211066062485094,0.0350584307178631,0.00572382542332459,0.0455521106606249,0.018483186262819,0.0253994753160029,0.0225375626043406,0.0312425471023134,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
118,0.00942046267588839,0.0138325781063678,0.00953970903887431,0.00190794180777486,0.0243262580491295,0.00476985451943716,0.00798950632005724,0.0126401144765085,0.0113284044836632,0.00942046267588839,0.0138325781063678,0.00953970903887431,0.00190794180777486,0.0243262580491295,0.00476985451943716,0.00798950632005724,0.0126401144765085,0.0113284044836632,1
3,0.0224183162413546,0.0135940853803959,0.0375626043405676,0.00345814452659194,0.0337467207250179,0.0147865490102552,0.0249224898640591,0.0160982590031004,0.0215835917004531,0.0224183162413546,0.0135940853803959,0.0375626043405676,0.00345814452659194,0.0337467207250179,0.0147865490102552,0.0249224898640591,0.0160982590031004,0.0215835917004531,1
9,0.00345814452659194,0.000476985451943716,0.00214643453374672,0.000834724540901503,0.010135940853804,0.000834724540901503,0.000476985451943716,0.00393512997853565,0.00226568089673265,0.00345814452659194,0.000476985451943716,0.00214643453374672,0.000834724540901503,0.010135940853804,0.000834724540901503,0.000476985451943716,0.00393512997853565,0.00226568089673265,1
40,0.0152635344621989,0.00834724540901502,0.0283806343906511,0.00298115907464822,0.0231337944192702,0.00918196994991653,0.0182446935368471,0.011805389935607,0.0144288099212974,0.0152635344621989,0.00834724540901502,0.0283806343906511,0.00298115907464822,0.0231337944192702,0.00918196994991653,0.0182446935368471,0.011805389935607,0.0144288099212974,1
4,0.00643930360124016,0.00524683997138087,0.00751252086811352,0.00143095635583115,0.0180062008108753,0.00321965180062008,0.0062008108752683,0.00846649177200095,0.00691628905318388,0.00643930360124016,0.00524683997138087,0.00751252086811352,0.00143095635583115,0.0180062008108753,0.00321965180062008,0.0062008108752683,0.00846649177200095,0.00691628905318388,1
