degree,amexicanum_regen_up_Fraction_sp_less4,celegans_stress_up_Fraction_sp_less4,clupisFamiliaris_wound_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_wound_up_Fraction_sp_less4,drerio_regen_up_Fraction_sp_less4,hsapiens_regen_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less4,hsapiens_wound_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less4,rnorvegicus_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less4,label,gene_list
7,0.723981900452489,0.625,0.565217391304348,0.601671309192201,0.674616695059625,0.758974358974359,0.75811209439528,0.772117962466488,0.662068965517241,0.773480662983425,0.629392971246006,0.796095444685466,0,A1BG
102,0.923076923076923,0.923295454545455,0.91304347826087,0.927576601671309,0.950596252129472,0.964102564102564,0.964601769911504,0.970509383378016,0.924137931034483,0.94475138121547,0.939297124600639,0.969631236442516,0,ANXA7
286,0.975113122171946,0.977272727272727,0.956521739130435,0.972144846796657,0.986371379897785,0.994871794871795,0.982300884955752,0.991957104557641,1,0.99171270718232,0.97444089456869,0.995661605206074,1,CDKN1A
1,0.0542986425339367,0.0482954545454545,0,0.064066852367688,0.0545144804088586,0.058974358974359,0.0648967551622419,0.0509383378016086,0.0551724137931034,0.0662983425414365,0.0351437699680511,0.0802603036876356,0,CRISP3
202,0.959276018099548,0.954545454545455,0.956521739130435,0.952646239554318,0.981260647359455,0.98974358974359,0.970501474926254,0.981233243967828,0.951724137931034,0.977900552486188,0.955271565495208,0.986984815618221,0,TK1
5,0.454751131221719,0.355113636363636,0.108695652173913,0.384401114206128,0.458262350936968,0.494871794871795,0.386430678466077,0.482573726541555,0.4,0.469613259668508,0.383386581469649,0.527114967462039,1,A1CF
16,0.708144796380091,0.670454545454545,0.608695652173913,0.685236768802228,0.701873935264055,0.776923076923077,0.707964601769911,0.766756032171582,0.731034482758621,0.784530386740331,0.587859424920128,0.79826464208243,0,APOBEC1
1,0.00904977375565611,0.00284090909090909,0,0.00557103064066852,0.00170357751277683,0.00256410256410256,0.00589970501474926,0.00804289544235925,0.00689655172413793,0.00828729281767956,0.00319488817891374,0.0130151843817787,0,CELF2
39,0.920814479638009,0.897727272727273,0.869565217391304,0.84958217270195,0.916524701873935,0.951282051282051,0.905604719764012,0.949061662198391,0.896551724137931,0.947513812154696,0.87220447284345,0.950108459869848,0,KHSRP
43,0.90249433106576,0.914772727272727,0.891304347826087,0.891364902506964,0.923339011925043,0.941025641025641,0.920353982300885,0.954423592493298,0.895833333333333,0.930939226519337,0.878594249201278,0.960954446854664,0,SYNCRIP
13,0.850678733031674,0.798295454545455,0.739130434782609,0.768802228412256,0.829642248722317,0.871794871794872,0.855457227138643,0.882037533512064,0.827586206896552,0.867403314917127,0.773162939297125,0.880694143167028,0,TNPO2
21,0.794117647058823,0.78125,0.782608695652174,0.740947075208914,0.798977853492334,0.848717948717949,0.825958702064897,0.86058981233244,0.813793103448276,0.839779005524862,0.766773162939297,0.867678958785249,0,A2BP1
132,0.959276018099548,0.957386363636364,0.978260869565217,0.930362116991644,0.965928449744463,0.976923076923077,0.973451327433628,0.981233243967828,0.972413793103448,0.975138121546961,0.939297124600639,0.971800433839479,0,ATXN1
21,0.819004524886878,0.761363636363636,0.804347826086957,0.768802228412256,0.816013628620102,0.866666666666667,0.823008849557522,0.836461126005362,0.772413793103448,0.850828729281768,0.744408945686901,0.882863340563991,0,ATXN2
12,0.710407239819005,0.659090909090909,0.565217391304348,0.623955431754875,0.698466780238501,0.746153846153846,0.725663716814159,0.702412868632708,0.648275862068965,0.715469613259669,0.591054313099042,0.754880694143167,0,DMRTB1
95,0.943438914027149,0.928977272727273,0.891304347826087,0.913649025069638,0.948892674616695,0.982051282051282,0.955752212389381,0.973190348525469,0.937931034482759,0.958563535911602,0.939297124600639,0.971800433839479,0,HNRNPF
46,0.895927601809955,0.860795454545455,0.826086956521739,0.838440111420613,0.880749574105622,0.941025641025641,0.890855457227139,0.949061662198391,0.910344827586207,0.919889502762431,0.865814696485623,0.941431670281996,0,HSFX1
18,0.773755656108597,0.710227272727273,0.673913043478261,0.710306406685237,0.773424190800681,0.81025641025641,0.790560471976401,0.828418230563003,0.76551724137931,0.825966850828729,0.73482428115016,0.852494577006508,0,LZTS2
200,0.938914027149321,0.931818181818182,0.891304347826087,0.910863509749304,0.945485519591141,0.964102564102564,0.955752212389381,0.975871313672922,0.937931034482759,0.958563535911602,0.92332268370607,0.973969631236443,0,MAFF
299,0.947845804988662,0.943181818181818,0.934782608695652,0.930362116991644,0.960817717206133,0.976923076923077,0.967551622418879,0.991957104557641,0.972222222222222,0.975138121546961,0.945686900958466,0.982646420824295,0,MAFK
50,0.904977375565611,0.880681818181818,0.847826086956522,0.855153203342618,0.906303236797274,0.943589743589744,0.926253687315634,0.962466487935657,0.896551724137931,0.922651933701657,0.891373801916933,0.950108459869848,0,NUP37
59,0.904977375565611,0.877840909090909,0.847826086956522,0.855153203342618,0.904599659284497,0.948717948717949,0.929203539823009,0.96514745308311,0.896551724137931,0.922651933701657,0.894568690095847,0.950108459869848,0,NUP43
31,0.830316742081448,0.806818181818182,0.717391304347826,0.81058495821727,0.856899488926746,0.897435897435897,0.855457227138643,0.938337801608579,0.827586206896552,0.886740331491713,0.798722044728435,0.908893709327549,0,NUP50
