degree,amexicanum_regen_up_Fraction_sp_less4,celegans_stress_up_Fraction_sp_less4,clupisFamiliaris_wound_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_wound_up_Fraction_sp_less4,drerio_regen_up_Fraction_sp_less4,hsapiens_regen_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less4,hsapiens_wound_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less4,rnorvegicus_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less4,label
50,0.599547511312217,0.653409090909091,0.391304347826087,0.551532033426184,0.65076660988075,0.653846153846154,0.604719764011799,0.630026809651475,0.613793103448276,0.62707182320442,0.479233226837061,0.700650759219089,1
1,0.712669683257919,0.630681818181818,0.608695652173913,0.523809523809524,0.69335604770017,0.776923076923077,0.743362831858407,0.753351206434316,0.675862068965517,0.803867403314917,0.623003194888179,0.811279826464208,1
37,0.886877828054299,0.872159090909091,0.826086956521739,0.824512534818941,0.882453151618399,0.928205128205128,0.905604719764012,0.946380697050938,0.868965517241379,0.930939226519337,0.846645367412141,0.952277657266811,1
21,0.687782805429864,0.681818181818182,0.543478260869565,0.593314763231198,0.69335604770017,0.741025641025641,0.68141592920354,0.737265415549598,0.606896551724138,0.715469613259669,0.63258785942492,0.754880694143167,1
10,0.796380090497738,0.75,0.782608695652174,0.724233983286908,0.768313458262351,0.828205128205128,0.846607669616519,0.81769436997319,0.76551724137931,0.853591160220994,0.73482428115016,0.876355748373102,1
174,0.694570135746606,0.659090909090909,0.630434782608696,0.547619047619048,0.679727427597956,0.741025641025641,0.755162241887906,0.729222520107239,0.703448275862069,0.743093922651934,0.594249201277955,0.815618221258134,1
2,0.6289592760181,0.53125,0.456521739130435,0.404761904761905,0.599659284497445,0.671794871794872,0.646017699115044,0.654155495978552,0.620689655172414,0.712707182320442,0.511182108626198,0.713665943600868,1
2,0.6289592760181,0.579545454545455,0.543478260869565,0.582172701949861,0.678023850085179,0.735897435897436,0.616519174041298,0.71313672922252,0.517241379310345,0.624309392265193,0.616613418530351,0.702819956616052,1
1,0.807692307692308,0.761363636363636,0.739130434782609,0.678571428571429,0.798977853492334,0.856410256410256,0.825958702064897,0.868632707774799,0.786206896551724,0.837016574585635,0.728434504792332,0.86117136659436,1
6,0.961538461538462,0.951704545454545,0.978260869565217,0.944289693593315,0.964224872231687,0.974358974358974,0.955752212389381,0.986595174262735,0.972413793103448,0.972375690607735,0.942492012779553,0.980477223427332,1
3,0.469387755102041,0.423295454545455,0.347826086956522,0.431754874651811,0.51618398637138,0.58974358974359,0.486725663716814,0.576407506702413,0.444444444444444,0.574585635359116,0.447284345047923,0.577006507592191,1
3,0.886621315192744,0.84375,0.847826086956522,0.832869080779944,0.884156729131175,0.915384615384615,0.899705014749263,0.943699731903485,0.881944444444444,0.895027624309392,0.856230031948882,0.928416485900217,1
1,0.868778280542986,0.826704545454545,0.782608695652174,0.726190476190476,0.851788756388416,0.879487179487179,0.858407079646018,0.908847184986595,0.83448275862069,0.861878453038674,0.824281150159744,0.917570498915401,1
5,0.957013574660634,0.957386363636364,0.91304347826087,0.933147632311978,0.976149914821124,0.987179487179487,0.955752212389381,0.981233243967828,0.96551724137931,0.966850828729282,0.952076677316294,0.982646420824295,1
37,0.072562358276644,0.0227272727272727,0,0,0.0238500851788756,0.0564102564102564,0.100294985250737,0.0402144772117962,0.138888888888889,0.0718232044198895,0.0159744408945687,0.117136659436009,1
18,0.780542986425339,0.661931818181818,0.695652173913043,0.657381615598886,0.729131175468484,0.792307692307692,0.8023598820059,0.812332439678284,0.717241379310345,0.812154696132597,0.686900958466454,0.854663774403471,1
33,0.96606334841629,0.960227272727273,0.978260869565217,0.952646239554318,0.979557069846678,0.982051282051282,0.973451327433628,0.991957104557641,0.979310344827586,0.977900552486188,0.964856230031949,0.982646420824295,1
7,0.97737556561086,0.980113636363636,0.978260869565217,0.963788300835655,0.982964224872232,0.984615384615385,0.985250737463127,0.994638069705094,0.993103448275862,0.980662983425414,0.97444089456869,0.982646420824295,1
1,0.884353741496599,0.846590909090909,0.869565217391304,0.714285714285714,0.870528109028961,0.915384615384615,0.902654867256637,0.935656836461126,0.875,0.914364640883978,0.821086261980831,0.93058568329718,1
7,0.882352941176471,0.84375,0.847826086956522,0.835654596100279,0.872231686541738,0.928205128205128,0.893805309734513,0.924932975871314,0.882758620689655,0.939226519337017,0.846645367412141,0.93058568329718,1
4,0.934389140271493,0.90625,0.869565217391304,0.88857938718663,0.928449744463373,0.966666666666667,0.946902654867257,0.975871313672922,0.958620689655172,0.966850828729282,0.904153354632588,0.967462039045553,1
2,0.850678733031674,0.803977272727273,0.847826086956522,0.796657381615599,0.838160136286201,0.9,0.882005899705015,0.900804289544236,0.875862068965517,0.903314917127072,0.789137380191693,0.904555314533623,1
