degree,downregulated.regen_Fraction_sp_less2,downregulated.stress_Fraction_sp_less2,downregulated.wound_Fraction_sp_less2,msigdb.regen_Fraction_sp_less2,msigdb.stress_Fraction_sp_less2,msigdb.wound_Fraction_sp_less2,upregulated.regen_Fraction_sp_less2,upregulated.stress_Fraction_sp_less2,upregulated.wound_Fraction_sp_less2,label,gene_list
257,0.00107227107012653,0.0026449353063121,0.00164414897419401,0.000285938952033741,0.00278790478232897,0.000500393166059046,0.00178711845021088,0.00257345056830367,0.00200157266423619,0,GGT6
573,0.000929301594109658,0.00164414897419401,0.00128672528415183,0.000500393166059046,0.00493244692258203,0.000571877904067482,0.00193008792622775,0.0014296947601687,0.0026449353063121,0,COX7C
824,0.00278790478232897,0.00371720637643863,0.00307384373436271,0.000643362642075917,0.00607620273071699,0.00200157266423619,0.00307384373436271,0.00200157266423619,0.00350275216241332,0,KCNG1
1053,0.00307384373436271,0.00314532847237115,0.00314532847237115,0.000857816856101222,0.00879262277503753,0.00164414897419401,0.00343126742440489,0.00414611480448924,0.00328829794838802,0,POLR2D
544,0.00235899635427836,0.00178711845021088,0.00200157266423619,0.000786332118092787,0.00764886696690257,0.00221602687826149,0.0026449353063121,0.00193008792622775,0.00257345056830367,0,MAP3K15
359,0.00193008792622775,0.00107227107012653,0.00407463006648081,0.000428908428050611,0.00900707698906283,0.00164414897419401,0.00214454214025306,0.00128672528415183,0.00278790478232897,0,TANK
473,0.00200157266423619,0.000857816856101222,0.00171563371220244,0.000571877904067482,0.00335978268639645,0.00100078633211809,0.00185860318821932,0.00128672528415183,0.00193008792622775,1,NIN
338,0.00100078633211809,0.00278790478232897,0.00171563371220244,0.000285938952033741,0.00328829794838802,0.000428908428050611,0.00193008792622775,0.00235899635427836,0.00193008792622775,0,GGT7
535,0.0024304810922868,0.00300235899635428,0.0024304810922868,0.000285938952033741,0.00700550432482665,0.00178711845021088,0.00214454214025306,0.00185860318821932,0.00178711845021088,0,RRAGB
593,0.00221602687826149,0.00271642004432054,0.00300235899635428,0.000929301594109658,0.0102223175352062,0.00278790478232897,0.00207305740224462,0.00235899635427836,0.00300235899635428,0,EIF4EBP2
533,0.00193008792622775,0.00157266423618557,0.00221602687826149,0.000357423690042176,0.00357423690042176,0.00221602687826149,0.00207305740224462,0.00271642004432054,0.00257345056830367,0,TRHR
97,7.14847380084352e-05,0.000285938952033741,0.000214454214025306,0,0.000714847380084352,0.00014296947601687,7.14847380084352e-05,7.14847380084352e-05,0.000357423690042176,0,HCFC1R1
258,0.00164414897419401,0.000643362642075917,0.00157266423618557,0.00014296947601687,0.00293087425834584,0.000571877904067482,0.00171563371220244,0.000786332118092787,0.00150117949817714,0,ETV7
394,0.00135821002216027,0.00178711845021088,0.00271642004432054,0.000643362642075917,0.00428908428050611,0.00164414897419401,0.00178711845021088,0.00214454214025306,0.00214454214025306,0,NUDT9
541,0.00157266423618557,0.00157266423618557,0.00185860318821932,7.14847380084352e-05,0.00643362642075917,0.000285938952033741,0.00228751161626993,0.00214454214025306,0.00207305740224462,0,RNF144B
193,0.000786332118092787,0.000571877904067482,0.000214454214025306,7.14847380084352e-05,0.0014296947601687,0.000500393166059046,0.000357423690042176,0.000428908428050611,0.000428908428050611,0,SUSD1
175,0.000643362642075917,0.000428908428050611,0.000500393166059046,0.000285938952033741,0.00200157266423619,0.000500393166059046,0.000285938952033741,0.0014296947601687,0.000643362642075917,0,ZNF823
371,0.00393166059046394,0.00107227107012653,0.0052898706126242,0.000857816856101222,0.00378869111444707,0.00278790478232897,0.00328829794838802,0.00107227107012653,0.00271642004432054,0,EMP3
203,0.00014296947601687,0.000571877904067482,0.000428908428050611,7.14847380084352e-05,0.0012152405461434,0.000214454214025306,0,0.000428908428050611,0.000357423690042176,0,MEA1
529,0.0014296947601687,0.00228751161626993,0.00307384373436271,0.00135821002216027,0.00514690113660733,0.00235899635427836,0.00157266423618557,0.00250196583029523,0.00335978268639645,0,POU1F1
237,0.000714847380084352,0.000643362642075917,0.000500393166059046,0.000428908428050611,0.00228751161626993,0.000500393166059046,0.000857816856101222,0.000428908428050611,0.00100078633211809,0,MEGF8
232,0.000714847380084352,0.000714847380084352,0.00107227107012653,0.000214454214025306,0.0012152405461434,0.000428908428050611,0.00100078633211809,0.00114375580813496,0.000929301594109658,0,VGLL1
280,0.000428908428050611,0.000500393166059046,0.00100078633211809,0.000571877904067482,0.0036457216384302,0.000857816856101222,0.000643362642075917,0.000571877904067482,0.00114375580813496,0,NRBP1
546,0.00571877904067482,0.00171563371220244,0.00400314532847237,0.000786332118092787,0.00457502323253985,0.00285938952033741,0.00378869111444707,0.00200157266423619,0.00407463006648081,0,SMOC2
506,0.000929301594109658,0.00207305740224462,0.00271642004432054,0.000357423690042176,0.0036457216384302,0.000643362642075917,0.00200157266423619,0.0012152405461434,0.00193008792622775,0,STT3B
714,0.00393166059046394,0.00214454214025306,0.00643362642075917,0.00178711845021088,0.0180856387161341,0.00436056901851455,0.00478947744656516,0.00350275216241332,0.0050754163985989,0,TRADD
769,0.00250196583029523,0.00586174851669169,0.0036457216384302,0.00107227107012653,0.0065051111587676,0.000929301594109658,0.00328829794838802,0.00579026377868325,0.00493244692258203,0,HSD17B8
459,0.00207305740224462,0.00171563371220244,0.00443205375652298,0.000929301594109658,0.00757738222889413,0.00185860318821932,0.00300235899635428,0.00200157266423619,0.00300235899635428,1,ELF4
1026,0.00378869111444707,0.00300235899635428,0.00464650797054829,0.00107227107012653,0.0142254628636786,0.00171563371220244,0.00421759954249768,0.00421759954249768,0.00350275216241332,0,SRPK1
392,0.000357423690042176,0.00185860318821932,0.000643362642075917,0.000214454214025306,0.00228751161626993,0.000285938952033741,0.00107227107012653,0.000714847380084352,0.000786332118092787,0,MRPL53
112,0.000285938952033741,0.000714847380084352,0.000500393166059046,7.14847380084352e-05,0.000929301594109658,0.000357423690042176,7.14847380084352e-05,0.000428908428050611,0.000357423690042176,0,TPRG1L
484,0.0024304810922868,0.00178711845021088,0.00271642004432054,0.00114375580813496,0.00843519908499535,0.00271642004432054,0.0024304810922868,0.00185860318821932,0.00285938952033741,0,MAP3K6
316,0.000857816856101222,0.000714847380084352,0.000929301594109658,0.00014296947601687,0.00100078633211809,0.000285938952033741,0.000428908428050611,0.000428908428050611,0.00100078633211809,0,KIAA1328
