degree,downregulated.regen_Fraction_sp_less4,downregulated.stress_Fraction_sp_less4,downregulated.wound_Fraction_sp_less4,msigdb.regen_Fraction_sp_less4,msigdb.stress_Fraction_sp_less4,msigdb.wound_Fraction_sp_less4,upregulated.regen_Fraction_sp_less4,upregulated.stress_Fraction_sp_less4,upregulated.wound_Fraction_sp_less4,downregulated.regen_Fraction_sp_less4.1,downregulated.stress_Fraction_sp_less4.1,downregulated.wound_Fraction_sp_less4.1,msigdb.regen_Fraction_sp_less4.1,msigdb.stress_Fraction_sp_less4.1,msigdb.wound_Fraction_sp_less4.1,upregulated.regen_Fraction_sp_less4.1,upregulated.stress_Fraction_sp_less4.1,upregulated.wound_Fraction_sp_less4.1,label,gene_list
7,0.00596231814929645,0.00333889816360601,0.00333889816360601,0.00178869544478893,0.0141903171953255,0.00155020271881708,0.00250417362270451,0.00667779632721202,0.00512759360839494,0.00596231814929645,0.00333889816360601,0.00333889816360601,0.00178869544478893,0.0141903171953255,0.00155020271881708,0.00250417362270451,0.00667779632721202,0.00512759360839494,0,TCOF1
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NSRP1
286,0.0082279990460291,0.00274266634867637,0.00703553541616981,0.00131170999284522,0.0141903171953255,0.00250417362270451,0.00632005723825423,0.00679704269019795,0.00560457906033866,0.0082279990460291,0.00274266634867637,0.00703553541616981,0.00131170999284522,0.0141903171953255,0.00250417362270451,0.00632005723825423,0.00679704269019795,0.00560457906033866,0,SPPL3
1,0.00465060815645123,0.00798950632005724,0.00632005723825423,0.000834724540901503,0.01669449081803,0.00178869544478893,0.00608156451228238,0.0053660863343668,0.00751252086811352,0.00465060815645123,0.00798950632005724,0.00632005723825423,0.000834724540901503,0.01669449081803,0.00178869544478893,0.00608156451228238,0.0053660863343668,0.00751252086811352,0,OPA3
202,0.00202718817076079,0.00560457906033866,0.00310040543763415,0.000476985451943716,0.0108514190317195,0.00107321726687336,0.00274266634867637,0.00321965180062008,0.00643930360124016,0.00202718817076079,0.00560457906033866,0.00310040543763415,0.000476985451943716,0.0108514190317195,0.00107321726687336,0.00274266634867637,0.00321965180062008,0.00643930360124016,0,OPA1
5,0.0194371571667064,0.00787025995707131,0.0143095635583115,0.00333889816360601,0.0144288099212974,0.00918196994991653,0.0103744335797758,0.00942046267588839,0.0132363462914381,0.0194371571667064,0.00787025995707131,0.0143095635583115,0.00333889816360601,0.0144288099212974,0.00918196994991653,0.0103744335797758,0.00942046267588839,0.0132363462914381,0,ITGA8
16,0.0222990698783687,0.0102551872167899,0.0177677080849034,0.00381588361554973,0.0176484617219175,0.0113284044836632,0.0131170999284522,0.0120438826615788,0.015144288099213,0.0222990698783687,0.0102551872167899,0.0177677080849034,0.00381588361554973,0.0176484617219175,0.0113284044836632,0.0131170999284522,0.0120438826615788,0.015144288099213,0,ITGA9
1,0.0243262580491295,0.0108514190317195,0.0187216789887908,0.00429286906749344,0.0213450989744813,0.0121631290245648,0.0141903171953255,0.0129978535654663,0.0170522299069878,0.0243262580491295,0.0108514190317195,0.0187216789887908,0.00429286906749344,0.0213450989744813,0.0121631290245648,0.0141903171953255,0.0129978535654663,0.0170522299069878,0,ITGA1
39,0.0137133317433818,0.00632005723825423,0.01347483901741,0.00214643453374672,0.0135940853803959,0.00763176723109945,0.0127593608394944,0.00763176723109945,0.0131170999284522,0.0137133317433818,0.00632005723825423,0.01347483901741,0.00214643453374672,0.0135940853803959,0.00763176723109945,0.0127593608394944,0.00763176723109945,0.0131170999284522,0,ITGA2
43,0.000476985451943716,0,0.000238492725971858,0.000119246362985929,0.000238492725971858,0.000476985451943716,0.000476985451943716,0.000119246362985929,0.000119246362985929,0.000476985451943716,0,0.000238492725971858,0.000119246362985929,0.000238492725971858,0.000476985451943716,0.000476985451943716,0.000119246362985929,0.000119246362985929,0,ITGA3
13,0.0252802289530169,0.015144288099213,0.0398282852373003,0.00357739088957787,0.038516575244455,0.0163367517290723,0.0265919389458622,0.0188409253517768,0.0252802289530169,0.0252802289530169,0.015144288099213,0.0398282852373003,0.00357739088957787,0.038516575244455,0.0163367517290723,0.0265919389458622,0.0188409253517768,0.0252802289530169,0,ITGA4
132,0.0288576198425948,0.015144288099213,0.0323157643691867,0.00465060815645123,0.0299308371094682,0.0164559980920582,0.0226568089673265,0.0165752444550441,0.025160982590031,0.0288576198425948,0.015144288099213,0.0323157643691867,0.00465060815645123,0.0299308371094682,0.0164559980920582,0.0226568089673265,0.0165752444550441,0.025160982590031,0,ITGA5
21,0.00178869544478893,0.000715478177915574,0.00190794180777486,0.000357739088957787,0.00131170999284522,0.000834724540901503,0.00238492725971858,0.00131170999284522,0.00155020271881708,0.00178869544478893,0.000715478177915574,0.00190794180777486,0.000357739088957787,0.00131170999284522,0.000834724540901503,0.00238492725971858,0.00131170999284522,0.00155020271881708,0,ITGA6
