degree,downregulated.regen_Fraction_sp_less5,downregulated.stress_Fraction_sp_less5,downregulated.wound_Fraction_sp_less5,msigdb.regen_Fraction_sp_less5,msigdb.stress_Fraction_sp_less5,msigdb.wound_Fraction_sp_less5,upregulated.regen_Fraction_sp_less5,upregulated.stress_Fraction_sp_less5,upregulated.wound_Fraction_sp_less5,label
2,0,0,0,0,1,0,0,0,0,1
24,0.0434834979523007,0.0322813779812093,0.0534810888942423,0.00891351481570706,0.0784148397976391,0.0238496747771621,0.0417971573114912,0.0361358708744881,0.0444471211756203,1
4,0.0319200192724645,0.0232474102625873,0.0280655263791857,0.00566128643700313,0.0481811611659841,0.0148157070585401,0.0237292218742472,0.0227655986509275,0.0287882437966755,1
8,0.0349313418453385,0.027222356058781,0.0411948927969164,0.00686581546615273,0.066610455311973,0.0195133702722236,0.0348108889424235,0.0305950373403999,0.0372199470007227,1
194,0.00264996386412913,0.00493856901951337,0.00156588773789448,0.00108407612623464,0.00277041676704409,0.000963623223319682,0.00325222837870393,0.00457721031076849,0.00301132257287401,1
2,0,0,1,0,0,0,1,0,0,1
144,0.0502288605155384,0.0321609250782944,0.0608287159720549,0.00975668513611178,0.0767284991568297,0.0292700554083353,0.0468561792339195,0.0361358708744881,0.0479402553601542,1
3,0.00590219224283305,0.00554083353408817,0.00397494579619369,0.00156588773789448,0.0126475548060708,0.00216815225246928,0.00289086966995905,0.00650445675740785,0.00421585160202361,1
22,0.0470970850397495,0.0331245483016141,0.0503493134184534,0.00867260900987714,0.0775716694772344,0.0246928450975669,0.039267646350277,0.0369790411948928,0.0450493856901951,1
4,0.0268609973500361,0.0168634064080944,0.0236087689713322,0.00505902192242833,0.036256323777403,0.0148157070585401,0.0197542760780535,0.0177065767284992,0.024211033485907,1
4,0.0277041676704409,0.0191520115634787,0.036256323777403,0.00433630450493857,0.0352927005540834,0.0179474825343291,0.0293905083112503,0.0193929173693086,0.0287882437966755,1
30,0.0434834979523007,0.030233678631655,0.0486629727776439,0.00807034449530234,0.0703444953023368,0.0224042399421826,0.0386653818357022,0.0340881715249337,0.0410744398940014,1
2,0,0,0,0,1,1,0,0,0,1
13,0.04541074439894,0.0283064321850157,0.0558901469525416,0.00782943868947242,0.0673331727294628,0.0260178270296314,0.0420380631173211,0.0319200192724645,0.0430016863406408,1
2,0,0,0,0,0,0,0,0,1,1
3,0.00313177547578897,0.00578173933991809,0.00397494579619369,0.00132498193206456,0.0174656709226692,0.00132498193206456,0.00313177547578897,0.00505902192242833,0.00542038063117321,1
2,1,0,0,0,1,0,0,0,0,1
9,0.0193929173693086,0.00590219224283305,0.0131293664177307,0.00385449289327873,0.0174656709226692,0.0087930619127921,0.0109612141652614,0.00975668513611178,0.0125271019031559,1
102,0.0489038785834739,0.0324018308841243,0.0590219224283305,0.0093953264273669,0.0815466152734281,0.0269814502529511,0.0461334618164298,0.0385449289327873,0.0495061430980487,1
92,0.0463743676222597,0.0358949650686582,0.051553842447603,0.00903396771862202,0.0823897855938328,0.0244519392917369,0.0405926282823416,0.0380631173211274,0.0456516502047699,1
2,0,1,0,0,0,0,0,0,1,1
4,0.00710672127198266,0.00734762707781258,0.00542038063117321,0.00144543483497952,0.00927487352445194,0.00349313418453385,0.00469766321368345,0.00590219224283305,0.00674536256323777,1
7,0.0245723921946519,0.0158997831847748,0.0291496025054204,0.00566128643700313,0.0503493134184534,0.012165743194411,0.0202360876897133,0.0216815225246928,0.021199710913033,1
32,0.0483016140688991,0.0320404721753794,0.051433389544688,0.00975668513611178,0.0739580823897856,0.0268609973500361,0.0403517224765117,0.0352927005540834,0.04541074439894,1
3,0.00590219224283305,0.00542038063117321,0.00686581546615273,0.000843170320404722,0.0081907973982173,0.00445675740785353,0.00951577933028186,0.00590219224283305,0.0087930619127921,1
50,0.0430016863406408,0.0289086966995905,0.0452902914960251,0.0081907973982173,0.0744398940014454,0.0233678631655023,0.036376776680318,0.033245001204529,0.0398699108648518,1
2,1,0,0,0,0,0,1,0,0,1
2,0,0,0,0,1,0,0,0,1,1
75,0.0489038785834739,0.033365454107444,0.0551674295350518,0.0099975909419417,0.0744398940014454,0.0278246205733558,0.0419176102144062,0.0351722476511684,0.0456516502047699,1
2,0,0,1,0,1,1,0,0,1,1
46,0.0405926282823416,0.0284268850879306,0.0438448566610455,0.00843170320404722,0.0723921946518911,0.0218019754276078,0.0325222837870393,0.0314382076608046,0.0383040231269574,1
2,0,1,0,0,0,0,0,0,0,1
5,0.036497229583233,0.0236087689713322,0.0481811611659841,0.00590219224283305,0.0513129366417731,0.0225246928450976,0.0314382076608046,0.0245723921946519,0.0342086244278487,1
8,0.0350517947482534,0.0263791857383763,0.0314382076608046,0.00734762707781258,0.0593832811370754,0.0162611418935196,0.0251746567092267,0.0291496025054204,0.033245001204529,1
2,0,0,0,0,1,0,0,0,0,1
2,0,0,0,0,1,0,0,0,0,1
2,0,1,0,0,0,0,0,0,0,1
4,0.0291496025054204,0.0136111780293905,0.0251746567092267,0.00529992772825825,0.0310768489520597,0.015177065767285,0.021199710913033,0.0172247651168393,0.0221633341363527,1
5,0.0109612141652614,0.00770898578655746,0.0093953264273669,0.00289086966995905,0.0245723921946519,0.00216815225246928,0.00867260900987714,0.0102384967477716,0.00891351481570706,1
4,0.0330040953986991,0.0202360876897133,0.0286677908937605,0.00686581546615273,0.0414357986027463,0.0179474825343291,0.0233678631655023,0.0230065044567574,0.027342808961696,1
17,0.0434834979523007,0.0269814502529511,0.0536015417971573,0.00782943868947242,0.0654059262828234,0.0238496747771621,0.0417971573114912,0.0313177547578897,0.0416767044085762,1
5,0.0178270296314141,0.0104794025536015,0.0342086244278487,0.00301132257287401,0.0275837147675259,0.012045290291496,0.0189111057576488,0.0109612141652614,0.0187906528547338,1
4,0.0179474825343291,0.0099975909419417,0.0133702722235606,0.00349313418453385,0.0322813779812093,0.00782943868947242,0.00891351481570706,0.012165743194411,0.0152975186702,1
53,0.0519152011563479,0.0324018308841243,0.0614309804866297,0.00951577933028186,0.0767284991568297,0.0297518670199952,0.0480607082630691,0.0369790411948928,0.0498675018067935,1
4,0.00216815225246928,0.000722717417489762,0.00264996386412913,0.000481811611659841,0.00252951096121417,0.00156588773789448,0.0012045290291496,0.000722717417489762,0.00252951096121417,1
4,0.00397494579619369,0.00277041676704409,0.00421585160202361,0.000602264514574801,0.00903396771862202,0.00313177547578897,0.00204769934955432,0.00301132257287401,0.00289086966995905,1
2,0,0,0,0,0,0,0,0,0,1
3,0.0130089135148157,0.00301132257287401,0.00915442062153698,0.00204769934955432,0.00843170320404722,0.00554083353408817,0.0075885328836425,0.00409539869910865,0.00843170320404722,1
7,0.0379426644182125,0.0199951818838834,0.0491447843893038,0.00674536256323777,0.0474584437484943,0.0251746567092267,0.0361358708744881,0.0254155625150566,0.0358949650686582,1
80,0.021199710913033,0.0163815947964346,0.0227655986509275,0.00457721031076849,0.0414357986027463,0.0104794025536015,0.0171043122139244,0.0166225006022645,0.0204769934955432,1
11,0.0293905083112503,0.0215610696217779,0.0254155625150566,0.00602264514574801,0.0538424476029872,0.0142134425439653,0.0207178993013732,0.0224042399421826,0.0281859792821007,1
2,0,0,0,0,0,0,0,0,0,1
46,0.0443266682727054,0.0321609250782944,0.0507106721271983,0.0081907973982173,0.0770898578655746,0.0218019754276078,0.0380631173211274,0.0351722476511684,0.0426403276318959,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
7,0.0420380631173211,0.0279450734762708,0.0420380631173211,0.00770898578655746,0.0680558901469525,0.0228860515538424,0.0339677186220188,0.0315586605637196,0.0383040231269574,1
2,0,0,0,1,1,0,0,0,0,1
136,0.0460130089135148,0.0289086966995905,0.0552878824379668,0.00867260900987714,0.0737171765839557,0.0246928450975669,0.0434834979523007,0.0355336063599133,0.0458925560105999,1
5,0.00975668513611178,0.00770898578655746,0.0104794025536015,0.0024090580582992,0.0301132257287401,0.00481811611659841,0.00529992772825825,0.0110816670681763,0.0093953264273669,1
7,0.0240905805829921,0.0179474825343291,0.0238496747771621,0.00505902192242833,0.0314382076608046,0.0137316309323055,0.0190315586605637,0.0166225006022645,0.0203565405926283,1
2,0,0,0,0,1,0,0,0,0,1
2,0,1,1,0,1,0,1,0,0,1
11,0.0430016863406408,0.0299927728258251,0.0446880269814503,0.0081907973982173,0.0725126475548061,0.0224042399421826,0.0356540592628282,0.0337268128161889,0.0404721753794266,1
7,0.0187906528547338,0.00794989159238738,0.0322813779812093,0.00228860515538424,0.0225246928450976,0.0125271019031559,0.018067935437244,0.0108407612623464,0.0144543483497952,1
29,0.0340881715249337,0.0260178270296314,0.0287882437966755,0.00638400385449289,0.0611900746807998,0.0149361599614551,0.0252951096121417,0.0291496025054204,0.0299927728258251,1
