degree,aandersoni_regen_down_Fraction_sp_less4,amaculatum_regen_down_Fraction_sp_less4,amexicanum_regen_down_Fraction_sp_less4,celegans_stress_down_Fraction_sp_less4,clupisFamiliaris_wound_down_Fraction_sp_less4,dmelanogaster_stress_down_Fraction_sp_less4,dmelanogaster_wound_down_Fraction_sp_less4,drerio_regen_down_Fraction_sp_less4,ecoli_stress_down_Fraction_sp_less4,mmusculus_stress_down_Fraction_sp_less4,rnorvegicus_wound_down_Fraction_sp_less4,sscrofa_wound_down_Fraction_sp_less4,xlaevis_wound_down_Fraction_sp_less4,xtropicalis_regen_down_Fraction_sp_less4,label,gene_list
16,0.00565038257798705,0.00482636845203061,0.102060035314891,0.199529134785168,0.00818128310771042,0.0871689228958211,0.000588581518540318,0.0211889346674514,0.0151265450264862,0.21912889935256,0.109005297233667,0.0921130076515597,0.0855797527957622,0.0350794585050029,1,STAG1
229,0.00588581518540318,0.00512065921130077,0.113184226015303,0.224249558563861,0.00924072984108299,0.0972925250147145,0.00064743967039435,0.0231312536786345,0.0171277221895232,0.241377280753384,0.118010594467334,0.100176574455562,0.0940553266627428,0.0393172454384932,1,ACVR1
36,0.00570924072984108,0.0050029429075927,0.111418481459682,0.219187757504414,0.00900529723366686,0.0949970570924073,0.000588581518540318,0.0229546792230724,0.0170100058858152,0.235903472630959,0.117010005885815,0.0978222483814008,0.0924661565626839,0.0376692171865803,1,REL
225,0.00606238964096527,0.0051795173631548,0.116127133608005,0.229723366686286,0.00959387875220718,0.0997645673925839,0.00064743967039435,0.0234844025897587,0.0178340200117716,0.244791053560918,0.120129487934079,0.101471453796351,0.0958210712183637,0.0403178340200118,1,AR
109,0.00576809888169511,0.00512065921130077,0.111595055915244,0.219540906415539,0.00906415538552089,0.0948793407886992,0.000588581518540318,0.0227781047675103,0.0163625662154208,0.237728075338434,0.117422012948793,0.0989405532666274,0.0915832842848735,0.0384932313125368,1,FES
4,0.00482636845203061,0.00423778693349029,0.0901706886403767,0.177633902295468,0.00718069452619188,0.0783402001177163,0.000412007062978223,0.0191288993525603,0.0135373749264273,0.193466745144202,0.0986462625073573,0.0834608593290171,0.0742789876397881,0.0288993525603296,1,FLCN
130,0.00588581518540318,0.0051795173631548,0.110829899941142,0.219070041200706,0.00894643908181283,0.0952913478516775,0.00064743967039435,0.0230723955267805,0.0163625662154208,0.237139493819894,0.116951147733961,0.0988816951147734,0.0924072984108299,0.038905238375515,1,LATS1
1,0.0038846380223661,0.003708063566804,0.064802825191289,0.125426721600942,0.00494408475573867,0.053737492642731,0.000294290759270159,0.0143613890523838,0.00853443201883461,0.139611536197763,0.0736315479693938,0.061094761624485,0.0530311948204826,0.0190111830488523,1,FAM135B
30,0.00570924072984108,0.00506180105944673,0.108240141259564,0.21430253090053,0.00835785756327251,0.0924072984108299,0.000588581518540318,0.0224838140082401,0.0163625662154208,0.231253678634491,0.114067098293114,0.0955267804590936,0.0895232489699823,0.0374926427310182,1,CDKN2C
94,0.00570924072984108,0.00506180105944673,0.112536786344909,0.22218952324897,0.00894643908181283,0.0969982342554444,0.000588581518540318,0.0230135373749264,0.0170688640376692,0.238728663919953,0.117598587404355,0.0984108298999411,0.0932901706886404,0.0385520894643908,1,RPL22
