340,0,RPL12
469,0,RPL18
516,0,ADRA2A
50,0,ADRA2B
219,0,RPL19
400,0,TEX28
841,0,SYT8
924,0,SYT9
1197,0,MTCH2
126,0,MTCH1
1079,0,SYT1
760,0,SYT2
751,0,SYT3
333,0,SYT4
371,0,SYT5
304,0,SYT6
503,0,SYT7
930,0,TIAL1
270,0,FUBP3
1075,1,FUBP1
1224,0,SCHIP1
554,0,MARCO
447,0,SAP30
1206,0,NBL1
549,0,HSFX1
1438,0,SMPD4
327,0,SMPD1
665,0,SMPD3
1508,0,SMPD2
663,1,BRIP1
322,0,PDE11A
1658,0,TTC28
391,0,TTC24
962,0,TTC25
491,0,TTC27
1477,0,TTC22
381,0,ENO1
1219,0,ENO2
134,0,ENO3
756,0,CFD
183,0,OBSCN
705,0,MCL1
1430,0,SORBS1
1154,0,SORBS3
327,0,SORBS2
100,0,ODC1
1183,0,IL18RAP
678,0,EOMES
50,0,CGB1
297,0,CGB2
261,0,FKBP14
377,0,UBE2J1
1535,0,FKBP10
1123,0,FKBP11
1329,1,FBXO11
1004,0,FBXO16
1095,0,TACO1
1097,0,FBXO15
5,0,SFTA3
271,0,CNGB1
2,0,CNGB3
1505,1,BCLAF1
993,0,PLA2G6
705,0,PLA2G7
290,0,PLA2G5
732,0,PLA2G3
290,0,CCDC77
391,0,CCDC70
250,0,CCDC71
196,0,HIST3H2BB
1333,0,GHITM
521,0,CSHL1
73,0,FKBP1B
598,0,FKBP1A
346,0,UNC50
685,0,NKAIN4
1947,0,MAP1A
1771,0,MAP1B
833,1,RMI2
168,0,UNC5B
502,0,UNC5C
299,0,VGF
319,0,UNC5A
866,0,UNC5D
336,0,MAP1S
405,0,RPL18A
408,0,ALOX12B
174,0,EPB41L1
406,0,PPCDC
366,0,EPB41L3
1529,0,EPB41L2
294,0,EPB41L5
566,0,ACSS3
479,0,ACSS2
76,0,ACSS1
1740,0,KIDINS220
352,0,PCOLCE2
1237,0,DFNA5
1345,0,MAGEH1
289,0,WNT3
119,0,WNT2
536,0,WNT1
12,0,LRRN4
47,0,AGXT
481,0,WNT6
447,0,WNT4
275,0,RNF170
600,0,PCNA
147,0,ZBTB7A
1448,0,ZBTB7B
1694,0,PCNP
228,0,PCNT
566,0,PCNX
1110,0,PACRG
149,0,UFD1L
995,0,ILF3
459,0,ILF2
91,0,BOK
1507,0,BOC
2023,0,DENND2D
560,0,PPT1
67,0,RABAC1
661,0,INPP4B
724,0,INPP4A
821,0,SAFB
158,0,TRNP1
699,0,NGLY1
134,0,LMX1A
95,0,LMX1B
202,0,OR6V1
400,0,CNR1
635,0,GBX2
898,0,GBX1
969,0,CNR2
131,0,GNL3L
823,0,TGS1
1874,0,ANKS1B
192,0,ANKS1A
334,0,ADAM10
1553,0,ADAM11
267,0,ADAM12
701,0,ADAM15
493,0,ADAM17
604,0,ADAM19
29,0,MEPE
1482,0,HAGH
23,0,GLYAT
443,0,U2AF1L4
213,0,NDEL1
650,0,SHANK2
1317,0,SHANK1
316,0,PCSK9
305,0,PCSK2
151,0,PCSK6
442,0,PCSK7
867,0,PCSK5
1012,0,IFNAR2
311,0,PLTP
851,0,DPYSL4
918,1,SETBP1
1294,0,SAMSN1
121,0,FAM151B
800,0,PAXIP1
435,0,VPRBP
207,0,USE1
1886,0,CNRIP1
2140,0,DTX3
429,0,CDC34
144,0,CDC37
1229,0,PGLS
1399,0,IRAK4
878,0,WDR7
683,0,CCNA2
784,0,DIAPH2
1084,0,VPS25
1856,0,DYNC1I1
678,0,VPS28
117,0,VPS29
817,0,SKA1
794,0,SKA3
672,0,SKA2
1173,0,GRID2IP
1320,0,PGAM5
461,0,PPP1R13B
423,0,PPP1R13L
1041,0,WNT10A
609,0,WNT10B
70,0,PYY
86,0,TM4SF18
28,0,POU3F3
82,0,POU3F1
624,0,LAMB1
842,0,LAMB3
942,0,LAMB2
61,1,CYSLTR2
67,0,LAMB4
138,0,ATP7B
249,0,MPHOSPH9
1563,0,MPHOSPH8
170,0,MPHOSPH6
990,0,ASTN2
1379,0,MGA
1148,0,MGP
483,0,ADSS
866,0,SAMD4A
313,0,ADSL
741,0,SAMD4B
109,0,GAS2L3
250,0,FAM53C
603,0,HN1L
511,0,ZW10
680,0,RSRC1
1013,0,RSRC2
17,0,CPN2
321,0,CPN1
1184,0,HLA-DMB
1759,0,GABBR1
