degree,downregulated.regen_Fraction_sp_less4,downregulated.stress_Fraction_sp_less4,downregulated.wound_Fraction_sp_less4,msigdb.regen_Fraction_sp_less4,msigdb.stress_Fraction_sp_less4,msigdb.wound_Fraction_sp_less4,upregulated.regen_Fraction_sp_less4,upregulated.stress_Fraction_sp_less4,upregulated.wound_Fraction_sp_less4,downregulated.regen_Fraction_sp_less4.1,downregulated.stress_Fraction_sp_less4.1,downregulated.wound_Fraction_sp_less4.1,msigdb.regen_Fraction_sp_less4.1,msigdb.stress_Fraction_sp_less4.1,msigdb.wound_Fraction_sp_less4.1,upregulated.regen_Fraction_sp_less4.1,upregulated.stress_Fraction_sp_less4.1,upregulated.wound_Fraction_sp_less4.1,label
11,0.00310040543763415,0.00202718817076079,0.00548533269735273,0.000715478177915574,0.00500834724540901,0.00202718817076079,0.00298115907464822,0.00202718817076079,0.00429286906749344,0.00310040543763415,0.00202718817076079,0.00548533269735273,0.000715478177915574,0.00500834724540901,0.00202718817076079,0.00298115907464822,0.00202718817076079,0.00429286906749344,1
2,0.00155020271881708,0.00143095635583115,0.00632005723825423,0.000476985451943716,0.00405437634152158,0.00107321726687336,0.00250417362270451,0.00178869544478893,0.00238492725971858,0.00155020271881708,0.00143095635583115,0.00632005723825423,0.000476985451943716,0.00405437634152158,0.00107321726687336,0.00250417362270451,0.00178869544478893,0.00238492725971858,1
10,0.00739327450512759,0.00727402814214166,0.0120438826615788,0.000834724540901503,0.0145480562842833,0.00500834724540901,0.0114476508466492,0.00703553541616981,0.0104936799427617,0.00739327450512759,0.00727402814214166,0.0120438826615788,0.000834724540901503,0.0145480562842833,0.00500834724540901,0.0114476508466492,0.00703553541616981,0.0104936799427617,1
2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,0.0162175053660863,0.0144288099212974,0.0128786072024803,0.00321965180062008,0.0289768662055807,0.00691628905318388,0.0098974481278321,0.0126401144765085,0.015144288099213,0.0162175053660863,0.0144288099212974,0.0128786072024803,0.00321965180062008,0.0289768662055807,0.00691628905318388,0.0098974481278321,0.0126401144765085,0.015144288099213,1
58,0.0276651562127355,0.0163367517290723,0.0197948962556642,0.00548533269735273,0.0370856188886239,0.0121631290245648,0.0155020271881708,0.0182446935368471,0.0217028380634391,0.0276651562127355,0.0163367517290723,0.0197948962556642,0.00548533269735273,0.0370856188886239,0.0121631290245648,0.0155020271881708,0.0182446935368471,0.0217028380634391,1
82,0.013355592654424,0.00751252086811352,0.0189601717147627,0.00214643453374672,0.0233722871452421,0.00608156451228238,0.0138325781063678,0.011686143572621,0.0110899117576914,0.013355592654424,0.00751252086811352,0.0189601717147627,0.00214643453374672,0.0233722871452421,0.00608156451228238,0.0138325781063678,0.011686143572621,0.0110899117576914,1
10,0.0106129263057477,0.00608156451228238,0.0203911280705938,0.00131170999284522,0.0208681135225376,0.00584307178631052,0.0121631290245648,0.00942046267588839,0.0102551872167899,0.0106129263057477,0.00608156451228238,0.0203911280705938,0.00131170999284522,0.0208681135225376,0.00584307178631052,0.0121631290245648,0.00942046267588839,0.0102551872167899,1
15,0.0252802289530169,0.0127593608394944,0.020152635344622,0.00488910088242309,0.0246839971380873,0.01347483901741,0.0152635344621989,0.0147865490102552,0.0183639398998331,0.0252802289530169,0.0127593608394944,0.020152635344622,0.00488910088242309,0.0246839971380873,0.01347483901741,0.0152635344621989,0.0147865490102552,0.0183639398998331,1
7,0.00488910088242309,0.00512759360839494,0.00798950632005724,0.000715478177915574,0.015144288099213,0.00321965180062008,0.00500834724540901,0.00643930360124016,0.00572382542332459,0.00488910088242309,0.00512759360839494,0.00798950632005724,0.000715478177915574,0.015144288099213,0.00321965180062008,0.00500834724540901,0.00643930360124016,0.00572382542332459,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,0.0367278797996661,0.0215835917004531,0.0348199379918912,0.00715478177915574,0.0445981397567374,0.018483186262819,0.0275459098497496,0.023491533508228,0.028499880753637,0.0367278797996661,0.0215835917004531,0.0348199379918912,0.00715478177915574,0.0445981397567374,0.018483186262819,0.0275459098497496,0.023491533508228,0.028499880753637,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,0.0127593608394944,0.00608156451228238,0.0280228953016933,0.00202718817076079,0.0190794180777486,0.00858573813498688,0.0155020271881708,0.00775101359408538,0.0113284044836632,0.0127593608394944,0.00608156451228238,0.0280228953016933,0.00202718817076079,0.0190794180777486,0.00858573813498688,0.0155020271881708,0.00775101359408538,0.0113284044836632,1
2,0.00500834724540901,0.00488910088242309,0.00643930360124016,0.000715478177915574,0.00763176723109945,0.00393512997853565,0.00846649177200095,0.00548533269735273,0.0082279990460291,0.00500834724540901,0.00488910088242309,0.00643930360124016,0.000715478177915574,0.00763176723109945,0.00393512997853565,0.00846649177200095,0.00548533269735273,0.0082279990460291,1
38,0.0381588361554973,0.023491533508228,0.0434056761268781,0.00679704269019795,0.0511566897209635,0.020152635344622,0.0323157643691867,0.0263534462198903,0.0354161698068209,0.0381588361554973,0.023491533508228,0.0434056761268781,0.00679704269019795,0.0511566897209635,0.020152635344622,0.0323157643691867,0.0263534462198903,0.0354161698068209,1
2,0,0.000715478177915574,0.000238492725971858,0.000238492725971858,0.00190794180777486,0,0.000119246362985929,0.000596231814929645,0.000357739088957787,0,0.000715478177915574,0.000238492725971858,0.000238492725971858,0.00190794180777486,0,0.000119246362985929,0.000596231814929645,0.000357739088957787,1
25,0.0232530407822561,0.0140710708323396,0.016813737181016,0.00476985451943716,0.0338659670880038,0.0108514190317195,0.0128786072024803,0.015025041736227,0.016813737181016,0.0232530407822561,0.0140710708323396,0.016813737181016,0.00476985451943716,0.0338659670880038,0.0108514190317195,0.0128786072024803,0.015025041736227,0.016813737181016,1
8,0.0147865490102552,0.00834724540901502,0.0265919389458622,0.00190794180777486,0.0227760553303124,0.00858573813498688,0.01669449081803,0.0114476508466492,0.01347483901741,0.0147865490102552,0.00834724540901502,0.0265919389458622,0.00190794180777486,0.0227760553303124,0.00858573813498688,0.01669449081803,0.0114476508466492,0.01347483901741,1
146,0.0236107798712139,0.0159790126401145,0.0387550679704269,0.00298115907464822,0.0354161698068209,0.0163367517290723,0.0242070116861436,0.0176484617219175,0.0252802289530169,0.0236107798712139,0.0159790126401145,0.0387550679704269,0.00298115907464822,0.0354161698068209,0.0163367517290723,0.0242070116861436,0.0176484617219175,0.0252802289530169,1
2,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1
39,0.0045313617934653,0.00810875268304317,0.00632005723825423,0.00119246362985929,0.0175292153589316,0.00202718817076079,0.00417362270450751,0.00691628905318388,0.00858573813498688,0.0045313617934653,0.00810875268304317,0.00632005723825423,0.00119246362985929,0.0175292153589316,0.00202718817076079,0.00417362270450751,0.00691628905318388,0.00858573813498688,1
2,0,0.666666666666667,0,0,1,0,0,0,0,0,0.666666666666667,0,0,1,0,0,0,0,1
20,0.00488910088242309,0.00262341998569044,0.00393512997853565,0.00119246362985929,0.0165752444550441,0.00202718817076079,0.00214643453374672,0.00667779632721202,0.00417362270450751,0.00488910088242309,0.00262341998569044,0.00393512997853565,0.00119246362985929,0.0165752444550441,0.00202718817076079,0.00214643453374672,0.00667779632721202,0.00417362270450751,1
14,0.00751252086811352,0.00787025995707131,0.00977820176484617,0.00166944908180301,0.0224183162413546,0.00393512997853565,0.00834724540901502,0.010135940853804,0.00882423086095874,0.00751252086811352,0.00787025995707131,0.00977820176484617,0.00166944908180301,0.0224183162413546,0.00393512997853565,0.00834724540901502,0.010135940853804,0.00882423086095874,1
