degree,label,gene_list
1047,1,PBX1
16,1,CDH17
728,1,CTNNA2
67,1,NTRK1
354,1,LIFR
229,1,ROBO2
461,1,MNX1
1438,1,BCL11B
663,1,BRIP1
517,1,SEPT5
391,1,ZBTB16
261,1,MTCP1
1309,1,LATS2
487,1,VHL
115,1,AMER1
505,1,RPL22
1356,1,SETDB1
1130,1,KLF6
907,1,NOTCH1
490,1,CUX1
1663,1,RHOH
668,1,FAM135B
698,1,ASPSCR1
47,1,HMGA2
950,1,PCBP1
1199,1,RHOA
447,1,SOX2
941,1,ZMYM2
61,1,ACSL3
83,1,CD274
142,1,TAF15
782,1,SH2B3
358,1,GATA3
1027,1,FAT3
1454,1,GOPC
914,1,TEC
255,1,TCEA1
890,1,PRKAR1A
315,1,RARA
550,1,AFF1
483,1,PWWP2A
798,1,ATM
1254,1,MUTYH
163,1,LEPROTL1
1209,1,MYH11
146,1,SOCS1
1309,1,CBLC
687,1,IRS4
1222,1,BRAF
254,1,KDM5C
521,1,KIT
1101,1,TMPRSS2
786,1,SDHC
1987,1,ZEB1
1475,1,CDH11
159,1,TBX3
1006,1,BCL3
1100,1,WAS
529,1,ZNF429
738,1,DEK
394,1,SMARCB1
168,1,PIK3CB
331,1,ARHGAP5
318,1,CCNE1
1180,1,POU2AF1
683,1,ACVR2A
38,1,BRCA1
733,1,NCOR2
71,1,AKT1
1159,1,TPM3
363,1,SSX1
544,1,IDH1
1266,1,EED
430,1,NUP98
565,1,CHIC2
1527,1,ABL1
476,1,SEPT6
378,1,FOXR1
664,1,KTN1
919,1,FNBP1
456,1,BCL7A
388,1,PDGFB
1211,1,FGFR1OP
163,1,PPFIBP1
1408,1,DROSHA
416,1,SUZ12
270,1,STK11
96,1,KCNJ5
1810,1,CRTC3
1437,1,FLNA
111,1,MUC16
1543,1,NF1
1164,1,EZH2
610,1,HIP1
221,1,HERPUD1
787,1,FSTL3
675,1,CDH10
759,1,ATR
318,1,CTCF
600,1,NPM1
790,1,MSI2
675,1,STAT3
185,1,MAP2K4
325,1,LRP1B
99,1,NFE2L2
514,1,KMT2D
884,1,XPC
1082,1,ACVR1
1075,1,HMGA1
1128,1,CCR7
757,1,CRTC1
1021,1,ARID1B
715,1,CHST11
610,1,CNBP
1194,1,SFRP4
372,1,CBLB
417,1,DDX6
726,1,TNC
928,1,APOBEC3B
1172,1,NAB2
529,1,BCL9L
124,1,NBN
1687,1,MLLT10
556,1,SDHA
347,1,HSP90AB1
262,1,MET
936,1,SDHD
382,1,FIP1L1
1329,1,FBXO11
1306,1,FES
859,1,ERCC2
1176,1,MED12
949,1,ERG
1059,1,WRN
1518,1,B2M
210,1,SND1
540,1,WNK2
1251,1,LCP1
94,1,PHOX2B
517,1,PALB2
455,1,DAXX
627,1,NCOA1
1184,1,ARID2
988,1,RNF43
252,1,MLLT3
456,1,GPC3
1577,1,FANCA
325,1,ANK1
1773,1,TCF12
616,1,JAZF1
118,1,MDM2
1047,1,PABPC1
217,1,CALR
294,1,NFIB
1196,1,PBRM1
940,1,PDGFRA
1017,1,COL3A1
548,1,AR
1258,1,BCL10
789,1,CD79A
1391,1,CARD11
1475,1,FUS
1314,1,FH
752,1,H3F3B
1344,1,NCOA4
632,1,ARID1A
82,1,CDK6
479,1,DDX10
581,1,USP8
699,1,ALK
1346,1,MLF1
1276,1,TGFBR2
1154,1,CXCR4
1026,1,MYB
1128,1,POT1
458,1,GATA1
809,1,CCNC
216,1,NCOR1
1889,1,NBEA
734,1,EWSR1
524,1,CRNKL1
39,1,DNAJB1
182,1,THRAP3
249,1,ARHGEF10L
419,1,GOLGA5
1327,1,PTPN11
833,1,RMI2
666,1,SMAD2
1088,1,CREB3L2
607,1,BIRC6
1010,1,JAK2
1181,1,MDM4
93,1,ATF1
63,1,NT5C2
482,1,PMS2
1434,1,EML4
16,1,MPL
683,1,STAT6
995,1,FBLN2
247,1,CLTC
383,1,ACKR3
1345,1,NFKBIE
304,1,CNTNAP2
428,1,EPHA7
1105,1,SMAD4
2377,1,AKT3
426,1,CSMD3
815,1,CAMTA1
92,1,ETV5
936,1,PATZ1
911,1,ETV6
929,1,CDK12
236,1,TFEB
44,1,CHCHD7
298,1,FANCC
699,1,ZNF384
273,1,TCL1A
456,1,SS18
1244,1,CD74
245,1,GNAS
1177,1,MN1
620,1,FOXL2
239,1,NIN
53,1,GRM3
1077,1,ERCC5
345,1,FOXO4
355,1,GATA2
401,1,TRIP11
13,1,CDX2
265,1,ELL
1413,1,MAP3K1
393,1,PAX7
1136,1,CTNND1
582,1,PTCH1
905,1,MAP2K2
196,1,ELK4
64,1,BAP1
384,1,BCL6
1308,1,KIF5B
674,1,TNFRSF17
599,1,GAS7
1505,1,BCLAF1
1640,1,LCK
684,1,BTG1
501,1,MUC4
701,1,ETNK1
679,1,KDSR
257,1,AKT2
1526,1,SKI
31,1,MGMT
1095,1,RECQL4
1066,1,FANCF
556,1,HIF1A
348,1,CASP3
318,1,MLLT11
1088,1,ELF3
820,1,P2RY8
74,1,TBL1XR1
600,1,CHEK2
84,1,TLX1
85,1,HOXC13
2209,1,PSIP1
575,1,FAS
125,1,TMEM127
263,1,MALT1
1580,1,ITK
1838,1,SYK
1226,1,CDH1
1163,1,EXT2
106,1,JUN
170,1,CDKN2A
398,1,SUFU
138,1,HOXA11
1227,1,FAT4
1266,1,MITF
895,1,IL6ST
513,1,MAP2K1
522,1,PPP2R1A
173,1,ZNRF3
1167,1,POLD1
159,1,POLG
1127,1,ATRX
139,1,SLC45A3
2157,1,PTPN6
743,1,TCF7L2
1568,1,PML
1151,1,PCM1
71,1,HOXD11
1638,1,ZMYM3
69,1,GLI1
260,1,HSP90AA1
149,1,PER1
202,1,SGK1
702,1,LEF1
1835,1,RUNX1T1
535,1,MUC1
127,1,PTPRK
1206,1,COL1A1
306,1,ASXL2
307,1,H3F3A
286,1,TRAF7
622,1,FLT3
357,1,EXT1
1316,1,CREB1
645,1,EPAS1
597,1,NCKIPSD
659,1,ELN
697,1,ITGAV
603,1,SMARCA4
594,1,VTI1A
424,1,CCNB1IP1
1248,1,TRRAP
106,1,BCR
1202,1,DCTN1
1428,1,PRRX1
153,1,KEAP1
278,1,NRG1
988,1,LASP1
208,1,IL2
105,1,SIX1
572,1,EPS15
232,1,CCND1
730,1,GPHN
761,1,SPEN
1234,1,NTRK3
769,1,SMO
537,1,BCL11A
745,1,PRKACA
713,1,BARD1
242,1,TP63
118,1,FBXW7
150,1,RBM15
918,1,SETBP1
1828,1,ERCC3
1083,1,DNM2
