degree,label,gene_list
209,1,FEV
1075,1,FUBP1
304,1,SEPT9
1426,1,MEN1
41,1,A1CF
301,1,PDE4DIP
206,1,CYLD
1523,1,SBDS
175,1,TFPT
455,1,SRSF2
212,1,ARHGEF12
94,1,HOXA13
360,1,ATP2B3
1034,1,MLLT6
941,1,REL
608,1,PIM1
1362,1,MACC1
131,1,NCOA2
1676,1,FANCD2
384,1,KDR
473,1,FANCE
191,1,RAD17
404,1,CDKN1B
1626,1,PRPF40B
229,1,LMO2
1040,1,CREBBP
261,1,FGFR4
1147,1,RFWD3
562,1,AXIN2
1104,1,HLA-A
1577,1,MSN
106,1,MYCN
272,1,SET
1085,1,BUB1B
1016,1,LMNA
271,1,FLT4
690,1,CSF3R
1613,1,BCL9
1293,1,ARHGEF10
308,1,PTEN
12,1,KNSTRN
1071,1,QKI
1338,1,PTPRC
867,1,CTNNB1
465,1,PIK3R1
1502,1,BAX
84,1,CLTCL1
311,1,LARP4B
510,1,CLP1
257,1,SMC1A
397,1,JAK1
804,1,CANT1
273,1,ATP1A1
642,1,STAT5B
121,1,RALGDS
1498,1,NUMA1
1525,1,OMD
980,1,EP300
198,1,FLCN
913,1,YWHAE
832,1,DGCR8
872,1,TNFAIP3
734,1,KMT2C
966,1,CBL
284,1,DDX5
723,1,DICER1
949,1,CYP2C8
516,1,GPC5
920,1,CASP9
286,1,SSX4
1362,1,UBR5
538,1,MTOR
194,1,SH3GL1
336,1,XPO1
1372,1,KAT6B
278,1,LMO1
130,1,CBFB
1230,1,FANCG
362,1,PPP6C
1232,1,PTPN13
217,1,XPA
272,1,FGFR2
1588,1,PIK3CA
245,1,MLLT1
937,1,PAX5
1104,1,IRF4
1120,1,PTK6
1515,1,TPM4
1045,1,CIITA
20,1,KLK2
102,1,CDKN1A
372,1,RPL10
361,1,NONO
523,1,SS18L1
322,1,HOOK3
1122,1,FCGR2B
1337,1,BTK
254,1,PTPRT
1493,1,FLI1
179,1,RSPO2
1091,1,KAT6A
964,1,MAML2
315,1,HIST1H4I
909,1,CSF1R
1017,1,EPHA3
986,1,ZNF521
214,1,GNA11
748,1,N4BP2
518,1,FOXO3
1648,1,FGFR1
247,1,CUL3
824,1,USP44
954,1,SF3B1
604,1,MAX
398,1,MLH1
111,1,HIST1H3B
38,1,HOXD13
1653,1,PRDM1
870,1,STAG2
788,1,ABI1
1014,1,SETD2
730,1,CCND3
780,1,ARNT
325,1,DDB2
825,1,PRKCB
803,1,SETD1B
392,1,POU5F1
932,1,NRAS
396,1,CDK4
44,1,IGF2BP2
377,1,HNRNPA2B1
459,1,RPN1
126,1,RAP1GDS1
273,1,CRLF2
539,1,ERCC4
1124,1,PRF1
404,1,DDX3X
741,1,FEN1
1464,1,TSC1
406,1,EZR
841,1,PMS1
1006,1,LZTR1
1136,1,KDM5A
340,1,HRAS
796,1,ASXL1
278,1,SLC34A2
986,1,LYL1
528,1,EGFR
1003,1,FGFR3
287,1,HLF
3,1,TSHR
1229,1,CD28
225,1,ATIC
833,1,DNMT3A
159,1,RSPO3
542,1,GNAQ
1396,1,BRCA2
1538,1,DDR2
434,1,MYC
766,1,KLF4
1358,1,TCF3
1414,1,BMPR1A
769,1,BCORL1
659,1,TP53
1512,1,SDHB
326,1,POLE
818,1,CIC
978,1,TET2
374,1,NACA
243,1,COL2A1
1540,1,WWTR1
122,1,KRAS
908,1,KAT7
1088,1,PREX2
1000,1,NOTCH2
585,1,BLM
214,1,APC
1378,1,SRGAP3
587,1,CD79B
1143,1,STIL
3,1,OLIG2
762,1,TPR
2,1,S100A7
850,1,SPOP
25,1,FAT1
1302,1,IKBKB
134,1,CDKN2C
909,1,BCL2
396,1,PTPRD
429,1,ESR1
233,1,NR4A3
415,1,ETV4
234,1,FHIT
307,1,SDHAF2
112,1,SIX2
425,1,ACSL6
492,1,RBM10
137,1,MYOD1
1220,1,VAV1
546,1,ERBB2
158,1,SMAD3
2020,1,CASP8
14,1,NKX2-1
299,1,NDRG1
1592,1,MYH9
1395,1,IL7R
348,0,PGF
625,0,TERF2
851,0,EEF1A2
540,0,RAB30
356,0,ZBTB9
586,0,ETF1
146,0,SEC22B
97,0,CNKSR2
195,0,TMEM114
288,0,PPIA
1070,0,RCE1
212,0,ZNF22
112,0,GCGR
404,0,SHC1
1019,0,LPCAT1
12,0,LIMS3
287,0,MXD4
1268,0,SETD7
1086,0,ZNF766
1554,0,SENP7
312,0,DOCK6
567,0,PCBP3
753,0,DEPDC5
843,0,ACTR3B
666,0,A2M
288,0,FRG2C
934,0,TCL1B
711,0,PSTPIP2
1061,0,ATG4B
782,0,TCF20
305,0,SMPDL3A
90,0,PPP2R5C
395,0,PRKACG
5,0,OR7A10
956,0,ZFP36L1
31,0,GPER1
1159,0,SCAMP5
215,0,HPS6
1960,0,CAND2
1314,0,MYOF
2,0,MTRNR2L1
1081,0,RIMS2
547,0,FIZ1
406,0,GPATCH4
504,0,RIMS1
172,0,AIRE
924,0,ZNF292
629,0,CEBPZ
439,0,ZNF764
1038,0,STOML2
66,0,TXNDC2
131,0,IER5L
265,0,PUS7
401,0,DNER
523,0,SPOPL
256,0,RPIA
992,0,SLC37A4
10,0,RGPD2
720,0,FOXC2
859,0,MKL1
159,0,AMFR
14,0,HAMP
2,0,LCE3B
493,0,MAGEA12
1059,0,C6orf203
1499,0,RING1
3,0,UGT2B28
781,0,KLHL13
1172,0,ODF2L
326,0,SLC30A5
215,0,APC2
355,0,OR6B1
826,0,CENPF
1579,0,RNF44
2,0,OR10W1
30,0,NMUR2
266,0,CYP4V2
459,0,EPT1
289,0,WNT3
2,0,PGAM4
942,0,CHSY1
142,0,VPS51
327,0,COLQ
29,0,MAP3K5
847,0,DNAJB6
156,0,KRTCAP2
155,0,LCT
1105,0,TMIGD2
525,0,MTX1
308,0,SLC26A8
25,0,HIST1H2AM
20,0,FGF6
1362,0,ITGA7
687,0,NMU
160,0,SEMA5A
540,0,PNO1
1449,0,LAPTM5
851,0,TRPS1
727,0,ZER1
1009,0,NFAM1
198,0,FAM189A2
27,0,SPP1
83,0,TGM3
314,0,EIF3G
414,0,ZNF468
503,0,SYT7
2,0,TAS2R9
348,0,HUNK
779,0,IL9R
683,0,SAV1
1236,0,PRKCZ
194,0,TMEM51
637,0,NDUFA1
805,0,PIM2
598,0,ANKFY1
1356,0,IQCB1
269,0,OR5B21
321,0,ZDHHC21
198,0,CYB5RL
374,0,BABAM1
1614,0,AP1G2
137,0,IRX1
1065,0,CEP131
60,0,SLC25A2
496,0,GM2A
24,0,HOXD12
411,0,TMEM108
1106,0,TONSL
1129,0,FLNC
206,0,DCXR
844,0,COL11A1
1284,0,UBR1
260,0,ANKRD12
173,0,SH3TC2
760,0,SYT2
648,0,SMAP2
86,0,INTS10
459,0,MBNL3
597,0,ATP6V0E2
518,0,RARRES3
801,0,ZNFX1
1177,0,ORC4
1211,0,ZBTB48
1134,0,RAD51C
110,0,TBL1X
373,0,CALCOCO1
711,0,FEZF1
171,0,DNAJB7
334,0,RPS6KB1
774,0,NUP85
289,0,GDA
518,0,INA
420,0,HOXD8
33,0,HSD11B1
75,0,SERPINF2
187,0,MKRN1
578,0,ATOH8
376,0,ZNF330
742,0,IFNGR2
4,0,DDX4
537,0,MVD
486,0,RPS3
516,0,GRID2
1325,0,CDK10
865,0,ATP6V1G2
631,0,GCK
153,0,BHLHE41
553,0,FANCM
1427,0,FYCO1
836,0,DERL2
101,0,VWA3B
331,0,WIPI1
234,0,PAQR4
963,0,OPHN1
45,0,CHI3L1
886,0,FCER2
298,0,GRIP2
166,0,METTL7A
663,0,RPL26L1
878,0,USP46
869,0,FSIP2
469,0,DDX21
328,0,TK2
813,0,DEFB1
1043,0,NAPSA
288,0,KCNF1
82,0,TSPAN3
1250,0,TMEM42
69,0,SLC22A24
607,0,WNT7A
274,0,MAPK6
287,0,SMG8
202,0,UBR7
1074,0,DBNDD2
1853,0,PURG
1236,0,ACAP2
376,0,HYOU1
1188,0,BIN2
230,0,ALKBH2
196,0,OR2AG2
1030,0,SEMA4G
1356,0,ZNF346
884,0,ARHGAP25
430,0,VPS53
559,0,TCF19
1569,0,NME7
659,0,C14orf1
40,0,TBX20
120,0,NMBR
1178,0,ZNF510
1255,0,OLFML3
661,0,NARS
346,0,ST6GALNAC1
751,0,CA5B
13,0,KRT20
42,0,VPS4A
718,0,HEXIM2
454,0,ACOT1
308,0,POLR2K
1588,0,PMP22
852,0,QRICH1
44,0,NUDCD2
116,0,KLHL24
336,0,SEPT3
201,0,GMCL1
2,0,OR2A2
747,0,IL3RA
36,0,PRKCE
414,0,FBXO42
669,0,CCL3
66,0,RASSF4
391,0,USP26
1199,0,MRPL19
331,0,SPRY4
935,0,SPAG9
212,0,C2CD2
1299,0,FRA10AC1
679,0,VRK3
111,0,DMRTA2
778,0,SBNO2
74,0,PITX2
1838,0,CBX1
625,0,RRP15
121,0,BUD31
271,0,NUB1
265,0,OR1G1
174,0,EIF1
353,0,TREH
369,0,NMD3
906,0,PRDX2
1616,0,HNRNPA1L2
1567,0,PIAS3
926,0,GPSM1
309,0,APBA3
759,0,EEF1E1
483,0,LRWD1
186,0,IFNA2
317,0,CFI
555,0,SLC16A8
469,0,APOBEC4
276,0,SRR
242,0,RLIM
1484,0,C10orf54
395,0,FTMT
587,0,XRCC6
420,0,ATP2C1
480,0,VDAC3
103,0,INSIG1
1147,0,HLA-DPB1
23,0,CLCA1
801,0,MED18
394,0,TLE4
498,0,ESYT1
437,0,CLEC3B
801,0,PYGM
883,0,XYLT2
207,0,SERPINA7
258,0,RFX5
112,0,LHX8
832,0,MYOC
1437,0,UQCRFS1
575,0,PIGM
103,0,ATG4C
311,0,VTCN1
617,0,ZBTB24
1386,0,MAP3K8
327,0,PTH2
414,0,PKIA
1025,0,ACTR5
422,0,CSNK1G1
1339,0,SETMAR
1167,0,IKBKAP
837,0,EXD3
316,0,ST8SIA2
560,0,RIPK1
1394,0,DTWD1
1323,0,APOBEC3D
253,0,ZNF653
830,0,EXPH5
392,0,C1QTNF6
337,0,INTS1
190,0,RPL21
369,0,USP39
5,0,FABP9
114,0,TBC1D13
167,0,ATG13
260,0,COL18A1
236,0,UBE2K
543,0,SETX
161,0,SLC44A5
776,0,TOMM22
423,0,JMJD6
49,0,PEX14
540,0,FMR1
856,0,CHCHD4
95,0,PON2
600,0,EREG
727,0,PFDN2
1111,0,GLT8D1
28,0,POU3F3
141,0,IGSF21
830,0,NDC80
151,0,AMHR2
552,0,RPUSD1
926,0,EBF3
700,0,CILP
135,0,TXNL4B
190,0,TRH
127,0,GADD45A
867,0,VAMP2
715,0,WDR11
61,0,RALA
264,0,DNAJC14
3,0,IFNA17
559,0,NAGPA
429,0,PCYOX1
67,0,ZNF628
275,0,MED16
1167,0,CRYAB
521,0,RIN1
1320,0,PGAM5
841,0,KIF14
392,0,WDFY2
529,0,KCNQ1
134,0,FAM20C
351,0,DPPA4
2036,0,IFT46
775,0,PRPH
156,0,SPTSSA
1450,0,SPINT1
702,0,PHB
611,0,MYLIP
1066,0,CCDC130
1084,0,GOT2
381,0,GPN1
466,0,ALKBH6
97,0,ACHE
1005,0,IL4R
715,0,TECPR1
510,0,KCTD11
541,0,TACR2
1028,0,STAP1
680,0,RCOR3
216,0,HSPA14
106,0,GAL
1149,0,SAMD9
582,0,MCTP1
427,0,IMPDH2
551,0,CDK5RAP1
979,0,VPS45
293,0,HES6
1012,0,PIK3R6
435,0,TMEM14C
260,0,SLC1A1
1309,0,DCAF15
439,0,AQP5
286,0,RRP9
765,0,IL17B
1214,0,PLAC8
965,0,WAC
550,0,SCIN
409,0,HMGCS1
852,0,CELF4
532,0,CCL18
390,0,TLR5
472,0,PVRL1
224,0,GTF2B
131,0,PLXNB1
370,0,ITGBL1
393,0,SMG5
720,0,NES
548,0,IGSF22
309,0,ZNF200
1246,0,GATAD1
355,0,MXI1
81,0,HIST1H2BN
1315,0,FBLN1
1321,0,MBTD1
1545,0,ZNF10
697,0,FBXO36
162,0,KLF11
115,0,ZNF622
1030,0,MRPL33
352,0,PCOLCE2
853,0,PRPF40A
15,0,PIWIL1
1391,0,ZNF439
1462,0,NECAP2
896,0,BSN
130,0,DYRK2
340,0,UPP1
1102,0,RASSF1
1157,0,SV2A
547,0,IL7
1071,0,UTRN
449,0,TNFSF13
5,0,WFDC3
1137,0,CD34
152,0,HEATR5A
863,0,DHX8
37,0,CERK
621,0,PLCB3
40,0,RS1
68,0,MBOAT4
233,0,OSBPL11
1301,0,TIGIT
436,0,NR1H2
12,0,NPPA
396,0,PIK3R3
406,0,MAGEB6
175,0,FBXL18
982,0,ZDHHC23
382,0,ITGAD
15,0,SCGB1C1
169,0,ANKRD17
799,0,NAF1
370,0,NSUN3
1449,0,RBMS2
54,0,BARHL1
1071,0,AHI1
78,0,AHSG
762,0,EIF4G1
49,0,ATP2A1
560,0,MT-ATP8
2,0,ATP6V1E2
835,0,TIMM50
788,0,TUBA1A
457,0,UBE2A
539,0,WNT3A
59,0,VIP
913,0,PLK4
1172,0,PTPRE
571,0,SLC2A3
71,0,OLR1
305,0,SH3BGRL2
234,0,HLA-DQA2
1120,0,PDHX
930,0,ZNF208
310,0,FNIP1
909,0,DIS3
448,0,DPM3
308,0,NRTN
450,0,S100A16
756,0,DBF4
774,0,USP30
1308,0,LCP2
710,0,RAB7A
655,0,MYNN
574,0,OMG
627,0,SDAD1
771,0,NDUFB8
129,0,CHRM3
615,0,SPIB
504,0,SUN2
232,0,GOLPH3
971,0,OPRM1
11,0,PAPD7
1125,0,ZFYVE16
1664,0,RASAL3
558,0,KRT80
301,0,FBXW4
2114,0,STARD9
165,0,MUC6
351,0,MASP2
297,0,PIGU
346,0,CSH1
799,0,TRIM21
1004,0,ZNF837
927,0,NCOA3
1142,0,FFAR2
1139,0,RBM12B
528,0,CCT4
874,0,KIF20A
9,0,CRCP
416,0,FAM24A
554,0,IL1R1
526,0,INTS4
1237,0,DFNA5
705,0,FSCN2
660,0,ATP11B
397,0,ACOT7
268,0,ADK
276,0,PGM2L1
675,0,LEFTY2
365,0,ZNF557
989,0,FDX1
1140,0,ZNF217
580,0,RNF112
503,0,BRIX1
1566,0,AGPAT4
254,0,GMPR
68,0,MAP1LC3B2
1189,0,MTA2
136,0,WDR81
732,0,TRIP10
304,0,INMT
19,0,NAPG
648,0,LRP10
620,0,TRAPPC2
155,0,CASR
297,0,BMP2
90,0,PPARGC1B
443,0,SLU7
539,0,UNC45A
1279,0,TTLL1
1255,0,TRAF4
403,0,MOS
110,0,ABLIM2
82,0,DNASE2
166,0,ZMAT2
160,0,CRY1
314,0,CERS2
447,0,SPC24
549,0,PIF1
1198,0,CYB561D2
1897,0,ZNF559
684,0,ALG2
143,0,APOF
1064,0,CCR1
345,0,SKAP2
995,0,TIMM8B
316,0,PSPC1
776,0,OGFR
469,0,SIL1
6,0,PIR
2081,0,ARHGEF25
745,0,GNAI3
1726,0,LAMC1
1248,0,GRPEL1
18,0,MMP3
991,0,CYB561
966,0,MGAT1
1047,0,REV1
41,0,FOLH1
9,0,TEKT1
13,0,IFNA8
817,0,SYNGR4
650,0,NDUFA12
242,0,YARS2
657,0,ZNF555
904,0,DPT
90,0,FPGS
280,0,RPL4
1199,0,ZNF76
606,0,AAGAB
1383,0,PALLD
602,0,CCL20
782,0,SCAF11
676,0,SHPK
344,0,KIF26B
1515,0,GALE
75,0,CLCN5
2,0,SIK1
570,0,SLTM
557,0,COX10
405,0,ALG8
400,0,TACC2
1277,0,DOK2
216,0,AKR1B10
17,0,HCRT
1100,0,VPS37A
803,0,BEGAIN
500,0,DMRTC2
1321,0,TIMM13
1389,0,ZNF497
816,0,MLH3
1152,0,CORO1C
816,0,ARSD
1312,0,ZBP1
153,0,C2CD4A
386,0,CBY3
142,0,FPGT
561,0,LETM1
865,0,ASL
691,0,FHL3
1497,0,IL1R2
1328,0,RAB8B
709,0,NAGA
337,0,EPHA8
668,0,STK24
1237,0,DCP1A
1212,0,GPR156
268,0,AGXT2
187,0,MT2A
523,0,PAK7
600,0,KCNK10
758,0,NCF1
194,0,RBM42
5,0,CXCL11
1253,0,GPNMB
607,0,PTPDC1
336,0,ACP6
435,0,BMF
166,0,CDC14B
1316,0,KCNIP3
23,0,MYH6
344,0,HEATR3
302,0,KIR2DL1
773,0,KIAA0226
543,0,NFIA
93,0,SCD
972,0,TYW3
572,0,CFTR
742,0,FPR1
1164,0,CTC1
321,0,TSSK3
1233,0,LEMD2
328,0,MRPS27
1104,0,POLA1
597,0,OSBPL3
769,0,BCAS4
315,0,CAMK2N2
1545,0,AEBP2
573,0,ST6GALNAC5
160,0,OR52E6
157,0,NRBF2
703,0,OTUB2
1646,0,BBX
308,0,CSTF1
10,0,CYP11B2
569,0,CLPX
960,0,DDX42
641,0,SH3RF2
829,0,TTC33
286,0,RPS15A
242,0,ZFAND6
278,0,TLK1
265,0,TEX261
1011,0,EDIL3
537,0,HCN2
246,0,SNX2
653,0,ANXA7
1432,0,SCAPER
261,0,RBM22
485,0,PAX4
1202,0,LAIR1
108,0,DOCK4
100,0,TNS3
533,0,PROZ
222,0,SIK2
270,0,TMEM120A
672,0,CD36
146,0,PCDH17
1195,0,PTGER2
130,0,MEPCE
259,0,HIF1AN
888,0,PIP4K2A
352,0,DBX1
429,0,PTRH2
249,0,KIF13B
984,0,HNRNPD
3,0,IL17A
1086,0,RHBDL1
1275,0,ZC3H6
702,0,CMBL
816,0,MLYCD
89,0,HIVEP1
313,0,ASTL
852,0,AMOTL2
711,0,XPO6
684,0,MRPL14
1020,0,HAPLN2
48,0,RPSAP58
185,0,FGF19
35,0,NIPSNAP3A
1782,0,NLGN1
269,0,DNAJC17
1476,0,SHPRH
33,0,NKX2-3
191,0,SFTPD
260,0,OR1J1
469,0,ANP32B
556,0,AIPL1
1151,0,DNAJC13
656,0,LOXL4
1197,0,PKIG
290,0,TBC1D7
569,0,HMGN3
610,0,PEX1
1796,0,CDAN1
209,0,LPA
82,0,COPA
196,0,CKS1B
1077,0,CLSTN2
278,0,CATSPERB
586,0,FABP4
950,0,FAM90A1
1590,0,YEATS2
229,0,MARCH6
356,0,TRPM6
598,0,TOM1
26,0,CD320
660,0,TRIM9
1052,0,SIGLEC10
288,0,OR10A7
668,0,ARHGDIA
823,0,IST1
695,0,HNF4G
593,0,JUP
2,0,OR51V1
407,0,DRAP1
407,0,DUSP21
333,0,MBD3
609,0,EME1
318,0,SLC25A45
1120,0,BRWD3
94,0,ZNF556
504,0,GTPBP1
1017,0,RP2
206,0,DRD5
1506,0,CRLF3
901,0,NLRP1
569,0,CDK11A
588,0,IREB2
1022,0,STAC3
1064,0,NPM2
255,0,GABRA2
141,0,LRRC31
348,0,HES3
423,0,POLR1B
698,0,SCARA5
187,0,POFUT1
81,0,CHMP5
567,0,IL18BP
404,0,RRP12
504,0,MAFF
596,0,BAG3
230,0,TRMT61B
115,0,PRH1
402,0,ZNF581
431,0,TNFSF4
993,0,KBTBD3
774,0,PFDN6
187,0,CXXC5
905,0,CKB
54,0,SATB1
4,0,RXFP2
629,0,FAM83A
1201,0,NDUFAB1
5,0,AGTR2
206,0,RCAN1
639,0,ETV3
712,0,PTHLH
1330,0,ARHGAP39
227,0,ISL1
52,0,THRSP
387,0,GK2
2,0,OR6C4
906,0,ACKR1
679,0,GRIA2
447,0,PPM1J
21,0,GFAP
192,0,CXCR1
868,0,OPA3
532,0,SLC16A5
413,0,FBXO45
410,0,LYZL1
1118,0,STOM
502,0,PPCS
206,0,MSMB
2185,0,PHC1
17,0,CSF3
43,0,HIST2H2AC
205,0,PPP1CC
30,0,SLC2A4RG
324,0,EHHADH
120,0,ANKS4B
584,0,SNX22
376,0,AKR7A2
1054,0,ZNF224
1254,0,USMG5
801,0,GLB1
627,0,VSIG4
198,0,SYN2
83,0,REXO1
1320,0,PDLIM4
94,0,SLC35D1
6,0,OR56B1
1433,0,RGS14
608,0,CCT5
290,0,POGK
192,0,ANKS1A
947,0,NR2F6
472,0,HOXB1
777,0,BAIAP3
460,0,PEX6
291,0,OR8D2
637,0,TXNDC15
1568,0,IKZF3
109,0,GOLGA7
109,0,RELN
579,0,RAB3B
402,0,SEMA3A
179,0,CYP39A1
455,0,QARS
293,0,ZNF410
1621,0,CAPS2
69,0,ARL14
335,0,DOLK
1271,0,TOMM70A
1303,0,CMTM3
1693,0,SETD4
143,0,CHMP4A
378,0,TRMT6
199,0,ZSWIM1
482,0,CAMKK1
326,0,TNFSF11
1064,0,NIPSNAP1
462,0,SERPINE2
1446,0,ZNF445
898,0,GBX1
57,0,KHK
886,0,FBXL12
210,0,ITCH
200,0,PRKCG
1107,0,BTN2A1
486,0,RBL1
449,0,TATDN2
464,0,LIN52
461,0,TAF1B
532,0,RCC1
77,0,CHRD
778,0,RAB31
850,0,CCDC58
553,0,DDC
457,0,NSMCE4A
225,0,OR2G3
712,0,DNAJA2
481,0,LPL
691,0,TUBA1C
305,0,GRWD1
215,0,AP5M1
112,0,NANOG
887,0,IVD
429,0,HSF2BP
1547,0,MYCBPAP
313,0,RPGR
302,0,HTR1F
743,0,SNRPB
688,0,SMU1
95,0,NHEJ1
55,0,SHISA7
857,0,NCAPG
482,0,FSHR
