mean.cancer	median.cancer	mean.normal	median.normal
ENSG00000000003	33.2565956132036	29.9020204133874	28.5929918827841	24.7090304037605
ENSG00000000005	0.54905590654271	0.121906191331071	0.649924755381156	0.232633219155354
ENSG00000000419	27.2422031248458	25.5985972213236	42.201913760839	42.3167586930526
ENSG00000000457	3.39948809480719	3.20336912412975	3.4530926710942	3.4457465608185
ENSG00000000460	1.72170398610116	1.50257953780209	0.573105740047855	0.521430927290583
ENSG00000000938	8.41000572332115	5.91994253515465	7.12280967319576	5.20757347949725
ENSG00000000971	27.7842320834497	11.7734290647217	28.254803085165	13.7313764878575
ENSG00000001036	56.3054070645341	54.1222762305421	31.7581503628356	29.9884012094078
ENSG00000001084	19.186679528712	15.2055773727082	12.280298190168	10.0923627006
ENSG00000001167	8.59526143197298	7.75149134474481	10.2521868869382	9.65019228733708
ENSG00000001460	7.66169948557402	7.56950427354734	2.10454708502972	2.04055757095904
ENSG00000001461	14.4382773451256	11.9322319987208	6.50149563741412	5.88964183395326
ENSG00000001497	20.2259961092962	19.0128976583244	13.2389095467133	13.2770525739034
ENSG00000001561	7.61407806146998	6.85153216411086	12.3399009876435	10.5841433012399
ENSG00000001617	17.5501794492734	11.7836708271727	37.9456435364371	34.0616264568651
ENSG00000001626	2.05168106703891	0.652991338467777	1.32726328365146	0.714297775346346
ENSG00000001629	19.6678720830179	17.6710033324597	12.2026179578169	12.0804966779112
ENSG00000001630	15.2774607191354	13.330353093093	4.42654467797748	2.60938501402735
ENSG00000001631	16.0514242099961	14.7398561451723	13.3187177654176	13.0404827253254
ENSG00000002016	7.59351294421694	6.35326441800859	8.07190077519684	6.66914831987186
ENSG00000002079	0.0946690074736028	0.0166377421850619	0.0203718322790138	0.00527163067315623
ENSG00000002330	81.0780557378888	77.3128357907762	60.7586159498317	58.898475397398
ENSG00000002549	42.4997375976494	40.1608089929352	79.5552495892528	70.1452748611151
ENSG00000002586	98.5787607156366	86.6478691691505	74.3887619452175	73.6393353146076
ENSG00000002587	16.6036290362612	13.5226726046488	4.72262231551687	4.06802569862985
ENSG00000002726	100.151513940235	52.0652357488927	66.7105441470168	55.5137557447744
ENSG00000002745	0.0550685719735264	0.0263412934542085	0.0692308766618725	0.0442040321427189
ENSG00000002746	1.48292348205747	0.583548360903017	1.24790656569409	0.53465161708921
ENSG00000002822	36.5060073700379	28.9354090088886	3.63164779872108	3.49667820285496
ENSG00000002834	107.686795649058	106.499474105658	58.0724404563806	55.5957427370253
ENSG00000002919	16.9721100288299	16.9798584561857	16.6564575461572	16.0788102626769
ENSG00000002933	555.392284215471	526.256892834193	439.695443282176	269.948724884354
ENSG00000003056	92.0911198098984	88.3091938746482	36.0259386656594	31.5730908481412
ENSG00000003096	7.77722074709242	4.78790630108924	6.13225075347696	4.88546062194599
ENSG00000003137	2.13790193087536	1.72389170349725	11.4108603341581	6.41874158665772
ENSG00000003147	19.1524925868965	17.605877011464	13.9528164872591	12.7116559036822
ENSG00000003249	42.9932451291427	35.9995155302101	12.7467961057226	12.5217739568749
ENSG00000003393	6.00523587736973	5.50992250289764	6.87770573764866	6.75570485963907
ENSG00000003400	4.18218541651815	3.8686005350384	6.52571616382764	6.05255463848419
ENSG00000003402	41.5546034855313	38.2055899031266	23.5827648257472	22.5872381986801
ENSG00000003436	67.8184907825657	56.0056768700517	31.1804023724136	27.6621278503718
ENSG00000003509	9.86378286815272	9.34640087001333	12.0355920443975	11.9973052176794
ENSG00000003756	49.5653011345556	41.7318369540169	65.3950891274376	60.3889992094596
ENSG00000003987	0.531911358117872	0.500649975088255	0.378056101603341	0.358437986089192
ENSG00000003989	2.63729009057721	0.777071906711993	12.5896768022147	7.97084470077616
ENSG00000004059	211.261354153506	192.196356042454	183.853566207048	178.22886848198
ENSG00000004139	11.1012340963632	10.3076983388485	3.67474847313062	3.6693751637687
ENSG00000004142	106.832149696283	103.656847851193	171.216228587074	175.591264726061
ENSG00000004399	35.0065161779268	25.8093096597907	42.0344501473038	40.945546234356
ENSG00000004455	104.693794488478	96.7236295888387	80.7277669301835	75.0085541446124
ENSG00000004468	1.25739406908111	0.678341992937013	0.679189035791184	0.441249998956097
ENSG00000004478	37.1597912750149	32.7995985948138	110.130516638051	83.4344428475736
ENSG00000004487	28.7473490032087	28.1153768383825	35.7586564754383	35.68224337267
ENSG00000004534	37.3754319539244	30.6262350045707	99.869769952117	88.5676430314125
ENSG00000004660	4.40869665966805	4.11952665241994	3.56936410623206	3.35438185751683
ENSG00000004700	16.0502429655949	14.825071504399	11.0521331314658	9.46875354356724
ENSG00000004766	9.1560991122622	8.77124955565236	7.74563646778573	8.11746433255894
ENSG00000004776	7.8195929645518	3.52101169374742	60.0084027576732	44.1718399052478
ENSG00000004777	3.96961142146888	3.23130774186842	13.2730988798109	12.3096814162594
ENSG00000004779	120.523700458254	117.22037268021	80.92514546295	75.6354748812095
ENSG00000004799	21.5804619764746	9.19836267840042	216.08015455305	85.7819234848954
ENSG00000004809	0.151663799630275	0.0883652503884042	0.0249174705615787	0.00781447074374521
ENSG00000004838	26.4653851341425	21.215147221251	1.76271197239982	1.55964133763462
ENSG00000004846	7.23567094924718	0.0466483774379713	0.0170342181080278	0.00152155258074703
ENSG00000004848	0.640982648496089	0.0169179522119732	0.0119764781159886	0.00553443383579291
ENSG00000004864	17.9172889970611	17.0765692683157	19.9563434129279	19.1483854149882
ENSG00000004866	20.9768616133417	19.2801405203173	8.24039910681091	8.11967875019761
ENSG00000004897	14.4411160415049	13.2220468721199	10.064937260269	9.70336042101746
