mean.cancer	median.cancer	mean.normal	median.normal
ENSG00000000003	52.004574405718	48.3824044316599	39.6432632595971	37.5703304040862
ENSG00000000005	57.5964090499314	5.89601768014365	0.358814865004592	0.263590849496404
ENSG00000000419	68.4347541605738	66.2269199937899	67.1236969060114	66.025325988251
ENSG00000000457	6.32637072526057	6.0538414489853	7.92610730932053	8.10612474371696
ENSG00000000460	12.7297131152788	11.3194312352201	3.21961484827701	3.20315835632643
ENSG00000000938	3.76140038969703	2.41673765463819	15.6159080412372	13.7827604703073
ENSG00000000971	28.7145838467079	20.4419509173906	15.7833163206816	12.3908230097772
ENSG00000001036	45.2026815223983	42.5445130438251	29.4418175784756	27.8707566174491
ENSG00000001084	13.6641190396676	13.1507875250239	12.2677349952285	11.7260359162933
ENSG00000001167	24.6347981354605	23.9070096979302	20.8290784310573	20.4259229782935
ENSG00000001460	8.26854190042044	7.22720809279311	3.1914391490616	3.22625197184061
ENSG00000001461	7.3422296617005	7.33244341570946	5.86498523052486	5.4507881329073
ENSG00000001497	36.9931070725175	35.0405996935816	42.8852054757256	41.0833259239703
ENSG00000001561	5.85404144186918	5.07852419212366	5.05241438509696	4.36758071359034
ENSG00000001617	41.7838005338755	33.4952724688036	24.5677073448089	22.3235865955303
ENSG00000001626	1.50467588839958	0.342371259991813	0.269736883997987	0.143161078851679
ENSG00000001629	12.4199973794306	11.4739058563319	18.7665435079461	18.5111821164653
ENSG00000001630	21.1396794610573	20.4244725121674	6.8966201486308	5.1894154942571
ENSG00000001631	16.7634101956729	16.3964061461394	22.8664565314308	22.7357449298119
ENSG00000002016	9.52732634099756	8.47482201820778	21.8907864208208	18.1592448475168
ENSG00000002079	0.212179467601797	0.0801669263342286	0.0365866213319981	0.0293761831198706
ENSG00000002330	102.648686486581	101.092384862611	57.4220963325064	55.9847227360111
ENSG00000002549	59.3879848704132	51.7917912070614	40.3000056656651	37.9212458642573
ENSG00000002586	246.16636467506	209.12635533567	268.380492277971	266.911323330908
ENSG00000002587	3.47819701234358	1.78242306733008	4.31636797570878	3.99094703308576
ENSG00000002726	14.6671687586151	3.10348982608318	0.0810441711106613	0.0360802246065228
ENSG00000002745	2.19470053183284	0.48931141587054	0.371771655455802	0.135228785097771
ENSG00000002746	1.039929770426	0.574459492904076	0.0457306365356267	0.0285156801258586
ENSG00000002822	53.6099166065644	48.0560657510139	7.98620317048388	7.79122815006728
ENSG00000002834	81.2102422972342	80.4101932638179	61.8253958895128	60.8275215264417
ENSG00000002919	17.1523992315848	15.5927261629932	15.9908657221421	15.9429959954697
ENSG00000002933	59.782796534926	48.237768137677	29.6918838186329	27.3073607734851
ENSG00000003056	76.8517992892106	70.2320071644807	58.7186361898965	57.9433579102378
ENSG00000003096	11.6917884186039	9.64786865630988	21.3261079075866	19.507893120098
ENSG00000003137	8.83874878321784	6.77636906351042	7.33615340818292	4.67277245593467
ENSG00000003147	14.4323587062421	13.2477788749792	5.99111917270259	5.50362462982669
ENSG00000003249	27.515151013867	22.6566692709013	1.58781869309966	1.27418029854018
ENSG00000003393	10.0620371965343	9.4694487188291	10.8306966386521	10.9769504118672
ENSG00000003400	2.78486440349014	2.1822600676072	5.73485043677289	5.17730677466153
ENSG00000003402	22.0016016810463	21.2018373991158	38.2796833129106	36.9151848571341
ENSG00000003436	13.2126339237423	8.63156465920755	27.2303170018705	25.5951280545588
ENSG00000003509	18.2990741300047	17.9667114365632	20.2266399437067	20.1463503930298
ENSG00000003756	61.4673998182486	57.5527483567489	152.011964215328	136.486689773562
ENSG00000003987	1.0578075357551	0.840371676522967	1.6682457290782	1.46581285971293
ENSG00000003989	4.79979723474392	3.58924287136543	37.8257357274325	27.134144719264
ENSG00000004059	224.989340056793	213.665035079364	210.408829384549	209.12635533567
ENSG00000004139	9.81393914369832	8.32227136235864	11.307215019304	11.1749777509224
ENSG00000004142	83.0297009299216	78.7251227615657	87.7417777904261	86.9340225091707
ENSG00000004399	103.368484858407	101.150836363275	75.5706063177095	78.5653985331449
ENSG00000004455	132.989785500884	126.598003518807	48.2995773716516	46.6324375550339
ENSG00000004468	2.93318148735028	1.11605339290335	0.504614214259931	0.430982908289758
ENSG00000004478	100.671446377515	94.8557070510223	81.5985283616377	55.5008322723872
ENSG00000004487	104.789182852281	102.22216583052	75.2900873443972	73.5065039317995
ENSG00000004534	57.4930985682193	50.3361412209903	193.223256900434	184.292483132612
ENSG00000004660	7.3875409740915	6.45175134498305	27.6486641109195	26.9283461447851
ENSG00000004700	18.9945969227871	17.7997595752237	26.9041361375574	25.7165245334179
ENSG00000004766	8.61458236782868	8.54362938262979	13.2441702137023	13.2464692587256
ENSG00000004776	113.694109537496	66.4782275582238	505.828750419608	440.297280952154
ENSG00000004777	14.8664314008972	11.7264517079025	37.9910728962717	35.2581042921424
ENSG00000004779	137.879977370998	135.694119590657	51.3886952701015	48.8019972108308
ENSG00000004799	13.2737309081691	7.19052012214495	225.372586297713	129.65394601138
ENSG00000004809	4.25409716386653	1.59962007796684	0.792409412595697	0.521620109481047
ENSG00000004838	13.0547559756053	4.71888668890181	1.31834017282703	1.12665303399255
ENSG00000004846	0.194549973261295	0.14285966385236	0.237387031048294	0.0965157198819432
ENSG00000004848	3.44710695194707	0.517217539052592	0.0417520209904834	0.00318389221556886
ENSG00000004864	21.6139302182673	21.1959110955492	13.2247420388039	12.9744554246355
ENSG00000004866	20.6478699846811	18.9375861850015	11.8411678263543	11.4307275941648
ENSG00000004897	27.4645767580789	25.9411614400695	25.5882568207553	24.8196876650446
