mean.cancer	median.cancer	mean.normal	median.normal
ENSG00000000003	20.8849744813826	20.215139965177	20.2562100900632	20.7738678658416
ENSG00000000005	0.335760593354327	0.161482577602399	0.067504750215171	0.0142553127340824
ENSG00000000419	45.9139389815046	47.2119091584184	58.2531850958514	55.5748885294712
ENSG00000000457	3.39226520384839	3.24896613329351	4.7631958370607	4.87487000951092
ENSG00000000460	2.7796000777843	2.35998917965268	1.10011590359639	1.06857310058672
ENSG00000000938	2.93137691978795	2.15795603105203	7.17926003300006	6.15423048661187
ENSG00000000971	9.49343494198942	5.42310456271586	35.0727349940451	32.9296378862868
ENSG00000001036	46.4799775494339	42.588342288595	41.1063277287387	41.0837742257543
ENSG00000001084	12.9576824033499	11.9591932472243	14.5456633469474	13.8299573983613
ENSG00000001167	7.92289302861522	7.04071601058606	11.4976492072485	11.2016354099907
ENSG00000001460	4.4679466687309	4.10483673619764	1.90408464005578	1.88463421796737
ENSG00000001461	6.09911060323407	6.04593726273819	5.96931562049811	6.22887526500337
ENSG00000001497	23.0986977943742	23.8730864457056	16.1082386936169	15.5142307349825
ENSG00000001561	6.03799851745035	5.29137864772326	8.91487058579457	8.32232078063182
ENSG00000001617	10.6569346401483	9.74697798309128	8.37707733595308	5.88274031833722
ENSG00000001626	0.120646949148584	0	0.0167569050804371	0.0141354981273408
ENSG00000001629	12.3769486194297	12.3061021096254	13.5674502596344	13.7347995138765
ENSG00000001630	109.915435427708	86.7759666494247	20.2396476614939	16.3951120804133
ENSG00000001631	15.4570197089949	15.4545414601742	14.2942599557762	14.278326358928
ENSG00000002016	5.67934096340581	4.83683404784967	6.83177419327322	6.03249033865819
ENSG00000002079	0.154964533697183	0.0470412005616766	0.0184577922391919	0.0142715355805243
ENSG00000002330	64.9182652017215	66.0212042581982	49.3802373856021	45.6739524490843
ENSG00000002549	41.9985173953681	36.7760258002697	49.0943025056811	48.7414514876218
ENSG00000002586	146.353176168376	123.955838584273	77.5387439818928	75.0622825857656
ENSG00000002587	1.99812298876924	1.22215440989594	1.36015731645212	1.18414166422959
ENSG00000002726	0.375449303839332	0.197067526208977	0.0330752567839889	0.028792206928839
ENSG00000002745	0.238661638956406	0.0669859167910083	0.0993539183955323	0.071021136159527
ENSG00000002746	0.438316319834031	0.109674172418543	0.016867064222424	0.0131914897003745
ENSG00000002822	21.4396700039447	18.5520948450331	3.75312217527873	3.76108505198796
ENSG00000002834	35.0009362954777	31.8783367915256	35.1698274124874	34.7823886693778
ENSG00000002919	9.85348163600995	9.16174604172516	12.3364453795976	11.8033213928712
ENSG00000002933	26.5923896393233	11.5338722016166	26.8826077781227	22.6387327877128
ENSG00000003056	77.6543778062252	73.1536043106226	48.6259387087166	50.9294014171553
ENSG00000003096	3.7708232747293	3.31016765755521	2.97654061228708	2.89717462958132
ENSG00000003137	2.9700737736856	1.04068392230389	5.02120182187106	3.42565245967149
ENSG00000003147	3.17313564004252	2.91428814201816	2.18849763362419	1.62180532565413
ENSG00000003249	6.11243259244439	4.98241107386875	7.1211517362739	6.61577886911936
ENSG00000003393	5.14168719693443	4.30171408156883	5.12491681861326	5.04812324517588
ENSG00000003400	2.67233633118545	2.29381555349239	2.55023184725328	2.35071179180995
ENSG00000003402	22.3828416123552	19.8684820667292	16.1975624103367	15.6676372682859
ENSG00000003436	15.6737479013003	8.31824346609074	9.32782029457933	8.44830778956968
ENSG00000003509	10.6979179919551	9.69838030101517	20.2266908882436	19.7715767864702
ENSG00000003756	36.3979869616871	33.3100410996212	46.5083537367681	44.4235159165055
ENSG00000003987	0.520112545271851	0.485200445578687	0.795124267253282	0.687740943254181
ENSG00000003989	3.61147789634311	1.56258921345533	9.03053374958887	7.57492438634597
ENSG00000004059	144.246302415541	142.782797948041	114.126941290256	111.924692987402
ENSG00000004139	5.46325885793425	4.67984874923833	8.47097395868848	8.0091084271158
ENSG00000004142	67.6438105197619	64.7059003689475	203.771539224695	206.417742933692
ENSG00000004399	62.7082882566249	47.403966763871	30.5045963625978	30.1097393469638
ENSG00000004455	67.5145875789218	63.9646811771797	38.2850711786761	37.4227025010051
ENSG00000004468	0.902565676251734	0.507551129889377	3.42126992520582	2.90343906107576
ENSG00000004478	45.7935911739392	44.6705249928321	57.3770709473485	47.4675754328853
ENSG00000004487	25.4906396497664	24.3947936077683	43.9899344069827	45.3042594373977
ENSG00000004534	35.7735196421038	31.7043114155535	85.7331057437518	69.7077434799145
ENSG00000004660	9.24354585899565	6.68374582038032	12.4838834681166	12.1717373125738
ENSG00000004700	10.1738366304093	9.58213567376325	16.4215411620525	17.1336954954004
ENSG00000004766	9.20587667024769	8.75247656910971	10.238989984139	10.3395968447687
ENSG00000004776	568.527000169446	274.864864041855	315.728204900992	291.964977426456
ENSG00000004777	10.3849235352789	8.65391365422261	10.2803197972701	9.33742728295263
ENSG00000004779	129.811953561385	130.020918303433	71.6614518659192	68.3712003412181
ENSG00000004799	119.686122915663	56.6521863668105	371.818013965272	334.664749175801
ENSG00000004809	0.138250715674485	0.086631361527433	0.0637704656864828	0.0359043820224719
ENSG00000004838	1.42634027472858	1.05592099128824	0.226045975368599	0.190853732557811
ENSG00000004846	1.65636395389174	0.11238788897051	0.00659546085048253	0
ENSG00000004848	1.19525738554228	0.287157071081044	0.0480210170559718	0.0119880926966292
ENSG00000004864	19.9630271117586	19.3423160088261	18.723896352829	18.3806949555873
ENSG00000004866	22.3960336278798	22.2746173064819	11.9128097013372	11.8772912075131
ENSG00000004897	12.640418387804	11.6566368741393	13.9614434166464	14.0284095553663
