sample	TCGA_GTEX_main_category
GTEX-1212Z-0326-SM-5FQSJ	GTEX Testis
GTEX-12696-0226-SM-5EGL3	GTEX Testis
GTEX-12C56-1426-SM-5FQSW	GTEX Testis
GTEX-12WSH-0326-SM-5GCNH	GTEX Testis
GTEX-12WSI-2126-SM-5GCMV	GTEX Testis
GTEX-12WSL-2326-SM-5DUXQ	GTEX Testis
GTEX-12WSM-1326-SM-5GCP9	GTEX Testis
GTEX-12ZZY-0126-SM-5LZV2	GTEX Testis
GTEX-13111-1526-SM-5EGJX	GTEX Testis
GTEX-13112-0226-SM-5P9IV	GTEX Testis
GTEX-131XE-0426-SM-5IJF4	GTEX Testis
GTEX-131XF-2026-SM-5DUWG	GTEX Testis
GTEX-132QS-1226-SM-5P9GD	GTEX Testis
GTEX-1399Q-2826-SM-5IJEZ	GTEX Testis
GTEX-1399T-1526-SM-5P9J6	GTEX Testis
GTEX-139T8-0726-SM-5L3D2	GTEX Testis
GTEX-139TS-1726-SM-5IJG5	GTEX Testis
GTEX-139TT-2226-SM-5LZWO	GTEX Testis
GTEX-13FLW-2126-SM-5N9FD	GTEX Testis
GTEX-13FTW-1326-SM-5LZZD	GTEX Testis
GTEX-13G51-0826-SM-5K7VB	GTEX Testis
GTEX-13N2G-0126-SM-5N9DV	GTEX Testis
GTEX-13NYB-2226-SM-5MR58	GTEX Testis
GTEX-13NZA-2526-SM-5IJFX	GTEX Testis
GTEX-13NZB-2026-SM-5MR4M	GTEX Testis
GTEX-13O1R-0726-SM-5IJEI	GTEX Testis
GTEX-13O21-1226-SM-5J2MK	GTEX Testis
GTEX-13O61-2026-SM-5J2M6	GTEX Testis
GTEX-13OVH-0726-SM-5N9BU	GTEX Testis
GTEX-13OVL-0426-SM-5IFG6	GTEX Testis
GTEX-13QJ3-0226-SM-5S2PU	GTEX Testis
GTEX-144GL-0726-SM-5LU4P	GTEX Testis
GTEX-144GN-1626-SM-5Q5BU	GTEX Testis
GTEX-145LT-0426-SM-5LUAP	GTEX Testis
GTEX-145MF-1726-SM-5LU9H	GTEX Testis
