degree,downregulated.regen_Fraction_sp_less4,downregulated.stress_Fraction_sp_less4,downregulated.wound_Fraction_sp_less4,msigdb.regen_Fraction_sp_less4,msigdb.stress_Fraction_sp_less4,msigdb.wound_Fraction_sp_less4,upregulated.regen_Fraction_sp_less4,upregulated.stress_Fraction_sp_less4,upregulated.wound_Fraction_sp_less4,label,gene_list
7,0.0455068296189792,0.0370956146657081,0.0497483824586628,0.0102084831056794,0.092020129403307,0.0292595255212078,0.0462257368799425,0.0366642703091301,0.0483105679367362,0,A1BG
102,0.0593817397555715,0.0521207764198418,0.0629043853342919,0.0125808770668584,0.105751258087707,0.0360891445003595,0.0598130841121495,0.0524802300503235,0.0616103522645579,0,ANXA7
286,0.0618260244428469,0.0540618260244428,0.0639827462257369,0.0126527677929547,0.107764198418404,0.0364485981308411,0.0621854780733285,0.0549245147375989,0.0636232925952552,1,CDKN1A
1,0.00323508267433501,0.00237239396117901,0.00452911574406901,0.00179726815240834,0.0113587347232207,0.00330697340043134,0.00301941049604601,0.00330697340043134,0.00352264557872035,0,CRISP3
202,0.0606757728253055,0.0535585909417685,0.0635514018691589,0.0125808770668584,0.107548526240115,0.0363048166786485,0.0613946800862689,0.0542774982027318,0.0624011502516175,0,TK1
5,0.0263120057512581,0.0202012940330697,0.0333572969086988,0.00718907260963336,0.0697340043134436,0.0203450754852624,0.0274622573687994,0.0212077641984184,0.0304816678648454,1,A1CF
16,0.0447160316319195,0.0376707404744788,0.0534148094895758,0.0104960460100647,0.095902228612509,0.0296189791516894,0.0460819554277498,0.0393961179007908,0.0496046010064702,0,APOBEC1
1,0.000287562904385334,0.000431344356578001,0.000718907260963336,7.18907260963336e-05,0.00222861250898634,0.000431344356578001,0.000575125808770669,0.000503235082674335,0.000575125808770669,0,CELF2
39,0.0576563623292595,0.0493170381020848,0.0616103522645579,0.0124370956146657,0.104816678648454,0.0352264557872035,0.0584471603163192,0.0507548526240115,0.0595974119338605,0,KHSRP
43,0.0578001437814522,0.0503953989935298,0.0626168224299065,0.0123652048885694,0.106038820992092,0.0351545650611071,0.0580158159597412,0.0506829618979152,0.0603163191948239,0,SYNCRIP
13,0.0534148094895758,0.0448598130841121,0.0580877066858375,0.0115025161754134,0.100575125808771,0.0327102803738318,0.0537023723939612,0.0449317038102085,0.0552120776419842,0,TNPO2
132,0.0607476635514019,0.0530553558590942,0.0634795111430626,0.0125808770668584,0.106685837526959,0.0362329259525521,0.0617541337167505,0.0537742631200575,0.0622573687994249,0,ATXN1
21,0.0517613227893602,0.0415528396836808,0.0555715312724658,0.0115744069015097,0.0986340762041697,0.0315600287562904,0.0517613227893602,0.0429906542056075,0.0542774982027318,0,ATXN2
12,0.0442127965492451,0.0341480948957585,0.0502516175413372,0.0102803738317757,0.088785046728972,0.0291876347951114,0.0450754852624011,0.0361610352264558,0.0467289719626168,0,DMRTB1
95,0.0600287562904385,0.0520488856937455,0.0634076204169662,0.012508986340762,0.107045291157441,0.0357296908698778,0.0606757728253055,0.0526240115025162,0.0620416966211359,0,HNRNPF
46,0.0567217828900072,0.0480230050323508,0.0612508986340762,0.0120057512580877,0.104241552839684,0.0340043134435658,0.0573687994248742,0.0489575844716032,0.0597411933860532,0,HSFX1
18,0.0486700215672178,0.0398993529834651,0.0534148094895758,0.01078360891445,0.097627606038821,0.0309849029475198,0.0498202731847592,0.0413371675053918,0.0517613227893602,0,LZTS2
200,0.0595255212077642,0.0513299784327822,0.0629762760603882,0.0123652048885694,0.105535585909418,0.0353702372393961,0.0601725377426312,0.0529834651329978,0.0616103522645579,0,MAFF
299,0.0606757728253055,0.0529115744069015,0.0636232925952552,0.0126527677929547,0.106542056074766,0.0362329259525521,0.0610352264557872,0.0538461538461538,0.0626887131560029,0,MAFK
50,0.0568655643421999,0.0496046010064702,0.0614665708123652,0.0122214234363767,0.105463695183321,0.0345075485262401,0.0575844716031632,0.0502516175413372,0.0601725377426312,0,PSMF1
59,0.0568655643421999,0.0496046010064702,0.0622573687994249,0.012077641984184,0.104744787922358,0.0347232207045291,0.0580877066858375,0.0508986340762042,0.0606038820992092,1,QKI
40,0.0512580877066858,0.0409058231488138,0.0549245147375989,0.0111430625449317,0.098921639108555,0.0322070452911574,0.0506110711718188,0.0422717469446441,0.0527677929547088,0,RHOXF2
85,0.0591660675772825,0.0512580877066858,0.0625449317038102,0.0125808770668584,0.106326383896477,0.0360172537742631,0.0602444284687275,0.0526959022286125,0.0616822429906542,0,A2M
50,0.0577282530553559,0.0507548526240115,0.0621135873472322,0.0124370956146657,0.105535585909418,0.0354421279654925,0.0595255212077642,0.0521926671459382,0.0604601006470165,0,ABCA1
10,0.0473759884974838,0.0358734723220705,0.0526240115025162,0.0104960460100647,0.0931703810208483,0.0308411214953271,0.0468727534148095,0.0372393961179008,0.0491732566498922,0,ADAM19
7,0.0482386772106398,0.0381739755571531,0.0533429187634795,0.0110711718188354,0.0917325664989216,0.0322789360172538,0.0488138030194105,0.0396836808051761,0.0497483824586628,0,ADAMTS1
84,0.0608195542774982,0.0530553558590942,0.0636951833213515,0.0126527677929547,0.106901509705248,0.0363048166786485,0.0613946800862689,0.0535585909417685,0.0622573687994249,0,ALDOA
21,0.0575844716031632,0.0491013659237958,0.0604601006470165,0.0124370956146657,0.104097771387491,0.0356578001437815,0.0586628324946082,0.0511861969805895,0.0590222861250899,0,AMBP
11,0.0493170381020848,0.0416966211358735,0.0562185478073329,0.0112868439971244,0.0968368080517613,0.0323508267433501,0.0521926671459382,0.0442127965492451,0.0539180445722502,0,ANXA6
40,0.0576563623292595,0.0498202731847592,0.0619698058950395,0.012508986340762,0.10510424155284,0.0354421279654925,0.0585909417685119,0.0512580877066858,0.0606038820992092,0,APOE
224,0.0611790079079799,0.0537742631200575,0.0636232925952552,0.0125808770668584,0.107045291157441,0.0363048166786485,0.0613946800862689,0.0544212796549245,0.0631200575125809,0,APP
80,0.0588785046728972,0.0498921639108555,0.0621854780733285,0.0123652048885694,0.104960460100647,0.0355140186915888,0.0591660675772825,0.0509705248023005,0.0603163191948239,0,ATF7IP
95,0.0597411933860532,0.0508267433501078,0.0627606038820992,0.012508986340762,0.105319913731129,0.0357296908698778,0.0603882099209202,0.0514018691588785,0.0615384615384615,1,B2M
14,0.0484543493889288,0.0375988497483825,0.0541337167505392,0.0108554996405464,0.0938892882818116,0.0319194823867721,0.0496046010064702,0.0392523364485981,0.0508267433501078,0,C11orf58
14,0.0524802300503235,0.0438533429187635,0.0572969086987779,0.0117181883537024,0.0999281092739037,0.0335010783608914,0.0547088425593098,0.0454349388928828,0.0547807332854062,0,CDK2AP2
23,0.0534148094895758,0.0438533429187635,0.0581595974119339,0.0120057512580877,0.0990654205607477,0.0340762041696621,0.0544212796549245,0.0453630481667865,0.0562904385334292,0,CFD
9,0.0550682961897915,0.0474478792235802,0.0600287562904385,0.0121495327102804,0.103235082674335,0.0347232207045291,0.0561466570812365,0.0482386772106398,0.0581595974119339,0,CPB2
37,0.0566498921639109,0.0482386772106398,0.0609633357296909,0.0119338605319914,0.10352264557872,0.0348670021567218,0.0578720345075485,0.0493889288281812,0.0595255212077642,0,CTSB
