Gene	GeneType
IFRD2	regen
IGFBP3	regen
IMPDH2	regen
ING3	regen
JMJD6	regen
KPNA2	regen
LARP4	regen
LITAF	regen
M6PR	regen
MAL	regen
MAP2K3	regen
MASTL	regen
MMP2	regen
MYBPC2	regen
MYOM2	regen
PBK	regen
PCNA	regen
PDCD6	regen
PFN1	regen
PHLDA2	regen
PLXNB2	regen
PRC1	regen
RCOR1	regen
RETSAT	regen
RHAG	regen
RHCG	regen
RPA1	regen
SASS6	regen
SELENBP1	regen
SGCB	regen
SLC25A29	regen
SLC25A33	regen
SMG7	regen
SNX10	regen
SRL	regen
SULT1A2	regen
SURF4	regen
SUSD3	regen
TMEM127	regen
TMEM33	regen
TMEM38A	regen
TMEM44	regen
TMEM45A	regen
TPM2	regen
TSPO	regen
TYMS	regen
UBE2S	regen
ABHD3	regen
ACIN1	regen
ACSBG1	regen
ACTR2	regen
ADAM9	regen
ADH1B	regen
AQP4	regen
ARHGAP11A	regen
ARHGAP12	regen
ARRDC2	regen
BACE2	regen
BIRC5	regen
BTG1	regen
BTG3	regen
C16orf89	regen
C7	regen
CA7	regen
CBR1	regen
CCDC86	regen
CDKN1B	regen
CHIC2	regen
CMAS	regen
CROT	regen
CRTAC1	regen
DHRS7C	regen
DNMT1	regen
DUSP10	regen
E2F4	regen
EFEMP1	regen
EGFR	regen
EIF4A2	regen
EPN3	regen
ETV4	regen
F13B	regen
FHL2	regen
FHL3	regen
FILIP1	regen
GANAB	regen
GDPD3	regen
GLTP	regen
GNG13	regen
GOLT1B	regen
GPI	regen
GSTP1	regen
HERC6	regen
HM13	regen
HMBS	regen
HSD17B10	regen
HSD17B7	regen
HSP90B1	regen
HSPA4	regen
IPPK	regen
JAG2	regen
KLF17	regen
KLF18	regen
LINGO1	regen
LPCAT1	regen
LYG2	regen
MANF	regen
MAPT	regen
MCM3	regen
METTL7A	regen
MMP10	regen
MRC1	regen
MSLN	regen
MTX1	regen
MUC5B	regen
MYO1D	regen
NEBL	regen
OAS3	regen
OAT	regen
PAK1IP1	regen
PDLIM5	regen
PGLYRP1	regen
PI3	regen
PRDM5	regen
PRDX4	regen
PRTN3	regen
RAB40B	regen
RAC1	regen
RALGPS2	regen
RBP1	regen
RFK	regen
RLBP1	regen
RNF25	regen
RPA2	regen
RPS6KA3	regen
SACM1L	regen
FBXL17	stress
FBXL7	stress
NSD1	stress
CRISPLD2	stress
FBXL19	stress
SETDB1	stress
SKP2	stress
SLC37A1	stress
VRK1	stress
GNAS	stress
SETD1B	stress
SLC17A1	stress
VRK2	stress
VRK3	stress
CSNK1G1	stress
FBXL15	stress
FBXL18	stress
FBXL3	stress
HNF4G	stress
KMT2D	stress
MFSD14A	stress
NR2F2	stress
SLC17A3	stress
SLC2A1	stress
SLC2A10	stress
ZNF532	stress
CES5A	stress
CSNK1A1L	stress
FBXL5	stress
NLGN1	stress
SLC17A2	stress
SLC17A4	stress
SLC17A5	stress
SLC17A7	stress
SLC17A8	stress
SLC37A4	stress
TTBK1	stress
ACHE	stress
CEL	stress
CES1	stress
CES2	stress
CES3	stress
CES4A	stress
CHIA	stress
FBXL13	stress
FBXL2	stress
FBXL20	stress
FBXL22	stress
FBXL6	stress
GPR139	stress
GPR142	stress
MFSD10	stress
NLGN2	stress
NLGN3	stress
NLGN4X	stress
NLGN4Y	stress
NR2C2	stress
OVGP1	stress
SLC37A2	stress
AKR1B15	stress
AKR1C1	stress
CHI3L1	stress
CHI3L2	stress
CHIT1	stress
CTSF	stress
EPHX1	stress
EZH1	stress
EZH2	stress
KMT2A	stress
KMT2B	stress
KMT2C	stress
PPARG	stress
RARB	stress
RXRG	stress
SETBP1	stress
SETDB2	stress
SLC17A6	stress
SLC2A3	stress
SLC2A6	stress
AKR1B10	stress
AKR1C2	stress
AKR1C3	stress
AKR1C4	stress
AKR1C8P	stress
AKR7A2	stress
AKR7A3	stress
ARRDC5	stress
CLEC18A	stress
CLEC18B	stress
CLEC18C	stress
CRISP1	stress
CRISP2	stress
CRISP3	stress
CRISPLD1	stress
CTSL	stress
CTSV	stress
FBXL14	stress
GLIPR1	stress
GLIPR1L1	stress
GLIPR1L2	stress
HNF4A	stress
NSD2	stress
PI15	stress
PPARD	stress
R3HDML	stress
RARG	stress
RORA	stress
RXRB	stress
SCNN1B	stress
SCNN1G	stress
SETD2	stress
SLC2A11	stress
SLC2A12	stress
SLC2A14	stress
SLC2A2	stress
SLC2A4	stress
SLC2A7	stress
SLC2A9	stress
TINAG	stress
ASH1L	stress
ASIC1	stress
ASIC4	stress
CBR3	stress
CTSW	stress
EHMT2	stress
GNA15	stress
HSPB8	stress
KCNK1	stress
KRBOX1	stress
MFSD14B	stress
NR1D2	stress
NR2F6	stress
PPARA	stress
RARA	stress
RORB	stress
RXRA	stress
SCNN1A	stress
SLC22A7	stress
SLC38A4	stress
THRA	stress
ZDHHC2	stress
ZNF200	stress
ACP3	stress
ASIC2	stress
ASIC3	stress
B3GALT4	stress
CAPN9	stress
CRYAB	stress
CSNK1G2	stress
CTSE	stress
EHMT1	stress
GNA12	stress
GNA13	stress
GNA14	stress
GNAQ	stress
MEST	stress
NR1D1	stress
NR1H2	stress
NR1H3	stress
NR1I2	stress
NR2C1	stress
NSD3	stress
RORC	stress
SCNN1D	stress
SETD1A	stress
SUV39H1	stress
SUV39H2	stress
THRB	stress
VDR	stress
ZDHHC18	stress
ACP2	stress
EPHX4	stress
GNAT2	stress
GNAT3	stress
HSPB2	stress
LIPA	stress
MAPK13	stress
MFSD1	stress
NR1H4	stress
NR1I3	stress
NR2F1	stress
SIX4	stress
SLC12A4	stress
SLC22A3	stress
SLC22A4	stress
SLC2A13	stress
SLC7A5	stress
ACP4	stress
ACP6	stress
ARSJ	stress
BEST3	stress
CRYAA	stress
CRYAA2	stress
EPHX2	stress
HSPB3	stress
HSPB7	stress
HSPB9	stress
LIPF	stress
LIPJ	stress
LIPK	stress
LIPM	stress
LIPN	stress
MFSD11	stress
NAPSA	stress
NR5A2	stress
PGC	stress
SLC12A2	stress
SLC22A11	stress
SLC22A12	stress
SLC22A2	stress
SLC22A23	stress
SLC7A1	stress
SLC7A2	stress
SLC7A3	stress
SVOPL	stress
TGIF1	stress
ZDHHC20	stress
ZFP36	stress
ANHX	stress
ANK1	stress
ARSI	stress
BACE1	stress
CAPN2	stress
CAPN6	stress
CD36	stress
CPA6	stress
FAXC	stress
FBXL16	stress
GCNT2	stress
HSPB1	stress
HSPB6	stress
LGALS14	stress
LNPEP	stress
MAPK10	stress
MAPK8	stress
P4HA3	stress
SLC12A1	stress
SLC12A3	stress
SLC12A5	stress
SLC12A6	stress
SLC12A7	stress
SLC22A1	stress
SLC22A10	stress
SLC22A13	stress
SLC22A14	stress
SLC22A15	stress
SLC22A16	stress
SLC22A17	stress
SLC22A24	stress
SLC22A25	stress
SLC22A31	stress
SLC22A5	stress
SLC22A6	stress
SLC22A8	stress
SLC22A9	stress
SLC29A3	stress
SLC38A1	stress
SLC7A11	stress
SRPK2	stress
TBX2	stress
TTBK2	stress
ZADH2	stress
ZDHHC1	stress
ZDHHC11	stress
ZDHHC11B	stress
ZDHHC15	stress
ZDHHC21	stress
ZDHHC4	stress
ZDHHC7	stress
ZDHHC9	stress
ABHD14A	stress
ABHD14B	stress
ABHD8	stress
ADH7	stress
ALDH3A1	stress
ALDH3B1	stress
BACE2	stress
BEST1	stress
CFLAR	stress
CILK1	stress
CTSB	stress
EPHX3	stress
ERAP2	stress
GAD2	stress
GSTA5	stress
KCNK2	stress
LGALS13	stress
LGALS16	stress
LIMS2	stress
MAPK12	stress
MAPK3	stress
MAPK9	stress
MEIS2	stress
NLK	stress
PBX2	stress
PGA3	stress
PGA4	stress
PGA5	stress
PRKCE	stress
REN	stress
SEC14L2	stress
SEC14L3	stress
SEC14L4	stress
SERHL2	stress
SLC2A5	stress
SLC2A8	stress
SRPK3	stress
TBX1	stress
UGT2B15	stress
VAT1	stress
ACSL6	stress
CAPN10	stress
CAPN13	stress
CAPN3	stress
CAPN8	stress
CAPNS2	stress
CLC	stress
CTSS	stress
DNAJC2	stress
DNAJC7	stress
FAAH	stress
FZD5	stress
GNAL	stress
GSTA1	stress
GSTA2	stress
GSTA3	stress
GSTA4	stress
GSTM1	stress
GSTM2	stress
GSTM3	stress
GSTM4	stress
GSTM5	stress
GSTP1	stress
KCNK17	stress
LGALS1	stress
LGALS12	stress
LGALS9	stress
LGALS9B	stress
LGALS9C	stress
MGA	stress
NGLY1	stress
NR5A1	stress
SEC14L5	stress
SLC29A1	stress
SLC29A2	stress
SRI	stress
SULF1	stress
TBX15	stress
TBX3	stress
TINAGL1	stress
UGT2B28	stress
UGT3A1	stress
ZFP36L1	stress
ZFP36L2	stress
ADH1A	stress
ADH1B	stress
ADH1C	stress
ADH4	stress
ADH5	stress
ADH6	stress
ALDH9A1	stress
ANPEP	stress
ARRDC2	stress
ARRDC4	stress
ARSD	stress
BEST2	stress
BEST4	stress
BPHL	stress
CAPN1	stress
CBR1	stress
CHAD	stress
CPA5	stress
CPO	stress
CTSC	stress
DHRS2	stress
DHRS4	stress
DHRS4L2	stress
DHRS7B	stress
DHRS7C	stress
DNAJC3	stress
EOMES	stress
EPB41L2	stress
EPB41L3	stress
FRZB	stress
GCA	stress
GID8	stress
GNA11	stress
GNAZ	stress
GOLT1B	stress
GSTO2	stress
HSD11B1	stress
HSD11B1L	stress
KCNK12	stress
KCNK7	stress
LIMS1	stress
LIMS3	stress
LVRN	stress
MFSD5	stress
MFSD8	stress
MPP6	stress
P4HTM	stress
PEF1	stress
PKN3	stress
PRKCG	stress
PRKCZ	stress
RDH8	stress
SFRP4	stress
SKP1	stress
SLC27A2	stress
SLC27A5	stress
SLC38A6	stress
SLC7A6	stress
SLC7A8	stress
SLCO3A1	stress
SYDE1	stress
TBX4	stress
TRHDE	stress
TRPM3	stress
TRPM4	stress
TRPM5	stress
TRPM8	stress
UGT1A1	stress
UGT1A10	stress
UGT1A3	stress
UGT1A4	stress
UGT1A5	stress
UGT1A6	stress
UGT1A7	stress
UGT1A8	stress
UGT1A9	stress
UGT2A1	stress
UGT2A2	stress
UGT2A3	stress
UGT2B10	stress
UGT2B11	stress
UGT2B17	stress
UGT2B4	stress
UGT2B7	stress
UGT3A2	stress
UGT8	stress
VAPA	stress
VAT1L	stress
AASDHPPT	stress
ABCA12	stress
ADAD2	stress
ADGB	stress
AKR1E2	stress
AOPEP	stress
ARRDC3	stress
CAPN11	stress
CAPN14	stress
CAPN5	stress
CAPNS1	stress
CHADL	stress
CNGA1	stress
CNGA3	stress
CNGA4	stress
CNGB1	stress
CNGB3	stress
CPA1	stress
CPA2	stress
CPA3	stress
CPA4	stress
CPB1	stress
CPB2	stress
CPN2	stress
CTSK	stress
CTSO	stress
DAB2	stress
DDO	stress
DNAJC16	stress
DNAJC21	stress
DNAJC24	stress
DNAJC5	stress
EPB41	stress
ERAP1	stress
FRMD3	stress
FRMD6	stress
GAD1	stress
GNAI1	stress
HCN1	stress
HCN3	stress
HCN4	stress
JADE1	stress
KCNH2	stress
KCNH3	stress
KCNH4	stress
KCNH7	stress
KCNH8	stress
KCNK10	stress
KCNK13	stress
KCNK16	stress
KCNK4	stress
KCNK5	stress
KCNK6	stress
KCNK9	stress
KCTD10	stress
LGI1	stress
LGI4	stress
LGR5	stress
SLC2A4	wound
DNMT1	wound
COL5A1	wound
ATP9A	wound
STAT5A	wound
ATG4D	wound
CTNNB1	wound
HCRTR2	wound
RHOF	wound
GUSB	wound
