Gene	GeneType
LGALS3BP	regen
MED4	regen
MMP1	regen
MMP28	regen
MUC5B	regen
MYLIP	regen
NPY	regen
OSR1	regen
P4HA1	regen
PALLD	regen
PIAS2	regen
PLXND1	regen
PNRC1	regen
PRLH	regen
PTGS1	regen
RB1CC1	regen
RBP4	regen
RENBP	regen
RGS18	regen
RMND5A	regen
SAT1	regen
SERPINB10	regen
SFRP5	regen
SGCB	regen
SMARCAD1	regen
SNAP47	regen
SOCS1	regen
STXBP4	regen
TCN1	regen
TIMP2	regen
TMEM14A	regen
TMEM50A	regen
TMPRSS2	regen
TPM4	regen
TSPAN3	regen
TSPAN6	regen
TYROBP	regen
UCK2	regen
VLDLR	regen
VRK2	regen
ZBTB1	regen
ZC4H2	regen
ZNF280D	regen
ZNF410	regen
ZNF418	regen
ZNF510	regen
ZNF544	regen
AADAC	regen
ABHD3	regen
ABI3BP	regen
ABTB1	regen
ACTA1	regen
ADORA3	regen
AIF1	regen
ANTXR2	regen
ANXA1	regen
ANXA6	regen
ARHGEF2	regen
ARL4A	regen
ATP1B3	regen
BARD1	regen
BCO2	regen
BCR	regen
BHMT	regen
BNIP3	regen
C9orf72	regen
CASQ1	regen
CBX7	regen
CCDC88A	regen
CCNG2	regen
CD53	regen
CDC7	regen
CDH4	regen
CHGA	regen
CHRNE	regen
CLEC3B	regen
CNN2	regen
COL17A1	regen
COL6A1	regen
COL6A2	regen
COL6A3	regen
CTSO	regen
DCK	regen
DNASE1L1	regen
DPYSL2	regen
DSCC1	regen
DUOXA1	regen
DUSP6	regen
EEF1E1	regen
EIF4A2	regen
FAM110B	regen
FBXL14	regen
FOSL1	regen
GAS6	regen
GRAP	regen
GTF2IRD1	regen
HBE1	regen
HSCB	regen
HSD17B14	regen
HSPA8	regen
IFI44L	regen
IGF1R	regen
JAG1	regen
KCNAB1	regen
KDM6B	regen
KIF20A	regen
KLF14	regen
KLF17	regen
KLF18	regen
KLF2	regen
KLHL24	regen
KRT17	regen
LAMA2	regen
LGALS9	regen
LITAF	regen
LMOD2	regen
LRIG3	regen
LSP1	regen
LYN	regen
MAEA	regen
MAMDC2	regen
MYH3	regen
NCLN	regen
NEK3	regen
NINL	regen
NNMT	regen
NRIP1	regen
OLFML1	regen
PCTP	regen
PDK2	regen
PDLIM7	regen
PFN2	regen
PKIB	regen
PLD3	regen
CCNG2	stress
SLC2A13	stress
CEL	stress
SLC2A12	stress
SLC2A3	stress
SLC2A4	stress
FBXL20	stress
SLC2A8	stress
CCNE2	stress
FBXL18	stress
TTBK2	stress
AKR1B10	stress
PPARA	stress
PPARD	stress
RORA	stress
SLC17A5	stress
SLC17A7	stress
SLC2A10	stress
SLC2A6	stress
ABHD8	stress
CES3	stress
FBXL7	stress
RORB	stress
SLC2A11	stress
SLC2A9	stress
SLC37A2	stress
AKR1C3	stress
CCND3	stress
EPHX1	stress
NLGN1	stress
NLGN2	stress
SLC2A1	stress
SLC2A2	stress
THRA	stress
ACHE	stress
CCNA1	stress
CCNB1	stress
CCND1	stress
CCND2	stress
CCNG1	stress
CES1	stress
CES2	stress
CES4A	stress
CES5A	stress
CRISPLD2	stress
CTSF	stress
CTSV	stress
EPHX2	stress
MAPK13	stress
