baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000000005 113.071615978257 -7.37666972058002 1.52713819667486 -4.83038780422213 1.36267382271243e-06 1.8110671684293e-05
ENSG00000001561 412.904423563846 -0.705890576154055 0.429948748138522 -1.64180167801449 0.100631111204202 0.239523075156686
ENSG00000004799 9057.7391308777 -2.52202082468237 1.01022921171979 -2.49648376370838 0.0125431410757372 0.0469390886962666
ENSG00000004848 3.37815928863654 2.59454121398365 1.04216689645146 2.48956402551066 0.0127899879489367 0.0476250000862443
ENSG00000005022 12944.4428983811 0.914032845655871 0.277609039588194 3.29251830924436 0.000992944323532256 0.00575949953627189
ENSG00000005073 305.59313063205 0.787574533698324 0.760816564622683 1.03517006637324 0.3005894954301 0.514246333210499
ENSG00000005513 605.399122404479 3.67353972647653 0.889589552946567 4.12947714404778 3.63589143583772e-05 0.000331101780291334
ENSG00000006059 425.744890121568 -24.8762368755332 2.66329214321329 -9.34040861379924 9.59630490895e-21 1.25839545039364e-18
ENSG00000006116 1.78527450171707 -2.93642694495246 1.7462820293431 -1.68153075826879 0.0926598672015437 0.224980044789923
ENSG00000006210 2294.50574050101 0.901986139253482 1.02638565406582 0.87879846691197 0.379510557683352 0.595767970441464
ENSG00000006831 5176.74101315777 1.53302387320172 0.156082990453923 9.8218509828865 9.06633049296351e-23 1.65892763531714e-20
ENSG00000007520 1974.23994118998 1.05955344361637 0.205701361940522 5.15093061913094 2.59197070028925e-07 4.05037248656917e-06
ENSG00000007968 595.72144161784 0.199706887286179 0.719041841734066 0.277740286719002 0.781211732460966 0.897188186283099
ENSG00000008018 6987.414614238 -0.259288211083277 0.162499332434682 -1.59562631549579 0.110572248602112 0.256216301576031
ENSG00000008197 0.0590279464454336 0.193332982992194 5.89202953666484 0.0328126296362101 0.973824006643487 NA
ENSG00000008438 4.70015026656447 -0.930882195183579 0.744002233188943 -1.25118199066908 0.210868087222053 0.404217349314927
ENSG00000013293 28.968350041042 -1.93457709676805 1.09646893929664 -1.76437017724281 0.0776696757889936 0.196813207442126
ENSG00000013588 1645.06396894105 1.39673022834585 0.577541872257804 2.41840513292234 0.0155887098116244 0.0558906214617731
ENSG00000014123 2391.92133042205 -0.0770339937556718 0.234450667043803 -0.328572295088755 0.742478991683323 0.875519888623513
ENSG00000014164 2036.40371118546 0.833381828714793 0.240345294550883 3.46743559208045 0.000525449647881659 0.00334620625619821
ENSG00000019995 4505.80637489056 -2.61396362012585 0.208207866791129 -12.5545862431228 3.75137049691061e-36 2.95157830696927e-33
ENSG00000023318 3182.58686168901 0.609506234623106 0.242696882870237 2.5113888048945 0.0120257165152904 0.0453696176179835
ENSG00000023608 1116.79332412001 -0.727849206131046 0.558584390881763 -1.30302460650948 0.192566360998854 0.380108411525083
ENSG00000025772 1755.23568900787 1.98253354473949 0.380668239583663 5.20803507775637 1.90850851558194e-07 3.08656628994835e-06
ENSG00000027644 7.02586478089891 1.16361003947168 0.901166935158659 1.29122584736957 0.19662537483834 0.385845728701348
ENSG00000031691 270.211892731596 0.0377215453078465 0.458443051356199 0.082281856375085 0.934422582006971 0.967627911980896
ENSG00000035687 3054.82788175545 0.800598865658589 0.177115000099361 4.5202205640937 6.1775236191447e-06 6.83611193184676e-05
ENSG00000036473 3.01471878475262 -0.714459363855377 1.32165386761649 -0.540579785192815 0.588797254296229 0.777261794298481
ENSG00000037042 1102.6855787282 0.741041607803199 0.218570087160741 3.39040724844577 0.000697888655881661 0.00425988203605656
ENSG00000039139 65.482211282136 -0.859472308235077 0.689823125905051 -1.24593142206917 0.212789573020873 0.406563467831041
ENSG00000044012 2.30797644363901 -3.30513882265954 1.51242523669934 -2.18532377168775 0.0288651156187099 0.0917433769695051
ENSG00000044574 34240.1105211665 0.852681638307146 0.627749476598141 1.35831517204593 0.1743636980439 0.35536681160715
ENSG00000046774 0.815295585139448 2.08280484457462 2.05042119550896 1.01579365699915 0.309727657188955 0.523766669779928
ENSG00000047597 77.5072863418384 -0.239074406306174 0.936158653485002 -0.255378087267774 0.798431093638908 0.905862455581283
ENSG00000047662 17.2788036974135 3.55245116358718 0.508799940990368 6.98201960611947 2.90966509927248e-12 1.18617849746507e-10
ENSG00000048544 1936.41255873998 0.469919624472898 0.237506002940364 1.97855893600673 0.047865686866085 0.136155901757902
ENSG00000050344 1081.89633900491 2.06203639625423 0.433542529261274 4.75624940364627 1.97222791009064e-06 2.5231689750558e-05
ENSG00000052850 188.27513809996 -0.164547247045685 0.727230446233726 -0.226265618962824 0.82099483708764 0.917229304679524
ENSG00000053328 18.0550263162371 -1.96637010277446 0.782060232481797 -2.51434610929438 0.0119253335411913 0.0450557139505849
ENSG00000053372 2320.14852511583 0.416680608725912 0.341562602170589 1.21992456456871 0.222493472751326 0.418898933622261
ENSG00000054803 4.26306013808494 2.34822990518039 1.11941468331485 2.09773012645031 0.0359289920103143 0.109083275761973
ENSG00000055813 239.473781443395 -3.48463926740754 0.554870453843013 -6.28009518847697 3.38365798204406e-10 9.45741421055868e-09
ENSG00000056050 807.368054355354 -0.211907998630758 0.268735745350207 -0.788536703052314 0.430382838638186 0.643957815803983
ENSG00000057468 18.5715131720525 -2.56553664180584 0.769838966862369 -3.33256272056765 0.000860500721449836 0.00512134619997527
ENSG00000060303 0.744978583656513 1.4812245271166 0.909254640093265 1.62905358059506 0.103301676736681 0.243803168853176
ENSG00000060558 2778.09559269631 -3.66892816266642 1.09638140929616 -3.34639764187696 0.000818688993438764 0.00489471504587857
