label	gene
upregulated.regen	ADIPOQ
upregulated.regen	ANGPT2
upregulated.regen	ANTXR2
upregulated.regen	C16orf89
upregulated.regen	CCK
upregulated.regen	CMAS
upregulated.regen	CPT1A
upregulated.regen	CTSG
upregulated.regen	DCK
upregulated.regen	DHRS7C
upregulated.regen	E2F4
upregulated.regen	ELOVL7
upregulated.regen	F13B
upregulated.regen	FAM83C
upregulated.regen	FBLN5
upregulated.regen	FBP1
upregulated.regen	FMNL2
upregulated.regen	FREM2
upregulated.regen	GSTP1
upregulated.regen	HERC6
upregulated.regen	HTRA1
upregulated.regen	HVCN1
upregulated.regen	ITGA6
upregulated.regen	LDB3
upregulated.regen	LMNB1
upregulated.regen	MGP
upregulated.regen	MMP8
upregulated.regen	MTHFD2
upregulated.regen	MUC16
upregulated.regen	MUC2
upregulated.regen	MYBPC1
upregulated.regen	MYO1E
upregulated.regen	MYOM1
upregulated.regen	NFE2
upregulated.regen	NMRAL1
upregulated.regen	NPY
upregulated.regen	OXCT1
upregulated.regen	PEBP1
upregulated.regen	PEBP4
upregulated.regen	PGLYRP1
upregulated.regen	PLEKHO2
upregulated.regen	PPL
upregulated.regen	PRG2
upregulated.regen	PSAT1
upregulated.regen	PTGDS
upregulated.regen	SDF2L1
upregulated.regen	SEC23B
upregulated.regen	SERPINB10
upregulated.regen	SLC10A4
upregulated.regen	SLC2A11
upregulated.regen	SMTNL2
upregulated.regen	SORCS2
upregulated.regen	SPR
upregulated.regen	TK1
upregulated.regen	TNXB
upregulated.regen	UGDH
upregulated.regen	UPB1
upregulated.regen	ACCS
upregulated.regen	ACSS1
upregulated.regen	ANXA2
upregulated.regen	APRT
upregulated.regen	AQP1
upregulated.regen	ATP12A
upregulated.regen	ATP1B2
upregulated.regen	ATP2A1
upregulated.regen	ATP2A2
upregulated.regen	BTG3
upregulated.regen	CAPN13
upregulated.regen	CCNB1
upregulated.regen	CHAF1A
upregulated.regen	CNN1
upregulated.regen	COL4A1
upregulated.regen	COL4A2
upregulated.regen	CYBB
upregulated.regen	CYP2B6
upregulated.regen	DNASE1L3
upregulated.regen	DPEP2
upregulated.regen	DST
upregulated.regen	DUSP5
upregulated.regen	EGFR
upregulated.regen	EHD4
upregulated.regen	EPB41L4A
upregulated.regen	FAM162B
upregulated.regen	FICD
upregulated.regen	FLNC
upregulated.regen	FUT9
upregulated.regen	GATM
upregulated.regen	GCM1
upregulated.regen	GPR84
upregulated.regen	GPRC6A
upregulated.regen	GRHL3
upregulated.regen	HARBI1
upregulated.regen	IGFBP3
upregulated.regen	IGSF6
upregulated.regen	IL20RB
upregulated.regen	IQGAP2
upregulated.regen	IRF8
upregulated.regen	KLF13
upregulated.regen	KLHDC7A
upregulated.regen	KRT17
upregulated.regen	LMO7
upregulated.regen	LPAR1
upregulated.regen	MAS1
upregulated.regen	MCM6
upregulated.regen	MCM7
upregulated.regen	MFAP5
upregulated.regen	MLF1
upregulated.regen	MSLN
upregulated.regen	MYH10
upregulated.regen	NEXN
upregulated.regen	NRN1
upregulated.regen	PCOLCE
upregulated.regen	PDE4B
upregulated.regen	PDGFRL
upregulated.regen	PFKFB1
upregulated.regen	PGAM1
upregulated.regen	PMEPA1
upregulated.regen	PRDX2
upregulated.regen	PRG3
upregulated.regen	PRR5
upregulated.regen	RASL11B
upregulated.regen	RBP1
upregulated.regen	RELN
upregulated.regen	RTN2
upregulated.regen	S100A4
upregulated.regen	SFPQ
upregulated.regen	SGCG
upregulated.regen	SLC25A33
upregulated.regen	SMYD1
upregulated.regen	SPAG1
upregulated.regen	SPEN
upregulated.regen	STARD10
upregulated.regen	SULT1A1
upregulated.regen	SULT1C4
upregulated.regen	TGFBR2
upregulated.regen	TGM2
upregulated.regen	TKT
upregulated.regen	TNFRSF21
upregulated.regen	TNNI1
upregulated.regen	TRIM72
upregulated.regen	TUBA1A
upregulated.regen	VGF
upregulated.regen	ZNF572
upregulated.regen	ACTN2
