gene_dmelanogaster_stress_up,dmelanogaster_stress_up_Fraction_sp_less7,dmelanogaster_stress_up_Fraction_sp_less6,dmelanogaster_stress_up_Fraction_sp_less5,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less3,dmelanogaster_stress_up_Fraction_sp_less2,dmelanogaster_stress_up_Fraction_sp_1,dmelanogaster_stress_up_Fraction_sp_0
TCOF1,0.2829438689472416,0.22657191038304023,0.11587569260419175,0.033004095398699106,0.005781739339918092,0.00036135870874488076,0.00036135870874488076,0.0
NSRP1,0.29583232955914235,0.2524692845097567,0.14803661768248616,0.042038063117321126,0.0026499638641291254,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
SPPL3,0.24921705613105277,0.1421344254396531,0.04300168634064081,0.003372681281618887,0.000481811611659841,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
OPA3,0.2925801011804384,0.2602987231992291,0.1463502770416767,0.0469766321368345,0.012768007708985786,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
OPA1,0.28378703926764637,0.22223560587810165,0.09467598169115876,0.026258732835461335,0.004456757407853529,0.00012045290291496025,0.0,0.00012045290291496025
ITGA8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ITGA9,0.28920741989881954,0.24102625873283545,0.115152975186702,0.03661768248614792,0.006986268369067694,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
ITGA1,0.29414598891833293,0.2646350277041677,0.160563719585642,0.050710672127198264,0.013370272223560587,0.000963623223319682,0.0008431703204047217,0.00012045290291496025
ITGA2,0.2890869669959046,0.22163334136352686,0.10792580101180438,0.027704167670440857,0.0030113225728740063,0.00012045290291496025,0.0,0.00012045290291496025
ITGA3,0.13683449771139483,0.03336545410744399,0.0031317754757889667,0.00036135870874488076,0.00012045290291496025,0.00012045290291496025,0.0,0.00012045290291496025
ITGA4,0.30233678631655025,0.28438930378222116,0.21259937364490483,0.08612382558419658,0.021320163815947965,0.004456757407853529,0.004336304504938569,0.00012045290291496025
