gene_mmusculus_stress_down,mmusculus_stress_down_Fraction_sp_less4,mmusculus_stress_down_Fraction_sp_less3,mmusculus_stress_down_Fraction_sp_less2,mmusculus_stress_down_Fraction_sp_1,mmusculus_stress_down_Fraction_sp_0
CTSB,0.2739036664270309,0.05564342199856218,0.0008626887131560029,0.0007907979870596693,7.189072609633358e-05
CTSE,0.22135154565061108,0.018260244428468728,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
EP300,0.29863407620416965,0.22854061826024444,0.02192667145938174,0.02192667145938174,0.0
F5,0.2544212796549245,0.0314881380301941,0.0009345794392523365,0.0009345794392523365,0.0
F8,0.25966930265995686,0.02875629043853343,0.0010783608914450035,0.0010783608914450035,0.0
FN1,0.28785046728971964,0.1061826024442847,0.005895039539899353,0.005823148813803019,7.189072609633358e-05
FOXA1,0.2948957584471603,0.15233644859813084,0.010783608914450037,0.010783608914450037,0.0
FOXA2,0.2905823148813803,0.10330697340043135,0.004960460100647017,0.004960460100647017,0.0
GAS6,0.2526959022286125,0.028037383177570093,0.0008626887131560029,0.0007907979870596693,7.189072609633358e-05
GRB2,0.29669302659956864,0.16865564342199857,0.0098490294751977,0.0098490294751977,0.0
H2AFX,0.2955427749820273,0.16319194823867722,0.005607476635514018,0.005607476635514018,0.0
HMOX2,0.2820273184759166,0.0717469446441409,0.0012940330697340044,0.0012940330697340044,0.0
HSPA5,0.29432063263838965,0.14852624011502516,0.002372393961179008,0.0023005032350826744,7.189072609633358e-05
IL10,0.2801581595974119,0.06693026599568655,0.0010783608914450035,0.0010783608914450035,0.0
IL1B,0.2875629043853343,0.09079798705966931,0.002156721782890007,0.002156721782890007,0.0
IL4,0.28303378864126527,0.08202731847591661,0.0020848310567936736,0.0020848310567936736,0.0
KLK13,0.12516175413371675,0.0025880661394680087,0.0,0.0,0.0
KLK2,0.2500359453630482,0.028900071890726096,0.0003594536304816679,0.0003594536304816679,0.0
KLK3,0.2609633357296909,0.03357296908698778,0.0002875629043853343,0.0002875629043853343,0.0
LCAT,0.2205607476635514,0.01624730409777139,0.000503235082674335,0.000503235082674335,0.0
LEP,0.29022286125089863,0.10416966211358734,0.0031631919482386773,0.0031631919482386773,0.0
LRP1,0.2798705966930266,0.06319194823867721,0.0017253774263120058,0.0016534867002156721,7.189072609633358e-05
MMP2,0.2888569374550683,0.10460100647016535,0.002875629043853343,0.002803738317757009,7.189072609633358e-05
MYOC,0.2685118619698059,0.03457943925233645,0.00100647016534867,0.00100647016534867,0.0
NGF,0.29194823867721065,0.13630481667864847,0.002875629043853343,0.002803738317757009,7.189072609633358e-05
NUDT21,0.2882818116462976,0.09108554996405464,0.004097771387491013,0.00402588066139468,7.189072609633358e-05
PAEP,0.2544931703810209,0.02559309849029475,0.00014378145219266715,0.00014378145219266715,0.0
PDGFB,0.28339324227174695,0.08634076204169662,0.0020848310567936736,0.0020848310567936736,0.0
RAP1B,0.2741193386053199,0.04766355140186916,0.00100647016534867,0.00100647016534867,0.0
RPP14,0.27742631200575124,0.06153846153846154,0.0008626887131560029,0.0008626887131560029,0.0
SEPT8,0.19022286125089863,0.00805176132278936,0.00014378145219266715,0.00014378145219266715,0.0
SERPINA1,0.286628324946082,0.10287562904385335,0.0009345794392523365,0.0009345794392523365,0.0
SHBG,0.25787203450754853,0.027749820273184757,0.0008626887131560029,0.0008626887131560029,0.0
SMN1,0.29194823867721065,0.11373112868439972,0.004888569374550683,0.004888569374550683,0.0
TCF4,0.294823867721064,0.14493170381020848,0.00884255930984903,0.008770668583752696,7.189072609633358e-05
TGFB2,0.2743350107836089,0.054277498202731846,0.0017972681524083393,0.0017253774263120058,7.189072609633358e-05
TGFBI,0.27670740474478794,0.059453630481667866,0.0017972681524083393,0.0017253774263120058,7.189072609633358e-05
TGIF1,0.2850467289719626,0.08511861969805895,0.0007907979870596693,0.0007907979870596693,0.0
TNFRSF14,0.2782171099928109,0.05061107117181884,0.0006470165348670022,0.0006470165348670022,0.0
TSC22D1,0.2820992092020129,0.06570812365204888,0.0015815959741193387,0.001509705248023005,7.189072609633358e-05
TTR,0.2863407620416966,0.07836089144500359,0.001509705248023005,0.001509705248023005,0.0
UFD1L,0.2869158878504673,0.0899352983465133,0.0009345794392523365,0.0009345794392523365,0.0
A4GALT,7.189072609633358e-05,0.0,0.0,0.0,0.0
B3GALNT1,0.0012940330697340044,7.189072609633358e-05,0.0,0.0,0.0
AAAS,0.2695183321351546,0.04867002156721783,0.00100647016534867,0.0009345794392523365,7.189072609633358e-05
BANF1,0.2815959741193386,0.06549245147375989,0.001509705248023005,0.001509705248023005,0.0
CTCF,0.299352983465133,0.21265276779295472,0.025880661394680086,0.025880661394680086,0.0
GEMIN4,0.2824586628324946,0.08360891445003595,0.001509705248023005,0.001509705248023005,0.0
GEMIN5,0.2597411933860532,0.02674335010783609,0.0011502516175413372,0.0010783608914450035,7.189072609633358e-05
NUP107,0.293314162473041,0.14054636951833213,0.006326383896477355,0.006326383896477355,0.0
NUP133,0.29324227174694467,0.1357296908698778,0.0065420560747663555,0.006470165348670022,7.189072609633358e-05
NUP153,0.28562185478073326,0.08382458662832494,0.0019410496046010064,0.0019410496046010064,0.0
NUP155,0.27462257368799425,0.05276779295470884,0.0016534867002156721,0.0016534867002156721,0.0
NUP160,0.2828181164629763,0.07462257368799424,0.003666427030913012,0.003666427030913012,0.0
