gene_hsapiens_stress_down,hsapiens_stress_down_Fraction_sp_less7,hsapiens_stress_down_Fraction_sp_less6,hsapiens_stress_down_Fraction_sp_less5,hsapiens_stress_down_Fraction_sp_less4,hsapiens_stress_down_Fraction_sp_less3,hsapiens_stress_down_Fraction_sp_less2,hsapiens_stress_down_Fraction_sp_1,hsapiens_stress_down_Fraction_sp_0
TCOF1,0.35706093189964155,0.35706093189964155,0.35706093189964155,0.3569175627240143,0.3550537634408602,0.03111111111111111,0.03111111111111111,0.0
NSRP1,0.35706093189964155,0.35706093189964155,0.35706093189964155,0.35706093189964155,0.3559856630824373,0.07706093189964158,0.07706093189964158,0.0
SPPL3,0.35706093189964155,0.35706093189964155,0.35706093189964155,0.35706093189964155,0.35562724014336916,0.06602150537634409,0.06594982078853047,7.168458781362007e-05
OPA3,0.35706093189964155,0.35706093189964155,0.35706093189964155,0.3569175627240143,0.35541218637992833,0.04573476702508961,0.04566308243727599,7.168458781362007e-05
OPA1,0.35706093189964155,0.35706093189964155,0.35706093189964155,0.3569175627240143,0.3550537634408602,0.04229390681003584,0.04229390681003584,0.0
ITGA8,0.35706093189964155,0.35706093189964155,0.35706093189964155,0.3569175627240143,0.35541218637992833,0.054838709677419356,0.054838709677419356,0.0
ITGA9,0.35706093189964155,0.35706093189964155,0.35706093189964155,0.35663082437275984,0.35491039426523296,0.05017921146953405,0.05010752688172043,7.168458781362007e-05
ITGA1,0.35706093189964155,0.35706093189964155,0.35706093189964155,0.3569175627240143,0.3560573476702509,0.06093189964157706,0.06086021505376344,7.168458781362007e-05
ITGA2,0.35706093189964155,0.35706093189964155,0.35706093189964155,0.3568458781362007,0.35562724014336916,0.05168458781362007,0.05161290322580645,7.168458781362007e-05
ITGA3,0.35706093189964155,0.35706093189964155,0.35706093189964155,0.35698924731182796,0.3556989247311828,0.03211469534050179,0.03211469534050179,0.0
ITGA4,0.35706093189964155,0.35706093189964155,0.35706093189964155,0.3569175627240143,0.35562724014336916,0.07634408602150537,0.07627240143369175,7.168458781362007e-05
ITGA5,0.35706093189964155,0.35706093189964155,0.35706093189964155,0.35698924731182796,0.35591397849462364,0.08487455197132616,0.08487455197132616,0.0
ITGA6,0.35706093189964155,0.35706093189964155,0.35706093189964155,0.3567025089605735,0.35541218637992833,0.04014336917562724,0.04014336917562724,0.0
