gene_xlaevis_wound_down,xlaevis_wound_down_Fraction_sp_less7,xlaevis_wound_down_Fraction_sp_less6,xlaevis_wound_down_Fraction_sp_less5,xlaevis_wound_down_Fraction_sp_less4,xlaevis_wound_down_Fraction_sp_less3,xlaevis_wound_down_Fraction_sp_less2,xlaevis_wound_down_Fraction_sp_1,xlaevis_wound_down_Fraction_sp_0
FGD2,0.10906004667939741,0.07256524506683641,0.03607044345427541,0.01633778909399533,0.007214088690855082,0.002970507107999151,0.002970507107999151,0.0
VTN,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
MERTK,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
KEAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB8OS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SMN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLA2,0.054954381497984296,0.02143008699342245,0.007850625928283471,0.002546148949713558,0.000424358158285593,0.0002121790791427965,0.0002121790791427965,0.0
POLA1,0.0488011882028432,0.011669849352853808,0.0038192234245703373,0.0006365372374283895,0.0002121790791427965,0.0,0.0,0.0
SMN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC5A1,0.05346912794398472,0.021854445151708042,0.009972416719711436,0.005092297899427116,0.000424358158285593,0.0002121790791427965,0.0002121790791427965,0.0
MEGF8,0.0736261404625504,0.037555697008274984,0.011882028431996604,0.002546148949713558,0.000424358158285593,0.0002121790791427965,0.0,0.0002121790791427965
MEGF9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC5A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC5A7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEGF6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARD18,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0
TOM1L1,0.0967536600891152,0.0670485890091237,0.03500954805856143,0.011882028431996604,0.005092297899427116,0.0006365372374283895,0.0006365372374283895,0.0
ZBTB5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARD17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
