gene_hsapiens_stress_up,hsapiens_stress_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less3,hsapiens_stress_up_Fraction_sp_less2,hsapiens_stress_up_Fraction_sp_1,hsapiens_stress_up_Fraction_sp_0
FBXO43,1.0,1.0,1.0,0.0,1.0
FBXO42,0.0023861602704314975,0.00039769337840524953,0.00019884668920262477,0.00019884668920262477,0.0
FBXO48,0.0,0.0,0.0,0.0,0.0
SFRP2,0.0,0.0,0.0,0.0,0.0
SNORD17,0.0,0.0,0.0,0.0,0.0
SNORD10,0.0,0.0,0.0,0.0,0.0
SNORD12,0.0,0.0,0.0,0.0,0.0
SFRP5,1.0,1.0,1.0,0.0,1.0
COL1A2,0.06561940743686617,0.032809703718433086,0.007357327500497117,0.007158480811294492,0.00019884668920262477
WAPAL,0.005170013919268244,0.0007953867568104991,0.00019884668920262477,0.00019884668920262477,0.0
COL1A1,0.057267846490355934,0.026844303042354346,0.0041757804732551205,0.0041757804732551205,0.0
LACRT,0.0,0.0,0.0,0.0,0.0
EIF1B,0.0,0.0,0.0,0.0,0.0
UNCX,0.0,0.0,0.0,0.0,0.0
AADAT,0.0,0.0,0.0,0.0,0.0
AADAC,1.0,1.0,1.0,0.0,1.0
EPCAM,0.04971167230065619,0.020282362298667728,0.004374627162457745,0.004374627162457745,0.0
COL6A1,0.07874328892423942,0.040962417975740704,0.00994233446013124,0.009743487770928615,0.00019884668920262477
WBP2,0.0,0.0,0.0,0.0,0.0
COL6A3,0.05985285344999006,0.030622390137204216,0.0063630940544839925,0.0063630940544839925,0.0
COL6A2,0.07993636905945516,0.04195665142175383,0.01252734141976536,0.01252734141976536,0.0
WBP5,0.0,0.0,0.0,0.0,0.0
KLK13,0.0,0.0,0.0,0.0,0.0
KLK10,0.003976933784052496,0.0005965400676078744,0.00019884668920262477,0.0,0.00019884668920262477
PLLP,0.25,0.25,0.25,0.0,0.25
MORF4,0.0,0.0,0.0,0.0,0.0
AATF,0.002585006959634122,0.000994233446013124,0.00019884668920262477,0.00019884668920262477,0.0
PCM1,0.0,0.0,0.0,0.0,0.0
LRRK1,0.0027838536488367467,0.00039769337840524953,0.00039769337840524953,0.00019884668920262477,0.00019884668920262477
LRRK2,1.0,1.0,1.0,0.0,1.0
TGFB1I1,0.08112944919467091,0.04195665142175383,0.013123881487373236,0.01292503479817061,0.00019884668920262477
MRPL10,0.0,0.0,0.0,0.0,0.0
MRPL11,0.0,0.0,0.0,0.0,0.0
MRPL13,0.00914694770332074,0.00457347385166037,0.0,0.0,0.0
MRPL14,0.0011930801352157488,0.00039769337840524953,0.0,0.0,0.0
MRPL15,0.010936567906144362,0.005567707297673493,0.00039769337840524953,0.00039769337840524953,0.0
MRPL16,0.007357327500497117,0.0015907735136209981,0.00019884668920262477,0.00019884668920262477,0.0
MRPL17,0.0,0.0,0.0,0.0,0.0
MRPL18,0.00039769337840524953,0.0,0.0,0.0,0.0
MRPL19,0.009743487770928615,0.004374627162457745,0.00019884668920262477,0.00019884668920262477,0.0
PLA1A,0.0,0.0,0.0,0.0,0.0
KDSR,0.0,0.0,0.0,0.0,0.0
SNCG,0.0,0.0,0.0,0.0,0.0
SNCB,1.0,1.0,1.0,0.0,1.0
RNF128,0.03181547027241997,0.010936567906144362,0.0005965400676078744,0.0005965400676078744,0.0
RNF126,0.0,0.0,0.0,0.0,0.0
RNF125,1.0,1.0,1.0,0.0,1.0
RNF123,0.0,0.0,0.0,0.0,0.0
RNF122,0.0,0.0,0.0,0.0,0.0
RNF121,0.0,0.0,0.0,0.0,0.0
SACS,0.02585006959634122,0.0021873135812288725,0.00039769337840524953,0.00039769337840524953,0.0
GPN3,0.5,0.5,0.5,0.5,0.0
GPN1,0.0,0.0,0.0,0.0,0.0
NFKB1,1.0,1.0,1.0,0.0,1.0
NFKB2,0.00039769337840524953,0.00039769337840524953,0.00019884668920262477,0.0,0.00019884668920262477
DNPEP,0.0,0.0,0.0,0.0,0.0
SIAH1,1.0,1.0,1.0,0.0,1.0
SIAH2,0.0,0.0,0.0,0.0,0.0
NSA2,0.0,0.0,0.0,0.0,0.0
PHLPP1,0.0,0.0,0.0,0.0,0.0
PDZRN3,0.06880095446410817,0.03241201034002784,0.007158480811294492,0.006959634122091867,0.00019884668920262477
EMILIN3,0.0,0.0,0.0,0.0,0.0
EMILIN2,0.00914694770332074,0.0011930801352157488,0.0005965400676078744,0.00039769337840524953,0.00019884668920262477
EMILIN1,0.05746669317955856,0.026446609663949096,0.003778087094849871,0.003579240405647246,0.00019884668920262477
ZNF155,0.0,0.0,0.0,0.0,0.0
P2RX4,0.011135414595346987,0.00039769337840524953,0.00019884668920262477,0.00019884668920262477,0.0
HSPBP1,0.0,0.0,0.0,0.0,0.0
P2RX6,0.0,0.0,0.0,0.0,0.0
DENND1A,0.0,0.0,0.0,0.0,0.0
DIS3,0.0,0.0,0.0,0.0,0.0
BAP1,0.0,0.0,0.0,0.0,0.0
SHARPIN,0.0,0.0,0.0,0.0,0.0
ZCCHC12,0.000994233446013124,0.0,0.0,0.0,0.0
ZCCHC11,0.03996818452972758,0.005170013919268244,0.00019884668920262477,0.00019884668920262477,0.0
ZCCHC10,1.0,1.0,1.0,0.0,1.0
ZCCHC17,0.0,0.0,0.0,0.0,0.0
ZCCHC14,0.0,0.0,0.0,0.0,0.0
FBXO18,0.0,0.0,0.0,0.0,0.0
ANKS4B,1.0,1.0,1.0,0.0,1.0
UBE2J2,0.0,0.0,0.0,0.0,0.0
GUCY1A3,0.01710081527142573,0.0007953867568104991,0.00019884668920262477,0.00019884668920262477,0.0
SLC45A4,0.0,0.0,0.0,0.0,0.0
SLC45A3,0.0,0.0,0.0,0.0,0.0
MTUS1,1.0,1.0,1.0,0.0,1.0
MTUS2,1.0,1.0,1.0,0.0,1.0
IFRD1,0.0,0.0,0.0,0.0,0.0
ALS2CL,0.02127659574468085,0.008550407635712865,0.0005965400676078744,0.00039769337840524953,0.00019884668920262477
FGL1,0.0,0.0,0.0,0.0,0.0
IMPAD1,0.0,0.0,0.0,0.0,0.0
FZD10,0.00497116723006562,0.000994233446013124,0.00039769337840524953,0.00019884668920262477,0.00019884668920262477
CHKA,0.0,0.0,0.0,0.0,0.0
CHKB,0.02207198250149135,0.003976933784052496,0.00019884668920262477,0.00019884668920262477,0.0
MRI1,0.0,0.0,0.0,0.0,0.0
MAPK1IP1L,1.0,1.0,1.0,0.0,1.0
DST,0.004374627162457745,0.0005965400676078744,0.00039769337840524953,0.00019884668920262477,0.00019884668920262477
DSP,0.03579240405647246,0.018095048717438854,0.00457347385166037,0.004374627162457745,0.00019884668920262477
THBD,1.0,1.0,1.0,0.0,1.0
DSE,0.0,0.0,0.0,0.0,0.0
PDAP1,0.0,0.0,0.0,0.0,0.0
CENPBD1,0.0,0.0,0.0,0.0,0.0
MSL1,0.5,0.5,0.5,0.0,0.5
SLC22A24,0.0023861602704314975,0.0013919268244183733,0.00019884668920262477,0.00019884668920262477,0.0
ZNF83,0.06263670709882681,0.021475442433883475,0.001988466892026248,0.001789620202823623,0.00019884668920262477
AUH,0.0,0.0,0.0,0.0,0.0
ZNF81,0.0,0.0,0.0,0.0,0.0
HLA-L,0.0,0.0,0.0,0.0,0.0
ZNF84,0.06164247365281368,0.027241996420759595,0.003579240405647246,0.003579240405647246,0.0
HOPX,0.0,0.0,0.0,0.0,0.0
CAPZA2,0.01908928216345198,0.0023861602704314975,0.00019884668920262477,0.00019884668920262477,0.0
CAPZA1,0.04971167230065619,0.01710081527142573,0.002585006959634122,0.0023861602704314975,0.00019884668920262477
SCARF2,0.06840326108570292,0.03181547027241997,0.005368860608470869,0.005368860608470869,0.0
SCARF1,0.04295088486776695,0.012129648041360111,0.000994233446013124,0.0007953867568104991,0.00019884668920262477
TRPC4AP,0.0,0.0,0.0,0.0,0.0
HLA-B,0.06601710081527143,0.03499701729966196,0.006959634122091867,0.006959634122091867,0.0
C10orf88,0.0,0.0,0.0,0.0,0.0
CER1,0.0,0.0,0.0,0.0,0.0
C10orf82,0.0,0.0,0.0,0.0,0.0
DOCK2,0.0650228673692583,0.03837741101610658,0.015907735136209984,0.015907735136209984,0.0
HLA-A,0.0457347385166037,0.01252734141976536,0.0013919268244183733,0.0013919268244183733,0.0
GRIN3A,0.0,0.0,0.0,0.0,0.0
GRIN3B,0.0,0.0,0.0,0.0,0.0
CPVL,0.0,0.0,0.0,0.0,0.0
HLA-G,0.0,0.0,0.0,0.0,0.0
CERK,0.0,0.0,0.0,0.0,0.0
RGCC,1.0,1.0,1.0,0.0,1.0
LIN7A,1.0,1.0,1.0,0.0,1.0
LIN7C,0.0,0.0,0.0,0.0,0.0
LIN7B,0.0,0.0,0.0,0.0,0.0
IMMP2L,0.0,0.0,0.0,0.0,0.0
FADD,0.0007953867568104991,0.00039769337840524953,0.00039769337840524953,0.00019884668920262477,0.00019884668920262477
NFATC1,0.0,0.0,0.0,0.0,0.0
NFATC2,1.0,1.0,1.0,0.0,1.0
RPL37A,0.0023861602704314975,0.001789620202823623,0.0011930801352157488,0.000994233446013124,0.00019884668920262477
TNFAIP8L2,0.04295088486776695,0.025253529528733346,0.006561940743686618,0.006561940743686618,0.0
TNFAIP8L1,0.0,0.0,0.0,0.0,0.0
AP2B1,0.0,0.0,0.0,0.0,0.0
GFER,1.0,1.0,1.0,0.0,1.0
CYP26B1,0.0,0.0,0.0,0.0,0.0
