gene_hsapiens_wound_up,hsapiens_wound_up_Fraction_sp_less7,hsapiens_wound_up_Fraction_sp_less6,hsapiens_wound_up_Fraction_sp_less5,hsapiens_wound_up_Fraction_sp_less4,hsapiens_wound_up_Fraction_sp_less3,hsapiens_wound_up_Fraction_sp_less2,hsapiens_wound_up_Fraction_sp_1,hsapiens_wound_up_Fraction_sp_0
TCOF1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1280474571366563,0.10988931490993271,0.0009404615495912609,0.0009404615495912609,0.0
NSRP1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1280474571366563,0.11755769369890762,0.007668378788974897,0.007668378788974897,0.0
SPPL3,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12074079432829342,0.008608840338566157,0.008608840338566157,0.0
OPA3,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12754105476379946,0.11611082977645952,0.0036171598061202344,0.0036171598061202344,0.0
OPA1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281921435289011,0.11249366997033929,0.003255443825508211,0.003255443825508211,0.0
ITGA8,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12790277074441148,0.11205961079360487,0.010996165810605512,0.010996165810605512,0.0
ITGA9,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1280474571366563,0.11133617883238081,0.009187585907545395,0.009187585907545395,0.0
ITGA1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281921435289011,0.12160891268176229,0.013455834478767272,0.013383491282644867,7.234319612240469e-05
ITGA2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.11922158720972292,0.010923822614483108,0.010923822614483108,0.0
ITGA3,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.1080807350068726,0.004702307747956305,0.004702307747956305,0.0
ITGA4,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281921435289011,0.12103016711278304,0.027996816899370613,0.027924473703248208,7.234319612240469e-05
ITGA5,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281921435289011,0.12327280619257759,0.017507053461621933,0.01743471026549953,7.234319612240469e-05
ITGA6,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281921435289011,0.11524271142299067,0.005425739709180351,0.005353396513057947,7.234319612240469e-05
ITGA7,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12377920856543442,0.01511972798958258,0.01511972798958258,0.0
TRHR,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12160891268176229,0.00571511249366997,0.0,0.0,0.0
UFSP1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12696230919482024,0.07856471098893149,0.0003617159806120234,0.0003617159806120234,0.0
UFSP2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1280474571366563,0.11755769369890762,0.010562106633871084,0.010562106633871084,0.0
CHST8,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12775808435216668,0.1064891846921797,0.0029660710410185924,0.0029660710410185924,0.0
CHST1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12775808435216668,0.10714027345728135,0.0024596686681617594,0.0023873254720393547,7.234319612240469e-05
CHST3,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1280474571366563,0.11951095999421255,0.00817478116183173,0.00817478116183173,0.0
CHST2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12754105476379946,0.10916588294870867,0.008970556319178181,0.008898213123055776,7.234319612240469e-05
CHST5,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1279751139405339,0.1064891846921797,0.003255443825508211,0.003255443825508211,0.0
CHST4,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.11205961079360487,0.0034001302177530204,0.0034001302177530204,0.0
CHST7,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12775808435216668,0.07762424943934022,0.001157491137958475,0.0010851479418360704,7.234319612240469e-05
CHST6,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12790277074441148,0.10258265210156985,0.0031107574332634017,0.0031107574332634017,0.0
ITGAX,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1279751139405339,0.11162555161687043,0.023077479563047096,0.02300513636692469,7.234319612240469e-05
BCL2A1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12775808435216668,0.11668957534543876,0.024162627504883166,0.024162627504883166,0.0
ITGAV,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12001736236706938,0.00817478116183173,0.00817478116183173,0.0
