gene_mmusculus_stress_up,mmusculus_stress_up_Fraction_sp_less7,mmusculus_stress_up_Fraction_sp_less6,mmusculus_stress_up_Fraction_sp_less5,mmusculus_stress_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less3,mmusculus_stress_up_Fraction_sp_less2,mmusculus_stress_up_Fraction_sp_1,mmusculus_stress_up_Fraction_sp_0
TCOF1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
NSRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPPL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPA3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
OPA1,0.13643114788881816,0.053256948864841926,0.02673456397199236,0.01464035646085296,0.001273074474856779,0.0,0.0,0.0
ITGA8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ITGA9,0.14385741565881605,0.09505622745597284,0.05962232123912582,0.016974326331423723,0.0010608953957139827,0.0002121790791427965,0.0002121790791427965,0.0
ITGA1,0.22342457033736474,0.14385741565881605,0.09505622745597284,0.05962232123912582,0.016974326331423723,0.0010608953957139827,0.000848716316571186,0.0002121790791427965
ITGA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGA3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ITGA4,0.25991937194992576,0.17801824740080627,0.085508168894547,0.040950562274559725,0.025461489497135583,0.005728835136855506,0.00551665605771271,0.0002121790791427965
ITGA5,0.22957776363250584,0.1534054742202419,0.10587736049225546,0.05919796308084023,0.014003819223424571,0.0014852535539995756,0.001273074474856779,0.0002121790791427965
ITGA6,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5
ITGA7,0.2671334606407808,0.20538934861022703,0.12136643326967961,0.07426267769997878,0.02737110120942075,0.002546148949713558,0.0023339698705707617,0.0002121790791427965
TRHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UFSP1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
UFSP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
